‘ He's done us proud, as well,’ says Granville.	0 0 1 1 1 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ ADP PRON VERB PROPN
He hoped the rest of the lads would do him proud.	0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	objective	PRON VERB DET NOUN ADP DET NOUN VERB VERB PRON ADJ
THE Coleraine club and local competitors again did us proud at the European Championship meeting at Kirkistown.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN NOUN CCONJ ADJ NOUN ADV VERB PRON ADJ ADP DET PROPN PROPN NOUN ADP PROPN
Glad to say the AEA crowd did themselves proud joining in with lots of gusto.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ PART VERB DET PROPN NOUN VERB PRON ADJ VERB PART ADP NOUN ADP NOUN
The Hereford fans must have thought, but United did em proud with a second from Marcus Browning.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET PROPN NOUN VERB VERB VERB CCONJ PROPN VERB PRON ADJ ADP DET NOUN ADP PROPN PROPN
Geoffrey, my brother, did him proud at the funeral and the young rabbi in Hull was moving and personal in his eulogy.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PROPN ADJ NOUN VERB PRON ADJ ADP DET NOUN CCONJ DET ADJ NOUN ADP PROPN VERB VERB CCONJ ADJ ADP ADJ NOUN
‘ Watts is really only sixth in the pecking order up front, but suddenly he found himself playing the biggest game of his life and he did himself proud.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	do someone proud	figurative	combined-inflection	PUNCT PROPN VERB ADV ADV ADJ ADP DET VERB NOUN ADP ADV CCONJ ADV PRON VERB PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ PRON VERB PRON NOUN
‘ You 've done me proud again, Seb.	0 0 0 1 1 1 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB VERB PRON ADJ ADV VERB
‘ She's done him proud,’ said Mrs Flaherty, ‘ I 'll say that for her.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON VERB VERB PROPN PROPN PUNCT PRON VERB VERB ADP ADP NOUN
SCOTLAND will bid to lift their third Triple Crown in nine years when they travel to Twickenham on Saturday week with the same line - up which did them proud in the 20 - 0 victory over Wales.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	PROPN VERB VERB PART VERB ADJ ADJ ADJ PROPN ADP NUM NOUN ADV PRON VERB ADP PROPN ADP PROPN NOUN ADP DET ADJ NOUN PUNCT NOUN ADJ VERB PRON ADJ ADP DET NUM SYM NUM NOUN ADP PROPN
‘ He done us proud, the old gentleman.	0 0 1 1 1 0 0 0	do someone proud	figurative	combined-inflection	PUNCT PRON VERB PRON ADJ DET ADJ NOUN
The gods of the Caesars had done themselves proud.	0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	DET NOUN ADP DET PROPN VERB VERB PRON ADJ
Shared Experience does it proud.	0 0 1 1 1	do someone proud	figurative	combined-inflection	VERB NOUN VERB PRON ADJ
It seems to have done you proud.	0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB PART VERB VERB PRON ADJ
But here HM has done itself proud.	0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	CCONJ ADV PROPN VERB VERB PRON ADJ
The crowd ( as ever ) did Leeds proud, were all around the ground and I m sure helped make it another ‘ home game’ for the players.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	DET NOUN PUNCT ADV ADV PUNCT VERB PROPN ADJ VERB ADV ADP DET NOUN CCONJ PRON VERB ADJ VERB VERB PRON DET PUNCT NOUN NOUN ADP DET NOUN
They had all been inhibited from plain speaking by the lavish hospitality, the fresh scampi with avocado had been too ‘ mucked about’ for her taste, while that dreadful black man had insisted on telling her all about his times in and out of the ring with ‘ Big Frank’(‘a lovely suit of clothes’ ), interrupting himself only to raise his glass of pink wine to Sir Ralph who had, in his opinion, ‘ done us proud’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB DET VERB VERB ADP ADJ VERB ADP DET ADJ NOUN DET ADJ NOUN ADP NOUN VERB VERB ADV PUNCT VERB ADV ADP ADJ NOUN ADP DET ADJ ADJ NOUN VERB VERB ADP VERB PRON ADV ADP ADJ NOUN ADP CCONJ ADP ADP DET NOUN ADP PUNCT PROPN PROPN ADJ NOUN ADP NOUN PUNCT VERB PRON ADV PART VERB ADJ NOUN ADP ADJ NOUN ADP PROPN PROPN NOUN VERB ADP ADJ NOUN PUNCT VERB PRON VERB
His old friends the overseers did him proud to the very last : in their generosity they provided him with a 14s. funeral.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	ADJ ADJ NOUN DET NOUN VERB PRON ADJ ADP DET ADV ADJ PUNCT ADP ADJ NOUN PRON VERB PRON ADP DET NUM NOUN
I 'll do you proud, just you wait and see.’	0 0 1 1 1 0 0 0 0 0	do someone proud	figurative	objective	PRON VERB VERB PRON ADJ ADV PRON VERB CCONJ PUNCT
The University and Catering had done us proud.	0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	DET PROPN CCONJ PROPN VERB VERB PRON ADJ
He done us proud.	0 1 1 1	do someone proud	figurative	combined-inflection	PRON VERB PRON ADJ
The family were more concerned that she should " do them proud ".	0 0 0 0 0 0 0 0 0 1 1 1 0	do someone proud	figurative	objective	DET NOUN VERB ADV ADJ ADP PRON VERB PUNCT VERB PRON ADJ PUNCT
On that basis, Livesey had done himself proud.	0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	ADP DET NOUN PROPN VERB VERB PRON ADJ
Sukey had done everyone proud, and the Lombard boys, who were labradors when it came to food, were soon wolfing smoked salmon quiche, marinated breast of chicken, mozzarella in brown rolls, ratatouille and potato salad made with real mayonnaise.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do someone proud	figurative	combined-inflection	NOUN VERB VERB NOUN ADJ CCONJ DET PROPN NOUN NOUN VERB NOUN ADV PRON VERB ADP NOUN VERB ADV VERB ADJ NOUN NOUN VERB NOUN ADP NOUN NOUN ADP ADJ NOUN NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN
Even in such exalted company, Rozhdestvensky holds his own ( although Szell's breathtaking final coda to the Marche remains a uniquely compelling experience ), and what a joy to hear a native Russian orchestra accorded engineering which for once does them proud!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	ADV ADP ADJ VERB NOUN PROPN VERB ADJ ADJ PUNCT ADP PROPN ADJ ADJ NOUN ADP DET PROPN VERB DET ADV ADJ NOUN PUNCT CCONJ NOUN DET NOUN PART VERB DET ADJ ADJ NOUN VERB NOUN ADJ ADP ADV VERB PRON ADJ
Martin Foyle what, out of the side for so long — bit of a gamble to bring him back in ; he did you proud.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	do someone proud	figurative	combined-inflection	PROPN PROPN NOUN ADP ADP DET NOUN ADP ADV ADJ PUNCT NOUN ADP DET NOUN PART VERB PRON ADV ADV PUNCT PRON VERB PRON ADJ
Hockey ‘ minis’ do Alton proud	0 0 0 1 1 0	do someone proud	figurative	misc	PROPN PUNCT NOUN VERB PROPN ADJ
