There are glints in the grooves, a few rough edges, that show that these screws are often loosened.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	rough edges	literal	identical	ADV VERB NOUN ADP DET NOUN DET ADJ ADJ NOUN ADJ VERB ADP DET NOUN VERB ADV VERB
Work back in your mind to the possible source of any abrasion — could it be something with a rough edge in the pond, or are there ectoparasites ( ie Argulus ) breaking the skin?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	literal	inflection	VERB ADV ADP ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT VERB PRON VERB NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ VERB ADV NOUN PUNCT X PROPN PUNCT VERB DET NOUN
There are no rough edges : the three men and three women drift from solo to duet to ensemble with seamless ease.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	figurative	identical	ADV VERB DET ADJ NOUN PUNCT DET NUM NOUN CCONJ NUM NOUN VERB ADP NOUN ADP NOUN ADP NOUN ADP ADJ NOUN
I 've had the roughest edges knocked off it when I went to University.	0 0 0 0 1 1 0 0 0 0 0 0 0 0	rough edges	figurative	misc	PRON VERB VERB DET ADJ NOUN VERB PART PRON ADV PRON VERB ADP PROPN
Remove the boxes and Plasticine, and tidy up the rough edges, using a craft knife.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	rough edges	literal	identical	VERB DET NOUN CCONJ PROPN CCONJ VERB PART DET ADJ NOUN VERB DET NOUN NOUN
Punk prided itself on making recordings with all the rough edges showing.	0 0 0 0 0 0 0 0 0 1 1 0	rough edges	figurative	identical	NOUN VERB PRON ADP VERB NOUN ADP ADJ DET ADJ NOUN VERB
He refused to budge, and was given full support by Douglas - Home, whose diplomatic skills softened the rough edges of Heath's ‘ extraordinary resolution’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	rough edges	figurative	identical	PRON VERB PART VERB CCONJ VERB VERB ADJ NOUN ADP PROPN PUNCT PROPN ADJ ADJ NOUN VERB DET ADJ NOUN ADP PROPN ADJ ADJ NOUN
‘ All the people who worked with Laura in those years experienced the rough edge of her humour at some time or other, usually when you were so run down and exhausted, after four or five days travelling with no proper sleep, that you could not fight back.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	figurative	inflection	PUNCT ADJ DET NOUN NOUN VERB ADP PROPN ADP DET NOUN VERB DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN CCONJ ADJ ADV ADV PRON VERB ADV VERB ADV CCONJ VERB ADP NUM CCONJ NUM NOUN VERB ADP DET ADJ NOUN ADP PRON VERB ADV VERB NOUN
The good ones are those which, for all their rough edges, are found to work and are widely used.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	rough edges	figurative	identical	DET ADJ NOUN VERB DET ADJ ADP ADJ ADJ ADJ NOUN VERB VERB PART VERB CCONJ VERB ADV VERB
If the case has been autopsied, all organs should be sprayed liberally prior to placing a viscera bag and care should be exercised to avoid catching the rough edge of bones around the rib cage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	rough edges	literal	inflection	ADP DET NOUN VERB VERB VERB DET NOUN VERB VERB VERB ADV ADV ADP VERB DET NOUN NOUN CCONJ NOUN VERB VERB VERB PART VERB VERB DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN
But a few rough edges are welcome in these days of vacuous, glossy musicals, and numbers like Over the Hills and Far Away and Macheath's bitter hymn about Tyburn Tree to the tune of Greensleeves are beautifully performed.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	figurative	identical	CCONJ DET ADJ ADJ NOUN VERB ADJ ADP DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN ADP ADP DET PROPN CCONJ PROPN ADV CCONJ PROPN ADJ NOUN ADP PROPN PROPN ADP DET NOUN ADP NOUN VERB ADV VERB
So Mr Hurd will use his diplomatic skills — and his French — in Strasbourg to keep the temperature down and take the rough edges off disagreement, while advancing with pragmatic caution greater British involvement in the rapidly evolving structure of the Community.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	figurative	identical	ADV PROPN PROPN VERB VERB ADJ ADJ NOUN PUNCT CCONJ ADJ PROPN PUNCT ADP PROPN PART VERB DET NOUN ADV CCONJ VERB DET ADJ NOUN ADP NOUN ADP VERB ADP ADJ NOUN ADJ ADJ NOUN ADP DET ADV VERB NOUN ADP DET PROPN
The reality, however, is that the Institute has had considerable influence in knocking the rough edges off legislation and practice.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	rough edges	figurative	identical	DET NOUN ADV VERB ADP DET PROPN VERB VERB ADJ NOUN ADP VERB DET ADJ NOUN PART NOUN CCONJ NOUN
Despite rough edges, it seems to have everything in it that Solaris 2.1 has and performs at the Sparcstation 2 level.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough edges	figurative	identical	ADP ADJ NOUN PRON VERB PART VERB NOUN ADP PRON ADP PROPN NUM VERB CCONJ VERB ADP DET PROPN NUM NOUN
‘ To rub off all your rough edges,’ said Luke.	0 0 0 0 0 0 1 1 0 0	rough edges	figurative	dashes	PUNCT PART VERB PART DET ADJ ADJ NOUN VERB PROPN
Rough edges are few and far between.	1 1 0 0 0 0 0	rough edges	figurative	case	ADJ NOUN VERB ADJ CCONJ ADV ADP
