‘ Your Negotiator has done a bunk,’ he said flatly.	0 0 0 0 1 0 1 0 0 0	do a bunk	figurative	combined-inflection	PUNCT ADJ NOUN VERB VERB DET NOUN PRON VERB ADV
The lads arrive at the local nick to find their Houdini pa has done a bunk and they wander about the country trying to locate him, pitching up in a one horse Long Island seaside town.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	inflection	DET NOUN VERB ADP DET ADJ NOUN PART VERB ADJ PROPN ADV VERB VERB DET NOUN CCONJ PRON VERB ADP DET NOUN VERB PART VERB PRON VERB PART ADP DET NUM NOUN PROPN PROPN NOUN NOUN
has done the bunk.	0 1 0 1	do a bunk	figurative	combined-inflection	VERB VERB DET NOUN
Most of the daughters ( except Rose, who lost an eye ) soon married, but Minnie's marriage to Abe Greenbaum came to an abrupt end when she did a ' bunk with Claud ' — a doctor she met on a visit to London.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	combined-inflection	ADJ ADP DET NOUN PUNCT ADP PROPN NOUN VERB DET NOUN PUNCT ADV VERB CCONJ PROPN NOUN ADP PROPN PROPN VERB ADP DET ADJ NOUN ADV PRON VERB DET PUNCT NOUN ADP PROPN PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADP PROPN
" Done a bunk? " he asked with gruff sympathy.	0 1 0 1 0 0 0 0 0 0	do a bunk	figurative	combined-inflection	PUNCT VERB DET NOUN PUNCT PRON VERB ADP ADJ NOUN
Hubert's still the clergyman with the flighty wife, the one who used to play cards on Sunday and then did a bunk on him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do a bunk	figurative	inflection	PROPN ADV DET NOUN ADP DET ADJ NOUN DET NOUN NOUN VERB PART VERB NOUN ADP PROPN CCONJ ADV VERB DET NOUN ADP PRON
He 'd done a bunk.	0 0 1 0 1	do a bunk	figurative	inflection	PRON VERB VERB DET NOUN
I don't know if we 'd have worried about that if we 'd thought he 'd done a bunk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do a bunk	figurative	inflection	PRON VERB VERB ADP PRON VERB VERB VERB ADP ADP ADP PRON VERB VERB PRON VERB VERB DET NOUN
‘ I wonder if he's done a bunk,’ Fowler - Thrown said.	0 0 0 0 0 1 0 1 0 0 0 0	do a bunk	figurative	combined-inflection	PUNCT PRON VERB ADP PRON VERB DET ADJ PROPN PUNCT PROPN VERB
He's hopped it — done a bunk, as they says!’	0 0 0 0 1 0 1 0 0 0	do a bunk	figurative	inflection	PRON VERB PRON PUNCT VERB DET NOUN ADP PRON VERB
‘ But if he has done a bunk, you 'd expect him to take his collection with him, wouldn't you?	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	do a bunk	figurative	inflection	PUNCT CCONJ ADP PRON VERB VERB DET NOUN PRON VERB VERB PRON PART VERB ADJ NOUN ADP PRON VERB PRON
