But, at end of the day, no currency can defy the laws of economic gravity.	0 1 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	deletion-determiner	CCONJ ADP NOUN ADP DET NOUN DET NOUN VERB VERB DET NOUN ADP ADJ NOUN
You just can not pay attention continuously to all the different variables in a situation and remain sane at the end of the day, you have to develop routines and techniques for handling it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PRON ADV VERB ADV VERB NOUN ADV ADP ADJ DET ADJ NOUN ADP DET NOUN CCONJ VERB ADJ ADP DET NOUN ADP DET NOUN PRON VERB PART VERB NOUN CCONJ NOUN ADP VERB PRON
and then you also need to have a surplus so that you can erm pay for industrialization, and you can't tax, tax the poor too much to fit into your ideology so at the end of the day, you know, well it's a matter of just balancing all these factors	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADV PRON ADV VERB PART VERB DET NOUN ADP ADP PRON VERB ADV VERB ADP NOUN CCONJ PRON VERB VERB VERB DET ADJ ADV ADJ PART VERB ADP ADJ NOUN ADP ADP DET NOUN ADP DET NOUN PRON VERB INTJ PRON DET NOUN ADP ADV VERB ADJ DET NOUN
And I must not only sit here and endure all this I must read her account of it at the end of the day, and think of something polite to say about it before I find ways of rewriting and neutralizing it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ PRON VERB ADV ADV VERB ADV CCONJ VERB ADJ DET PRON VERB VERB ADJ NOUN ADP PRON ADP DET NOUN ADP DET NOUN CCONJ VERB ADP NOUN ADJ PART VERB ADP PRON ADP PRON VERB NOUN ADP VERB CCONJ VERB PRON
On the other hand, the tender offer by Hillsdown Holdings resulted in a stagging profit as the price at the end of the first day of trading was 33p higher than the striking price of 145p ( minimum 120p ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	literal	insertion-other	ADP DET ADJ NOUN DET NOUN NOUN ADP PROPN PROPN VERB ADP DET ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN ADP NOUN VERB NOUN ADJ ADP DET ADJ NOUN ADP NUM PUNCT PROPN NUM PUNCT
‘ The other board members will expect to have their say, but at the end of the day they expect, and accept, that the chairman should decide.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	PUNCT DET ADJ NOUN NOUN VERB VERB PART VERB ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB CCONJ VERB ADP DET NOUN VERB NOUN
On reflection, the catering industry may well be much better off as a result of the Government's proposals for a self - regulatory approach, but it all depends at the end of the day on how well it gets its act together, using Hazard Analysis and Risk Assessment systems to identify the problem areas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADP NOUN DET NOUN NOUN VERB ADV VERB ADV ADJ PART ADP DET NOUN ADP DET PROPN NOUN ADP DET NOUN PUNCT ADJ NOUN CCONJ PRON DET VERB ADP DET NOUN ADP DET NOUN ADP ADV ADV PRON VERB ADJ NOUN ADV VERB PROPN PROPN CCONJ PROPN NOUN NOUN PART VERB DET NOUN NOUN
And maybe at the end of the day, the County Council will have to come to a conclusion, after you 've made your general recommendations, with or without a location maybe th they will decide that having gone through a consultation exercise, they 're only course is to modify the proposals which would then have to be the subject of another E I P.	0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	CCONJ ADV ADP DET NOUN ADP DET NOUN DET PROPN PROPN VERB VERB PART VERB ADP DET NOUN ADP PRON VERB VERB ADJ ADJ NOUN ADP CCONJ ADP DET NOUN ADV X PRON VERB VERB ADP VERB VERB ADP DET NOUN NOUN PRON VERB ADV NOUN VERB PART VERB DET NOUN ADJ VERB ADV VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN
He wrote up the names of all trainees on the white board, and at the end of the day, he wrote up the sales scores of each one.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	at the end of the day	literal	identical	PRON VERB PART DET NOUN ADP DET NOUN ADP DET ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB PART DET NOUN NOUN ADP DET NOUN
When it is difficult for the family or the child to attach themselves to each other, then at the end of the day the child will leave the family and become attached to the black community.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV PRON VERB ADJ ADP DET NOUN CCONJ DET NOUN PART VERB PRON ADP DET ADJ ADV ADP DET NOUN ADP DET NOUN DET NOUN VERB VERB DET NOUN CCONJ VERB ADJ ADP DET ADJ NOUN
Occasionally you can say you think they 're being stupid or have they thought about other things but at the end of the day people are answerable erm for their own decisions I feel and, if I have an opportunity I 'll tell them what I think, but er if people aren't wanting your opinion then you can't really give it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV PRON VERB VERB PRON VERB PRON VERB VERB ADJ CCONJ VERB PRON VERB ADP ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN NOUN VERB ADJ NOUN ADP ADJ ADJ NOUN PRON VERB CCONJ ADP PRON VERB DET NOUN PRON VERB VERB PRON NOUN PRON VERB CCONJ INTJ ADP NOUN VERB VERB ADJ NOUN ADV PRON VERB ADV VERB PRON
He said’ I believe at the end of the day I made the wrong decision’.	0 0 0 0 1 0 1 1 0 1 0 0 0 0 0	at the end of the day	figurative	identical	PRON VERB PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB DET ADJ NOUN
then you put them on when your feet are all swollen at the end of the day you 'll find them too tight.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV PRON VERB PRON PART ADV ADJ NOUN VERB DET ADJ ADP DET NOUN ADP DET NOUN PRON VERB VERB PRON ADV ADJ
At the end of the day it's a political decision from the council of ministers, but it seems to be going there with a firm endorsement of support from the commission. '	1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the end of the day	figurative	case	ADP DET NOUN ADP DET NOUN PRON DET ADJ NOUN ADP DET NOUN ADP NOUN CCONJ PRON VERB PART VERB VERB ADV ADP DET ADJ NOUN ADP NOUN ADP DET NOUN PUNCT
Then at the end of the day you 've actually something to say, yes.	0 1 0 1 1 0 1 0 0 0 0 0 0 0	at the end of the day	figurative	identical	ADV ADP DET NOUN ADP DET NOUN PRON VERB ADV NOUN PART VERB INTJ
