‘ I 'll do the honours, if you like?’	0 0 0 1 0 1 0 0 0	do the honours	figurative	identical	PUNCT PRON VERB VERB DET NOUN ADP PRON VERB
priest could er do the honours.	0 0 0 1 0 1	do the honours	figurative	identical	NOUN VERB INTJ VERB DET NOUN
We had seen a lot of people cry in our time, but this was the first time that Quigley had done us the honour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the honours	figurative	combined-inflection	PRON VERB VERB DET NOUN ADP NOUN VERB ADP ADJ NOUN CCONJ DET VERB DET ADJ NOUN ADJ PROPN VERB VERB PRON DET NOUN
' May I present myself, Mrs. Stevenson, since I am unable to find Madame Rodet to do me the honour? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	do the honours	figurative	combined-inflection	PUNCT VERB PRON VERB PRON PROPN PROPN ADP PRON VERB ADJ PART VERB PROPN PROPN PART VERB PRON DET NOUN PUNCT
he did me the honour of revealing his sources.	0 1 0 0 1 0 0 0 0	do the honours	figurative	combined-inflection	PRON VERB PRON DET NOUN ADP VERB ADJ NOUN
Dear Comrade Surkov, You are warmly invited to do me the honour of attending my forthcoming Inauguration in Washington DC, on 20 January 1989, as 41st President of the United States, and to read your famous poem of international accord, ' Friendship '.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	ADJ PROPN PROPN PRON VERB ADV VERB PART VERB PRON DET NOUN ADP VERB ADJ ADJ PROPN ADP PROPN PROPN ADP NUM PROPN NUM ADP ADJ PROPN ADP DET PROPN PROPN CCONJ PART VERB ADJ ADJ NOUN ADP ADJ NOUN PUNCT NOUN PUNCT
Trygg Tryggvason does him full honours with both production and engineering.	0 0 1 0 0 1 0 0 0 0 0	do the honours	figurative	combined-inflection	PROPN PROPN VERB PRON ADJ NOUN ADP DET NOUN CCONJ NOUN
Nearly fifty years later Magdalen did me the signal honour of electing me an Honorary Fellow.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	do the honours	figurative	combined-inflection	ADV NUM NOUN ADV PROPN VERB PRON DET NOUN NOUN ADP VERB PRON DET PROPN PROPN
By now everyone was dancing, and it seemed quite natural for Huw to ask : ' Would you do me the honour, Mrs O'Dell? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	do the honours	figurative	combined-inflection	ADP ADV NOUN VERB VERB CCONJ PRON VERB ADV ADJ ADP PROPN PART VERB PUNCT PUNCT VERB PRON VERB PRON DET NOUN PROPN PROPN PUNCT
to do the the honours.	0 1 0 0 1	do the honours	figurative	insertion-determiner	PART VERB DET DET NOUN
And we must both help Mum to do the honours.	0 0 0 0 0 0 0 1 0 1	do the honours	figurative	identical	CCONJ PRON VERB DET VERB PROPN PART VERB DET NOUN
And in Dead City Radio and Seven Souls, respectively, tribute specialist Hal Wilner and New York band Material have done the honours for William Burroughs, the counter - culture's favourite uncle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	CCONJ ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADV NOUN NOUN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN VERB VERB DET NOUN ADP PROPN PROPN DET ADJ PUNCT NOUN ADJ NOUN
Jagger's record is produced by Rick Rubin, who did the honours on a Red Devils ' live album, released on Rubin's own Def American label.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	PROPN NOUN VERB VERB ADP PROPN PROPN NOUN VERB DET NOUN ADP DET PROPN PROPN PART ADJ NOUN VERB ADP PROPN ADJ PROPN ADJ NOUN
' And I think that someone would like to dance it with me, ' she said, as Herman, lured by the smile, came across and with a ludicrous bow, asked Erika if she would do him the honour of the dance, Erika graciously accepting, to her delight leaving Fritz looking disconsolate and unhappy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PUNCT CCONJ PRON VERB ADP NOUN VERB VERB PART VERB PRON ADP PRON PUNCT PRON VERB ADP PROPN VERB ADP DET NOUN VERB ADV CCONJ ADP DET ADJ NOUN VERB PROPN ADP PRON VERB VERB PRON DET NOUN ADP DET NOUN PROPN ADV VERB ADP ADJ NOUN VERB PROPN VERB ADJ CCONJ ADJ
Perhaps you 'd like to do the honours?’	0 0 0 0 0 1 0 1	do the honours	figurative	dashes	ADV PRON VERB VERB PART VERB DET NOUN
Raconteur Lloyd Grossman fourth from left did the honours at his local bookshop last week, launching the new, enlarged Nomad Books in Fulham Road, London SW6.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	PROPN PROPN PROPN ADV ADP NOUN VERB DET NOUN ADP ADJ ADJ NOUN ADJ NOUN VERB DET ADJ ADJ PROPN PROPN ADP PROPN PROPN PROPN PROPN
Markby ‘ did the honours’ and settled down in a vast, chintz - covered, feather - cushioned armchair.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PROPN PUNCT VERB DET NOUN CCONJ VERB PART ADP DET ADJ NOUN PUNCT VERB ADV PUNCT VERB NOUN
‘ Well — Donald asked me to ask you — would you do the honours?’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the honours	figurative	dashes	PUNCT PROPN PUNCT PROPN VERB PRON PART VERB PRON PUNCT VERB PRON VERB DET NOUN
It may have been a stopping - place for drovers — but he could still do Dr Johnson the honour of making lemonade from fresh lemons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PRON VERB VERB VERB DET VERB PUNCT NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV VERB PROPN PROPN DET NOUN ADP VERB NOUN ADP ADJ NOUN
In the end, Lonsdale and Pugh's usual crew did the honours and old Pugh played ‘ You 'll Never Walk Alone’ on the organ.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	ADP DET NOUN PROPN CCONJ PROPN ADJ NOUN VERB DET NOUN CCONJ ADJ PROPN VERB PUNCT PRON VERB ADV VERB ADV ADP DET NOUN
Bill Gates will supposedly do the honours himself at his Windows World keynote.	0 0 0 0 1 0 1 0 0 0 0 0 0	do the honours	figurative	identical	PROPN PROPN VERB ADV VERB DET NOUN PRON ADP ADJ PROPN PROPN NOUN
If you 're doing the honours, I 'll have mine black, two sugars.’	0 0 0 1 0 1 0 0 0 0 0 0 0	do the honours	figurative	inflection	ADP PRON VERB VERB DET NOUN PRON VERB VERB NOUN ADJ NUM NOUN
I want to put to the hon. Member for Sedgefield some important and fundamental questions relating to his party's attitude to training and I hope that he will do the House the honour of answering them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	do the honours	figurative	combined-inflection	PRON VERB PART VERB ADP DET NOUN PROPN ADP PROPN DET ADJ CCONJ ADJ NOUN VERB ADP ADJ NOUN NOUN ADP NOUN CCONJ PRON VERB ADP PRON VERB VERB DET PROPN DET NOUN ADP VERB PRON
Actually, the former Soviet Union had been invited to do the honours but declined, not being up to it organisationally nor economically at present.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	identical	ADV DET ADJ PROPN PROPN VERB VERB VERB PART VERB DET NOUN CCONJ VERB ADV VERB PART ADP PRON ADV CCONJ ADV ADP NOUN
‘ Don't worry, Nettie, I 'll do the honours.’	0 0 0 0 0 0 1 0 1	do the honours	figurative	dashes	PUNCT VERB VERB PROPN PRON VERB VERB DET NOUN
‘ Who's doing the honours?’	0 0 1 0 1	do the honours	figurative	combined-inflection	PUNCT NOUN VERB DET NOUN
Annabelle's father, George, and her mother, Martha, have done me the honour of offering me the opportunity to make a speech on this wonderful occasion and propose a toast to Annabelle and Steven.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PROPN NOUN PROPN CCONJ ADJ NOUN PROPN VERB VERB PRON DET NOUN ADP VERB PRON DET NOUN PART VERB DET NOUN ADP DET ADJ NOUN CCONJ VERB DET NOUN ADP PROPN CCONJ PROPN
