My father had bought the farm at an auction, at what turned out to be an inflated price.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	ADJ NOUN VERB VERB DET NOUN ADP DET NOUN ADP NOUN VERB PART PART VERB DET ADJ NOUN
Her great - grandparents had lived in this house ; it was her great - grandfather who had bought the farm ; but from where had come the money for a Polish immigrant to buy a farm in those far - off days remained a mystery to both her grandfather and, of course, her father.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	ADJ ADJ PUNCT NOUN VERB VERB ADP DET NOUN PUNCT PRON VERB ADJ ADJ PUNCT NOUN NOUN VERB VERB DET NOUN PUNCT CCONJ ADP ADV VERB VERB DET NOUN ADP DET ADJ NOUN PART VERB DET NOUN ADP DET ADV PUNCT PART NOUN VERB DET NOUN ADP CCONJ ADJ NOUN CCONJ ADP NOUN ADJ NOUN
With the profits from their books they made enough finally to buy Old Vicarage Farm, with four others, as an organic co - operative, in 1987.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-other	ADP DET NOUN ADP ADJ NOUN PRON VERB ADV ADV PART VERB PROPN PROPN NOUN ADP NUM NOUN ADP DET ADJ NOUN PUNCT ADJ ADP NUM
While all this was going on I was in the middle of trying to buy my farm back from a pension fund.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	buy the farm	literal	determiner-broad	ADP ADJ DET VERB VERB ADP PRON VERB ADP DET NOUN ADP VERB PART VERB ADJ NOUN ADV ADP DET NOUN NOUN
They bought the farm from the late William Wards and built the camp there.	0 1 0 1 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	inflection	PRON VERB DET NOUN ADP DET ADJ PROPN PROPN CCONJ VERB DET NOUN ADV
One particular aspect of concern to the SSPCA relates to the North - east, where large numbers of incomers from the south of England — the so called white settlers — have bought many small farms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	buy the farm	literal	combined-inflection	NUM ADJ NOUN ADP NOUN ADP DET PROPN VERB ADP DET PROPN PUNCT NOUN ADV ADJ NOUN ADP NOUN ADP DET NOUN ADP PROPN PUNCT DET ADV VERB ADJ NOUN PUNCT VERB VERB ADJ ADJ NOUN
The 4 square mile reservoir would cover an area south - west of Abingdon in Oxfordshire and would mean Thames Water buying up 4 farms and 16 homes, diverting the road between East Hanney and Steventon, landscaping the 80 foot embankment around the water, and building a tunnel connecting it to the Thames.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	DET NUM ADJ NOUN ADV VERB VERB DET NOUN ADV PUNCT NOUN ADP PROPN ADP PROPN CCONJ VERB VERB PROPN PROPN VERB PART NUM NOUN CCONJ NUM NOUN VERB DET NOUN ADP PROPN PROPN CCONJ PROPN VERB DET NUM NOUN NOUN ADP DET NOUN CCONJ VERB DET NOUN VERB PRON ADP DET PROPN
A short report in the Financial Times for 19/20 December 1992 states that women who were sacked from a mushroom farm after refusing new contracts that they alleged had made cuts in their pay, had been given permission by the Court of Appeal on 18 December 1992 to carry out a leaflet campaign to persuade shoppers not to buy the farm's produce.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	buy the farm	literal	identical	DET ADJ NOUN ADP DET PROPN PROPN ADP NUM PROPN NUM NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN NOUN ADP VERB ADJ NOUN ADP PRON VERB VERB VERB NOUN ADP ADJ NOUN VERB VERB VERB NOUN ADP DET PROPN ADP PROPN ADP NUM PROPN NUM PART VERB PART DET NOUN NOUN PART VERB NOUN ADV PART VERB DET NOUN NOUN
The numbers in the 45–64 year bracket are probably accentuated by part - time farmers who had recently bought a small farm either for early retirement or to invest redundancy money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	DET NOUN ADP DET NUM NOUN NOUN VERB ADV VERB ADP NOUN PUNCT NOUN NOUN NOUN VERB ADV VERB DET ADJ NOUN CCONJ ADP ADJ NOUN CCONJ PART VERB NOUN NOUN
Landowners have bought old farms for use as holiday homes and have then claimed planning permission to house local workers, provide employment and manage the land.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	buy the farm	literal	combined-inflection	NOUN VERB VERB ADJ NOUN ADP NOUN ADP NOUN NOUN CCONJ VERB ADV VERB VERB NOUN PART VERB ADJ NOUN VERB NOUN CCONJ VERB DET NOUN
we sold up everything and bought a farm.	0 0 0 0 0 1 0 1	buy the farm	literal	combined-inflection	PRON VERB PART NOUN CCONJ VERB DET NOUN
