The two of us threw caution to the winds and raced to the rescue.	0 0 0 0 1 1 1 0 1 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET NUM ADP PRON VERB NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN
Jaguar and Nissan, as if to celebrate the swansong of their turbocars, threw caution to the winds, and took the fight to Mercedes - Benz with devil - may - care enthusiasm.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	PROPN CCONJ PROPN ADP ADP PART VERB DET NOUN ADP ADJ NOUN VERB NOUN ADP DET NOUN CCONJ VERB DET NOUN ADP PROPN PUNCT PROPN ADP NOUN PUNCT NOUN PUNCT NOUN NOUN
If either Karen or I had had any idea that it was possible for someone to drown so quickly, we would no doubt have thrown caution to the wind and dived in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0	throw caution to the wind	figurative	inflection	ADP DET PROPN CCONJ PRON VERB VERB DET NOUN ADP PRON VERB ADJ ADP NOUN PART VERB ADV ADV PRON VERB ADV ADV VERB VERB NOUN ADP DET NOUN CCONJ VERB PART
In addition it was to be hoped that Max could come up with some fairly definite cause of death ; and it was even possible ( if only just ) that the surgeon might throw caution to the wind for once and volunteer a tentative approximation of the time it had actually happened.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	ADP NOUN PRON VERB PART VERB VERB ADP PROPN VERB VERB PART ADP DET ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV ADJ PUNCT ADP ADV ADV PUNCT ADP DET NOUN VERB VERB NOUN ADP DET NOUN ADP ADV CCONJ VERB DET ADJ NOUN ADP DET NOUN PRON VERB ADV VERB
‘ Miss Phoebe,’ Jess said, throwing caution to the winds.	0 0 0 0 0 1 1 1 0 1	throw caution to the wind	figurative	inflection	PUNCT PROPN PROPN PROPN VERB VERB NOUN ADP DET NOUN
Their combination of styles can lead to blandness occasionally, but when the Circus throw caution to the wind they can be both powerful and inventive.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	ADJ NOUN ADP NOUN VERB VERB ADP NOUN ADV CCONJ ADV DET PROPN VERB NOUN ADP DET NOUN PRON VERB VERB DET ADJ CCONJ ADJ
The girl threw caution to the wind and tried to make the most of every minute via sex, drink, numerous abortions, and late - night revels.	0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET NOUN VERB NOUN ADP DET NOUN CCONJ VERB PART VERB DET ADJ ADP DET NOUN ADP NOUN NOUN ADJ NOUN CCONJ ADJ PUNCT NOUN NOUN
You may even throw caution to the wind and try one of our Mystery Trips.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	PRON VERB ADV VERB NOUN ADP DET NOUN CCONJ VERB NUM ADP ADJ PROPN PROPN
He decided to throw caution to the wind before Selwyn came over for his tea.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	PRON VERB PART VERB NOUN ADP DET NOUN ADP PROPN VERB PART ADP ADJ NOUN
All her insecurities surged painfully as, throwing caution to the winds, she confronted him furiously, demanding imperiously, ‘ Why exactly have you brought me here, Rune?	0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	inflection	DET ADJ NOUN VERB ADV ADP VERB NOUN ADP DET NOUN PRON VERB PRON ADV VERB ADV PUNCT ADV ADV VERB PRON VERB PRON ADV PROPN
My friends and their little daughter went splashing blithely in so I threw caution to the winds and followed.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	throw caution to the wind	figurative	inflection	ADJ NOUN CCONJ ADJ ADJ NOUN VERB VERB ADV ADP ADV PRON VERB NOUN ADP DET NOUN CCONJ VERB
You can not be tentative or apprehensive in your movements ; you have to throw caution to the wind and ‘ attack’ a manoeuvre with the objective clearly in your mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	throw caution to the wind	figurative	identical	PRON VERB ADV VERB ADJ CCONJ ADJ ADP ADJ NOUN PUNCT PRON VERB PART VERB NOUN ADP DET NOUN CCONJ PUNCT NOUN DET NOUN ADP DET NOUN ADV ADP ADJ NOUN
If fleeing and hiding have failed and the prey finds itself cornered by its would - be killer, it may make one last desperate attempt to save itself, by throwing caution to the wind and attacking the predator physically.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0	throw caution to the wind	figurative	inflection	ADP VERB CCONJ NOUN VERB VERB CCONJ DET NOUN VERB PRON VERB ADP ADJ VERB PUNCT VERB NOUN PRON VERB VERB NUM ADJ ADJ NOUN PART VERB PRON ADP VERB NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV
