‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV
He's a thief, a criminal, he nicked my bag and I had to sift through every shit - bin in Bristol till I found my dreams and found out what I ought to've known all along if you hadn't …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON DET NOUN DET NOUN PRON VERB ADJ NOUN CCONJ PRON VERB PART VERB ADP DET NOUN PUNCT NOUN ADP PROPN ADP PRON VERB ADJ NOUN CCONJ VERB PART NOUN PRON VERB VERB VERB DET ADP ADP PRON VERB PUNCT
The grapes are all along here see behind the washing?	0 0 0 1 1 0 0 0 0 0	all along	literal	identical	DET NOUN VERB ADV ADV ADV VERB ADP DET NOUN
But in fact feminists have been concerned with the morality of abortion all along — but in a distinctly different way from the moral philosophers and Right - to - Lifers.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADP NOUN NOUN VERB VERB VERB ADP DET NOUN ADP NOUN ADV ADV PUNCT CCONJ ADP DET ADV ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT NOUN PUNCT PROPN
It was the kind of illogical fear of the supernatural that in others made me sneer ; but all along I had felt that I was invited not out of hospitality, but for some other reason.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP DET ADJ ADP ADP NOUN VERB PRON VERB PUNCT CCONJ DET ADP PRON VERB VERB ADP PRON VERB VERB ADV ADP ADP NOUN CCONJ ADP DET ADJ NOUN
I love you, Folly — I think I 've loved you all along.	0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB PRON PROPN PUNCT PRON VERB PRON VERB VERB PRON DET ADV
Why do you come to me with a proposal for something you have resisted all along?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	ADV VERB PRON VERB ADP PRON ADP DET NOUN ADP NOUN PRON VERB VERB DET NOUN
American morels can be found all along the Canadian border.	0 0 0 0 0 1 1 0 0 0	all along	literal	identical	ADJ NOUN VERB VERB VERB ADV ADP DET ADJ NOUN
She was lucky she 'd been able to keep it a secret all along.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADJ PRON VERB VERB ADJ PART VERB PRON DET NOUN DET ADV
However, events take a path of their own and the picture finally brings him the happiness it seemed to promise all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADV NOUN VERB DET NOUN ADP ADJ ADJ CCONJ DET NOUN ADV VERB PRON DET NOUN PRON VERB PART VERB DET ADV
Coal was handled all along the Forth with Charlestown, West of Rosyth being the early front runner shipping 250,000 tons in 1869.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PROPN VERB VERB ADV ADP DET PROPN ADP PROPN PROPN ADP PROPN VERB DET ADJ ADJ NOUN VERB NUM NOUN ADP NUM
The way I see it, Mum knew all along she wasn't getting any better.	0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	figurative	identical	DET NOUN PRON VERB PRON PROPN VERB ADV ADP PRON VERB VERB DET ADV
It put me in mind of the vast River Niger further south, which brings fish and game to villagers all along its course.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	figurative	identical	PRON VERB PRON ADP NOUN ADP DET ADJ PROPN PROPN ADJ ADV ADJ VERB NOUN CCONJ NOUN ADP NOUN DET ADP ADJ NOUN
From here too visitors are ideally placed to discover the wealth of exclusive boutiques and designer names displayed all along the promenade.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	ADP ADV ADV NOUN VERB ADV VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN VERB ADV ADP DET NOUN
On the contrary ; corduroy and other imitation velvets, like velour and velveteen, were considered all along to be false finery, puffed up and pompous.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	all along	figurative	identical	ADP DET NOUN PUNCT ADJ CCONJ ADJ NOUN NOUN ADP NOUN CCONJ NOUN VERB VERB DET ADP PART VERB ADJ NOUN VERB PART CCONJ ADJ
So we just had to accept he was right all along!	0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADV PRON ADV VERB PART VERB PRON VERB ADV ADV ADV
Everyone except Robson knew all along he was world class	0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	NOUN ADP PROPN VERB ADV ADP PRON VERB NOUN NOUN
All along the coastal plain bordering the North Sea and the Baltic, stretching from the Dutch frontier to that of the U.S.S.R., the towns suffered years of bombardment from sea and air during the Second World War.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET ADJ ADJ VERB DET PROPN PROPN CCONJ DET PROPN VERB ADP DET ADJ NOUN ADP DET ADP DET PROPN DET NOUN VERB NOUN ADP NOUN ADP NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN
I remembered that they had been there all along, and wondered how I could ever have forgotten them.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADP PRON VERB VERB ADV DET ADV CCONJ VERB ADV PRON VERB ADV VERB VERB PRON
It crossed Rain's mind that Eliot might have planned all along that Harbury should help but that Shildon had proposed her instead.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB NOUN NOUN ADP PROPN VERB VERB VERB DET ADP DET PROPN VERB VERB CCONJ ADP PROPN VERB VERB PRON ADV
Maybe it was what he wanted all along.’	0 0 0 0 0 0 1 1	all along	figurative	dashes	ADV PRON VERB NOUN PRON VERB DET PUNCT
She's all black now all along, so	0 0 0 0 1 1 0	all along	figurative	identical	PRON DET ADJ ADV ADV ADV ADV
And Dot had a sinking feeling because she realized she 'd known all along even though she hadn't wanted to.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	all along	figurative	identical	CCONJ PROPN VERB DET VERB NOUN ADP PRON VERB PRON VERB VERB DET ADV ADV ADP PRON VERB VERB PART
I think it was Louis all along.	0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB PRON VERB PROPN ADV ADP
To B., the happiness of her family comes first and she is, in the eyes of Miller, clearly in the right all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADP PROPN DET NOUN ADP ADJ NOUN VERB ADV CCONJ PRON VERB ADP DET NOUN ADP PROPN ADV ADP DET NOUN ADV ADV
Yeah you can drive down, drive from Marbella to Gibraltar it's all along the coast beautiful seaside sceneries	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	all along	literal	identical	INTJ PRON VERB VERB ADV VERB ADP PROPN ADP PROPN PRON DET ADP DET NOUN ADJ NOUN NOUN
It's changed partly because Stalin's er strategy in China has been shown to be a disaster and Stalin is trying to cover his tracks and most effective way of protecting himself against the criticism and the unpopularity which is likely to come from the failure is by insisting that the strategy was right all along and the revolution is about to triumph.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADV ADP PROPN INTJ NOUN ADP PROPN VERB VERB VERB PART VERB DET NOUN CCONJ PROPN VERB VERB PART VERB ADJ NOUN CCONJ ADJ ADJ NOUN ADP VERB PRON ADP DET NOUN CCONJ DET NOUN ADJ VERB ADJ PART VERB ADP DET NOUN VERB ADP VERB ADP DET NOUN VERB ADV ADV ADV CCONJ DET NOUN VERB ADJ PART VERB
She 'd been convinced all along that eventually she must lose him, that Marianne was right — some other attraction must inevitably draw him away.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB VERB ADV ADP DET ADV PRON VERB VERB PRON ADP PROPN VERB ADJ PUNCT DET ADJ NOUN VERB ADV VERB PRON ADV
The implication has been all along that they 're using the same United States manufacturing source but in fact there are one or two discrepancies here, erm, because the value is so high, I 'm actually sort of going through and looking at everything pretty closely, and they 've changed the basis so wow,.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET NOUN VERB VERB ADV ADP ADP PRON VERB VERB DET ADJ PROPN PROPN NOUN NOUN CCONJ ADP NOUN ADV VERB NUM CCONJ NUM NOUN ADV INTJ ADP DET NOUN VERB ADV ADJ PRON VERB ADV ADV ADV VERB ADV CCONJ VERB ADP NOUN ADV ADV CCONJ PRON VERB VERB DET NOUN ADV INTJ
