‘ Burra has not made a song and dance about how it has been affected,’ he said.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	song and dance	figurative	identical	PUNCT PROPN VERB ADV VERB DET NOUN CCONJ NOUN ADP ADV PRON VERB VERB VERB PRON VERB
DRIVING ME CRAZY ‘ The biggest mass art project in the history of the world’ was how the impresario Andre Heller modestly described his plan to stage Body and Soul, an extravaganza of black song and dance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	literal	identical	VERB NOUN VERB PRON DET ADJ NOUN NOUN NOUN ADP DET NOUN ADP DET NOUN VERB ADV DET NOUN PROPN PROPN ADV VERB ADJ NOUN PART VERB PROPN CCONJ PROPN DET NOUN ADP ADJ NOUN CCONJ NOUN
it is, I said I 've given you a lot of time in the holidays and what have you come in and now you 're making a big song and dance about an hour and she said oh I 'm sorry I didn't mean to speak to you like that, but she did, she was just plain rude and really quite nasty, eh she should of yeah, and she should of told me that I wasn't, becomes taking a lunch break and then she said well you could of taken half an hour, I said you didn't tell me well I said to her Matt rung up this morning and said to you, surveyor's coming up to, at four o'clock, he wants both of us to be there so we know which way the windows will be and all the rest of it, just bear in mind, now I said to her I know it's short notice but can I please go at four o'clock, she said yeah it is short notice but yeah no problem come in at eight o'clock tomorrow morning as a joke and then she totally changed her attitude when she came back from her thing mm yeah oh yeah that was nice of her well I said to her, I said to her oh I said to her look she would take	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	PRON VERB PRON VERB PRON VERB VERB PRON DET NOUN ADP NOUN ADP DET NOUN CCONJ NOUN VERB PRON VERB ADV CCONJ ADV PRON VERB VERB DET ADJ NOUN CCONJ NOUN ADP DET NOUN CCONJ PRON VERB INTJ PRON VERB ADJ PRON VERB VERB PART VERB ADP PRON ADP DET CCONJ PRON VERB PRON VERB ADV ADV ADJ CCONJ ADV ADV ADJ INTJ PRON VERB ADP INTJ CCONJ PRON VERB ADP VERB PRON ADP PRON VERB VERB VERB DET NOUN NOUN CCONJ ADV PRON VERB INTJ PRON VERB ADP VERB ADJ DET NOUN PRON VERB PRON VERB VERB PRON INTJ PRON VERB ADP ADJ PROPN VERB PART DET NOUN CCONJ VERB ADP PRON NOUN VERB PART ADP ADP NUM NOUN PRON VERB DET ADP PRON PART VERB ADV ADV PRON VERB ADJ NOUN DET NOUN VERB VERB CCONJ ADJ DET NOUN ADP PRON ADV VERB ADP NOUN ADV PRON VERB ADP PRON PRON VERB PRON ADJ NOUN CCONJ VERB PRON INTJ VERB ADP NUM NOUN PRON VERB INTJ PRON VERB ADJ NOUN CCONJ INTJ DET NOUN VERB PART ADP NUM NOUN NOUN NOUN ADP DET NOUN CCONJ ADV PRON ADV VERB ADJ NOUN ADV PRON VERB ADV ADP ADJ NOUN INTJ INTJ INTJ INTJ DET VERB ADJ ADP PRON INTJ PRON VERB ADP PRON PRON VERB ADP PRON INTJ PRON VERB ADP ADJ NOUN PRON VERB VERB
It's first night again for Paul Nicholas ; one of many he's known in his long career as a song and dance man.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	song and dance	literal	identical	PRON ADJ NOUN ADV ADP PROPN PROPN PUNCT NUM ADP ADJ PRON VERB ADP ADJ ADJ NOUN ADP DET NOUN CCONJ NOUN NOUN
‘ He used his money to help others — but he never made a song and dance about it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	figurative	identical	PUNCT PRON VERB ADJ NOUN PART VERB NOUN PUNCT CCONJ PRON ADV VERB DET NOUN CCONJ NOUN ADP NOUN
Without making a song and dance about it your quiet air of self - assured confidence makes you a natural leader, so don't be surprised to find yourself elected unofficial spokesperson for a group of trusting friends, workmates or neighbours.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	ADP VERB DET NOUN CCONJ NOUN ADP PRON ADJ ADJ NOUN ADP NOUN PUNCT VERB NOUN VERB PRON DET ADJ NOUN ADV VERB VERB ADJ PART VERB PRON VERB ADJ NOUN ADP DET NOUN ADP VERB NOUN NOUN CCONJ NOUN
But to the children of Gloucestershire, it's just making a song and dance about having fun.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	song and dance	figurative	identical	CCONJ ADP DET NOUN ADP PROPN PRON ADV VERB DET NOUN CCONJ NOUN ADP VERB NOUN
On a more cultural note, the Chinese and Asian fashion shows and song and dance were enjoyed by all and complemented the many important issues such as safety, women's health and violence against women which were addressed during the weekend.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	ADP DET ADV ADJ NOUN DET ADJ CCONJ ADJ NOUN NOUN CCONJ NOUN CCONJ NOUN VERB VERB ADP DET CCONJ VERB DET ADJ ADJ NOUN ADJ ADP NOUN NOUN NOUN CCONJ NOUN ADP NOUN ADJ VERB VERB ADP DET NOUN
And if hadn't of got on the phone and sort of made a song and dance about it, and told one or two things, and said one or two things they come up with a bit more money, but again you have to lie through your teeth to get back what you 're really entitled to!	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	CCONJ ADP VERB ADP VERB ADP DET NOUN CCONJ ADV ADV VERB DET NOUN CCONJ NOUN ADP PRON CCONJ VERB NUM CCONJ NUM NOUN CCONJ VERB NUM CCONJ NUM NOUN PRON VERB PART ADP DET NOUN ADJ NOUN CCONJ ADV PRON VERB PART VERB ADP ADJ NOUN PART VERB ADV NOUN PRON VERB ADV ADJ ADP
Celebrating its 10th Anniversary, the Festival will be mounting a very special weekend of traditional music, song and dance with leading performers from around Britain and Europe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	song and dance	literal	identical	VERB ADJ ADJ NOUN DET PROPN VERB VERB VERB DET ADV ADJ NOUN ADP ADJ NOUN NOUN CCONJ NOUN ADP VERB NOUN ADP ADP PROPN CCONJ PROPN
My people feel that the right hon. Gentleman would have been better employed if he had rushed to comfort the bereaved rather than carry out a song - and - dance act among people in Dublin, or even watch a rugby match.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	dashes	ADJ NOUN VERB ADP DET ADJ NOUN PROPN VERB VERB VERB ADV VERB ADP PRON VERB VERB PART VERB DET NOUN ADV ADP VERB PART DET NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP NOUN ADP PROPN CCONJ ADV VERB DET NOUN NOUN
‘ I am not making a great song and dance about it,’ she said in a softly dangerous voice and, with a hint of ostentation in her movements, stirred a saccharin tablet into a cup of black coffee.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	PUNCT PRON VERB ADV VERB DET ADJ NOUN CCONJ NOUN ADV NOUN PRON VERB ADP DET ADV ADJ NOUN CCONJ ADP DET NOUN ADP NOUN ADP ADJ NOUN VERB DET NOUN NOUN ADP DET NOUN ADP ADJ NOUN
Their song and dance show is touring Britain and Mike Rowbottom went to meet them.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	ADJ NOUN CCONJ NOUN NOUN VERB VERB PROPN CCONJ PROPN PROPN VERB PART VERB PRON
Such composition, which reached a peak in the large - scale abstract instrumental music of nineteenth - century Europe, coexisted even then with simpler songs and dances.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	literal	inflection	ADJ NOUN ADJ VERB DET NOUN ADP DET ADJ PUNCT NOUN ADJ ADJ NOUN ADP ADJ PUNCT NOUN PROPN VERB ADV ADV ADP ADJ NOUN CCONJ NOUN
Outside, a filthy and torn bill : ' Jubilee Song and Dance … '	0 0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	literal	case	ADV DET ADJ CCONJ ADJ NOUN PUNCT PUNCT PROPN PROPN CCONJ PROPN PUNCT PUNCT
Featuring music, song and dance, the ‘ Harvest Festival at Queen 's’ features the likes of Sharon Shannon, Begley and Cooney, The Voice Squad, Ten Wheels For Jesus, Cathal Hayden and many, many more.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	VERB NOUN NOUN CCONJ NOUN DET PUNCT PROPN PROPN ADP PROPN NOUN VERB DET NOUN ADP PROPN PROPN PROPN CCONJ PROPN DET PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN CCONJ ADJ ADJ ADJ
I actually think Black was fouled but as you say he makes a bit of a song and dance about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	figurative	identical	PRON ADV VERB PROPN VERB ADJ CCONJ ADP PRON VERB PRON VERB DET NOUN ADP DET NOUN CCONJ NOUN ADP PRON
The celebrations are accompanied by song and dance and local food, and the new wine is drunk.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	DET NOUN VERB VERB ADP NOUN CCONJ NOUN CCONJ ADJ NOUN CCONJ DET ADJ NOUN VERB ADJ
Miss Taylor, you went to Hollywood as a very young girl and during that time the young actors and actresses such as Mickey Rooney, Judy Garland and Deanna Durbin seemed to be channelled towards song and dance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	literal	identical	PROPN PROPN PRON VERB ADP PROPN ADP DET ADV ADJ NOUN CCONJ ADP DET NOUN DET ADJ NOUN CCONJ NOUN ADJ ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB PART VERB VERB ADP NOUN CCONJ NOUN
But I used to quite enjoy the erm the, the shows, the s the song and dance routines, they were funny.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	song and dance	literal	identical	CCONJ PRON VERB PART ADV VERB DET NOUN DET DET NOUN DET NOUN DET NOUN CCONJ NOUN NOUN PRON VERB ADJ
‘ And I didn't mean to imply you were making a song and dance.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	figurative	identical	PUNCT CCONJ PRON VERB VERB PART VERB PRON VERB VERB DET NOUN CCONJ NOUN
A tuxedo - clad Madonna opened the show with a gender - bending song - and - dance number with three scantily clad women in a brothel - style atmosphere.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	dashes	DET NOUN PUNCT VERB PROPN VERB DET NOUN ADP DET NOUN PUNCT VERB NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP NUM ADV VERB NOUN ADP DET ADJ PUNCT NOUN NOUN
This theme has a curious persistence, but one does not need a song and dance about it.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	song and dance	figurative	identical	DET NOUN VERB DET ADJ NOUN CCONJ NOUN VERB ADV VERB DET NOUN CCONJ NOUN ADP PRON
From this it was only a short step to total involvement in folk culture, and his ability to play the gipsy violin led him to join the Gyorgyos Bokreta group, which at that time offered a programme of traditional songs and dances from the Bata region.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	song and dance	literal	inflection	ADP DET PRON VERB ADV DET ADJ NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PART VERB DET ADJ NOUN VERB PRON PART VERB DET PROPN PROPN NOUN ADJ ADP DET NOUN VERB DET NOUN ADP ADJ NOUN CCONJ NOUN ADP DET PROPN NOUN
I think most conductors would have stopped and made a song and dance.	0 0 0 0 0 0 0 0 0 0 1 1 1	song and dance	figurative	identical	PRON VERB ADJ NOUN VERB VERB VERB CCONJ VERB DET NOUN CCONJ NOUN
‘ Sikulu, The Warrior’is a really perfect piece of music theatre, half Cotton Club, half Cape Town, and the mixture of song and dance radiates from the stage like pure energy … it is astonishing how African folk and modern harmonies blend so beautifully.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	identical	PUNCT PROPN DET NOUN DET ADV ADJ NOUN ADP NOUN NOUN DET PROPN PROPN NOUN PROPN PROPN CCONJ DET NOUN ADP NOUN CCONJ NOUN NOUN ADP DET NOUN ADP ADJ NOUN PUNCT PRON VERB VERB ADV ADJ NOUN CCONJ ADJ NOUN VERB ADV ADV
Song and dance over rising star	1 1 1 0 0 0	song and dance	figurative	case	NOUN CCONJ NOUN ADP VERB NOUN
Robbery, rebellion, cooking, football ( in small doses ), infants threatened with death, song and dance, Maid Marion and Robin Hood.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	song and dance	literal	identical	PROPN NOUN NOUN NOUN PUNCT ADP ADJ NOUN PUNCT NOUN VERB ADP NOUN NOUN CCONJ NOUN PROPN PROPN CCONJ PROPN PROPN
Were you given a comprehensive study of song and dance?	0 0 0 0 0 0 0 1 1 1	song and dance	literal	identical	VERB PRON VERB DET ADJ NOUN ADP NOUN CCONJ NOUN
Although there has been a great song and dance about his supposedly suspect temperament this season, I can't fault it.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	song and dance	figurative	identical	ADP ADV VERB VERB DET ADJ NOUN CCONJ NOUN ADP ADJ ADV ADJ NOUN DET NOUN PRON VERB VERB PRON
A flash of sunlight, burning logs, an old psalm tune, fallen leaves, are part of his remembered world ; as are ballads, songs and dance rhythms, the sound of water sliding down window panes, or slapping against holes in the river bank.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	song and dance	literal	inflection	DET NOUN ADP NOUN VERB NOUN DET ADJ NOUN NOUN VERB NOUN VERB NOUN ADP ADJ VERB NOUN PUNCT ADP VERB NOUN NOUN CCONJ NOUN NOUN DET NOUN ADP NOUN VERB PART NOUN NOUN CCONJ VERB ADP NOUN ADP DET NOUN NOUN
