So I mean, we 're just going through the motions at the moment, I mean, quite hone	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	go through the motions	figurative	inflection	ADV PRON VERB PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN PRON VERB ADV NOUN
He shrugged broad shoulders, not even going through the motions of denying her accusation.	0 0 0 0 0 0 1 1 0 1 0 0 0 0	go through the motions	figurative	inflection	PRON VERB ADJ NOUN ADV ADV VERB ADP DET NOUN ADP VERB ADJ NOUN
Myth no. 1 : you have to be an athlete to exercise At school, did you simply go through the motions in your physical - education class?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go through the motions	figurative	identical	NOUN INTJ NUM PUNCT PRON VERB PART VERB DET NOUN PART VERB ADP NOUN VERB PRON ADV VERB ADP DET NOUN ADP ADJ ADJ PUNCT NOUN NOUN
We go to work, eat, sleep, get married, have children, get divorced, always just going through the motions without being involved, without sparkle, without real enjoyment or genuine pain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	PRON VERB ADP NOUN VERB VERB VERB ADJ VERB NOUN VERB VERB ADV ADV VERB ADP DET NOUN ADP VERB VERB ADP NOUN ADP ADJ NOUN CCONJ ADJ NOUN
The police would go through the motions, but they wouldn't make a meal of it.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	DET NOUN VERB VERB ADP DET NOUN CCONJ PRON VERB VERB DET NOUN ADP PRON
So er we used to go through the motions and er after about er three weeks I think it was, no, yeah, two or three weeks anyway.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	identical	CCONJ INTJ PRON VERB PART VERB ADP DET NOUN CCONJ INTJ ADP ADP INTJ NUM NOUN PRON VERB PRON VERB INTJ INTJ NUM CCONJ NUM NOUN ADV
But practice can mean going through the motions just as much as accumulating factual knowledge.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	go through the motions	figurative	inflection	CCONJ NOUN VERB VERB VERB ADP DET NOUN ADV ADV ADJ ADP VERB ADJ NOUN
‘ But if I 'm not enjoying it I won't make the mistake of going through the motions like I did this year.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	go through the motions	figurative	inflection	PUNCT CCONJ ADP PRON VERB ADV VERB PRON PRON VERB VERB DET NOUN ADP VERB ADP DET NOUN ADP PRON VERB DET NOUN
When I met them, I did not come out with all the clichéd bullshit and all the record company going - through - the - motions kind of thing, ' he says.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0	go through the motions	figurative	combined-inflection	ADV PRON VERB PRON PRON VERB ADV VERB PART ADP ADJ DET NOUN VERB CCONJ ADJ DET ADJ NOUN VERB PUNCT ADP PUNCT DET PUNCT NOUN NOUN ADP NOUN PUNCT PRON VERB
Mechanically going through the motions, repeating his words, hardly aware of the small Monday night audience, hardly aware of the new girl hesitantly feeding him Lesley - Jane's lines, he was in an agony of apprehension throughout the performance.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	go through the motions	figurative	inflection	PROPN VERB ADP DET NOUN VERB ADJ NOUN ADV ADJ ADP DET ADJ PROPN NOUN NOUN ADV ADJ ADP DET ADJ NOUN ADV VERB PRON PROPN PUNCT PROPN NOUN PRON VERB ADP DET NOUN ADP NOUN ADP DET NOUN
Cos there's no point in coming back and doing a second appointment and just go through the motions cos that will lead to what?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go through the motions	figurative	identical	NOUN ADV DET NOUN ADP VERB ADV CCONJ VERB DET ADJ NOUN CCONJ ADV VERB ADP DET NOUN ADP DET VERB VERB ADP NOUN
