And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN
Old people are no fools, and can easily be hurt ; so however many things you have on your mind to be done when you get home, never leave them feeling that you have given them time that you have grudgingly spared.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN VERB DET NOUN CCONJ VERB ADV VERB VERB PUNCT ADV ADV ADJ NOUN PRON VERB ADP ADJ NOUN PART VERB VERB ADV PRON VERB ADV ADV VERB PRON VERB ADP PRON VERB VERB PRON NOUN ADJ PRON VERB ADV VERB
Charles Dickens had something similar on his mind when, in an embittered flogging essay of 1860, he accused ‘ The Ruffian’ of making London's streets as perilous as a ‘ solitary mountain - spur of the Abruzzi’.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN VERB NOUN ADJ ADP ADJ NOUN ADV ADP DET ADJ ADJ NOUN ADP NUM PRON VERB PUNCT DET PROPN ADP VERB PROPN NOUN ADP ADJ ADP DET PUNCT ADJ NOUN PUNCT NOUN ADP DET NOUN
And more and more the fast - approaching deadline of the next dummy edition was pressing on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	CCONJ ADJ CCONJ ADV DET ADV PUNCT VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN
I have more important things on my mind.’	0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	PRON VERB ADV ADJ NOUN ADP ADJ NOUN
Obviously, Tom had a lot on his mind, but I had no choice but to ask him to spend some time helping us with our problems.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV PROPN VERB DET NOUN ADP ADJ NOUN CCONJ PRON VERB DET NOUN ADP PART VERB PRON PART VERB DET NOUN VERB PRON ADP ADJ NOUN
The monks ' cells, just visible through the windows of the women's dormitories, lay 500 yards away, far enough for them to have required a telescope and searchlights if disturbance had been on their minds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	DET NOUN PART NOUN ADV ADJ ADP DET NOUN ADP DET NOUN NOUN VERB NUM NOUN ADV ADV ADV ADP PRON PART VERB VERB DET NOUN CCONJ NOUN ADP NOUN VERB VERB ADP ADJ NOUN
Sheikh al Hassan had a lot on his mind.	0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN
Paula asked the question which had preyed on her mind while they were drinking coffee from room service in Tweed's suite.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN VERB DET NOUN ADJ VERB VERB ADP ADJ NOUN ADP PRON VERB VERB NOUN ADP NOUN NOUN ADP PROPN NOUN
Success was also on Cecil Parkinson's mind.	0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	PROPN VERB ADV ADP PROPN PROPN NOUN
Shiona sensed that he knew she had something on her mind.	0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN VERB ADP PRON VERB PRON VERB NOUN ADP ADJ NOUN
Such a man has lunch on his mind - his and his family's.	0 0 0 0 0 1 1 1 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ DET NOUN VERB NOUN ADP ADJ NOUN PUNCT ADJ CCONJ ADJ NOUN
But Mrs Willmot had more important things on her mind, it seemed : she wished to enlist Edward's support for the Parent - Teacher Association fund - raising concert in the autumn.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	CCONJ PROPN PROPN VERB ADV ADJ NOUN ADP ADJ NOUN PRON VERB PUNCT PRON VERB PART VERB PROPN NOUN ADP DET PROPN PUNCT PROPN PROPN NOUN PUNCT VERB NOUN ADP DET NOUN
The debt played on my mind as I half listened to a soprano trying to sing Lulu's ‘ Shout’.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	DET NOUN VERB ADP ADJ NOUN ADP PRON NOUN VERB ADP DET NOUN VERB PART VERB PROPN ADJ NOUN
He had much on his mind.	0 0 0 1 1 1	on someone's mind	figurative	possessive	PRON VERB ADJ ADP ADJ NOUN
