I presume that the teachers hated his guts.’	0 0 0 0 0 1 1 1	hate someone's guts	figurative	misc	PRON VERB ADP DET NOUN VERB ADJ NOUN
I wanted him badly and he hated my guts, and I said all right, I 'll leave you alone if you can beat any of the guys on the Australian spring tour.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hate someone's guts	figurative	misc	PRON VERB PRON ADV CCONJ PRON VERB ADJ NOUN CCONJ PRON VERB ADV INTJ PRON VERB VERB PRON ADJ ADP PRON VERB VERB DET ADP DET NOUN ADP DET ADJ NOUN NOUN
I know that's not your fault, but all the same, God damn you, I can't help hating your guts—!’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hate someone's guts	figurative	misc	PRON VERB DET ADV ADJ NOUN CCONJ ADJ DET ADJ PROPN ADV PRON PRON VERB VERB VERB ADJ NOUN
But there are always one or two who would have preferred a colleague to a stranger even if they hated his guts.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	hate someone's guts	figurative	misc	CCONJ ADV VERB ADV NUM CCONJ NUM NOUN VERB VERB VERB DET NOUN ADP DET NOUN ADV ADP PRON VERB ADJ NOUN
I hate their guts.	0 1 1 1	hate someone's guts	figurative	possessive	PRON VERB ADJ NOUN
I hate his guts no	0 1 1 1 0	hate someone's guts	figurative	possessive	PRON VERB ADJ NOUN INTJ
I hated his guts.’	0 1 1 1	hate someone's guts	figurative	misc	PRON VERB ADJ NOUN
I hate his guts no	0 1 1 1 0	hate someone's guts	figurative	possessive	PRON VERB ADJ NOUN INTJ
‘ I don't still hate his guts — if that's what you 're asking.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	hate someone's guts	figurative	possessive	PUNCT PRON VERB ADV VERB ADJ NOUN PUNCT ADP DET NOUN PRON VERB VERB
‘ And your parents quite obviously hate my guts because they think I walked out on Jennifer when she most needed me …	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hate someone's guts	figurative	possessive	PUNCT CCONJ ADJ NOUN ADV ADV VERB ADJ NOUN ADP PRON VERB PRON VERB PART ADP PROPN ADV PRON ADV VERB PRON PUNCT
‘ Yes, and she hated your guts!’ thought Marie.	0 0 0 0 1 1 1 0 0	hate someone's guts	figurative	misc	PUNCT INTJ CCONJ PRON VERB ADJ NOUN VERB PROPN
He would settle accounts with his landlady, who hated his guts as much as he hated hers, then he would pack, then he would go home.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hate someone's guts	figurative	misc	PRON VERB VERB NOUN ADP ADJ NOUN NOUN VERB ADJ NOUN ADV ADV ADP PRON VERB PRON ADV PRON VERB VERB ADV PRON VERB VERB ADV
