Mr Williamson, were you proposing to briefly outline the methodology or w shall we take it as read?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	take something as read	figurative	objective	PROPN PROPN VERB PRON VERB PART ADV VERB DET NOUN CCONJ DET VERB PRON VERB PRON ADP VERB
well item one is the minutes of the A G M nineteen ninety two if there are any queries, may I have them now or I will take them as read and sign them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0	take something as read	figurative	objective	INTJ NOUN NUM VERB DET NOUN ADP DET PROPN NOUN NOUN NUM NUM NUM ADP ADV VERB DET NOUN VERB PRON VERB PRON ADV CCONJ PRON VERB VERB PRON ADP VERB CCONJ VERB PRON
Some things are taken as read and they 're not actually said.	0 1 0 1 1 1 0 0 0 0 0 0	take something as read	figurative	combined-inflection	DET NOUN VERB VERB ADP NOUN CCONJ PRON VERB ADV ADV VERB
' I took that as read.	0 0 1 1 1 1	take something as read	figurative	combined-inflection	PUNCT PRON VERB DET ADP NOUN
And by this stage in this commentary, he wrote, there is no need to qualify the words success, triumph, and the rest, qualifications can be taken as read.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	take something as read	figurative	combined-inflection	CCONJ ADP DET NOUN ADP DET NOUN PRON VERB ADV VERB DET NOUN PART VERB DET NOUN NOUN NOUN CCONJ DET NOUN NOUN VERB VERB VERB ADP NOUN
The press took it as read that Kylie was indeed an anorexic — again something that she has always denied.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take something as read	figurative	combined-inflection	DET NOUN VERB PRON ADP VERB ADP PROPN VERB ADV DET NOUN PUNCT ADV NOUN ADJ PRON VERB ADV VERB
But you can take it as read that you have the contract. '	0 0 0 1 1 1 1 0 0 0 0 0 0	take something as read	figurative	objective	CCONJ PRON VERB VERB PRON ADP VERB ADP PRON VERB DET NOUN PUNCT
Or alternatively the new situation is completely ignored and the time - space mesh contracted to such a degree that landform is almost taken as read and interest is, instead, directed at hydrological matters relating to the transmission of water and sediment across land - surfaces which look increasingly like the isotropic ones of human geographers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take something as read	figurative	combined-inflection	CCONJ ADV DET ADJ NOUN VERB ADV VERB CCONJ DET NOUN PUNCT NOUN NOUN VERB ADP ADJ DET NOUN ADJ NOUN VERB ADV VERB ADP NOUN CCONJ NOUN VERB ADV VERB ADP ADJ NOUN VERB ADP DET NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT NOUN ADJ VERB ADV ADP DET ADJ NOUN ADP ADJ NOUN
Er, minutes of the last meeting, can we take them as read?	0 0 0 0 0 0 0 0 1 1 1 1	take something as read	figurative	objective	INTJ NOUN ADP DET ADJ NOUN VERB PRON VERB PRON ADP VERB
It is was really erm the question of how many other P P Gs could be taken as read er if we decide that P P G seven could just be left on its own and not included in the structure plan.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take something as read	figurative	combined-inflection	PRON VERB VERB ADV ADV DET NOUN ADP ADV ADJ ADJ NOUN NOUN PROPN VERB VERB VERB ADP VERB INTJ ADP PRON VERB ADP NOUN NOUN NOUN NUM VERB ADV VERB VERB ADP ADJ ADJ CCONJ ADV VERB ADP DET NOUN NOUN
I could fill a book with the other similar comments which were written on the questionnaires but I think we can take it as read that the trials proved beyond doubt that if you followed the diet moderately strictly you could definitely lose inches from parts usually untouched by normal dieting methods.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take something as read	figurative	objective	PRON VERB VERB DET NOUN ADP DET ADJ ADJ NOUN ADJ VERB VERB ADP DET NOUN CCONJ PRON VERB PRON VERB VERB PRON ADP VERB ADP DET NOUN VERB ADP NOUN ADP ADP PRON VERB DET NOUN ADV ADV PRON VERB ADV VERB NOUN ADP NOUN ADV ADJ ADP ADJ NOUN NOUN
