I can move mountains,’ she finished, setting her stubborn mouth.	0 0 1 1 0 0 0 0 0 0	move mountains	figurative	dashes	PRON VERB VERB VERB PRON VERB VERB ADJ ADJ NOUN
I may have the gift of inspired preaching ; I may have all knowledge and understand all secrets ; I may have all the faith needed to move mountains — but if I have no love, I am nothing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	PRON VERB VERB DET NOUN ADP ADJ NOUN PUNCT PRON VERB VERB DET NOUN CCONJ VERB DET NOUN PUNCT PRON VERB VERB ADJ DET NOUN VERB PART VERB NOUN PUNCT CCONJ ADP PRON VERB DET NOUN PRON VERB NOUN
‘ You say you can move mountains.	0 0 0 0 0 1 1	move mountains	figurative	identical	PUNCT PRON VERB PRON VERB VERB NOUN
She could have done it, she knew she could, because she loved him, and love could move mountains.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	move mountains	figurative	identical	PRON VERB VERB VERB PRON PRON VERB PRON VERB ADP PRON VERB PRON CCONJ NOUN VERB VERB NOUN
They taught me bravery in the face of bigotry, the way that anger intelligently channelled can move mountains, the use of laughter as a weapon and a source of strength.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	PRON VERB PRON NOUN ADP DET NOUN ADP NOUN DET NOUN ADJ NOUN ADV VERB VERB VERB NOUN DET NOUN ADP NOUN ADP DET NOUN CCONJ DET NOUN ADP NOUN
We should even be able to move mountains if we have enough faith.	0 0 0 0 0 0 1 1 0 0 0 0 0	move mountains	figurative	identical	PRON VERB ADV VERB ADJ PART VERB NOUN ADP PRON VERB ADJ NOUN
Besides, I have great faith in the power of love to move mountains.	0 0 0 0 0 0 0 0 0 0 0 1 1	move mountains	figurative	identical	ADV PRON VERB ADJ NOUN ADP DET NOUN ADP NOUN PART VERB NOUN
The architect represents neither a Dionysian nor an Apollinian state : here it is the great act of will, the will that moves mountains, the frenzy of the great will which aspires to art.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	inflection	DET NOUN VERB CCONJ DET PROPN CCONJ DET ADJ NOUN PUNCT ADV PRON VERB DET ADJ NOUN ADP NOUN DET NOUN ADJ VERB NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB ADP NOUN
If the iceberg is too big, you might find yourself trapped underneath a moving mountain, bumped and towed along with less and less of a choice of where to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	misc	ADP DET NOUN VERB ADV ADJ PRON VERB VERB PRON VERB ADP DET VERB NOUN VERB CCONJ VERB ADP ADP ADJ CCONJ ADJ ADP DET NOUN ADP ADV PART VERB
Jesus ' talk about moving mountains maybe provided a note of humour.	0 0 0 0 1 1 0 0 0 0 0 0	move mountains	figurative	misc	PROPN PART NOUN ADP VERB NOUN ADV VERB DET NOUN ADP NOUN
And I 've been a few years on the Council now and when I first went on the Council I was going to move mountains and make oh big Taj Mahals everywhere, but when you get on these things you have a rude awakening, it doesn't work out that way and it works out exactly the same in this erm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	CCONJ PRON VERB VERB DET ADJ NOUN ADP DET PROPN ADV CCONJ ADV PRON ADV VERB ADP DET PROPN PRON VERB VERB PART VERB NOUN CCONJ VERB INTJ ADJ PROPN PROPN ADV CCONJ ADV PRON VERB ADP DET NOUN PRON VERB DET ADJ NOUN PRON VERB VERB PART DET NOUN CCONJ PRON VERB PART ADV DET ADJ ADP DET NOUN
The opportunity to serve you and to meet you over the next twelve months I look forward to enormously and while I 'm not conceited enough to think that I can move mountains in the year ahead, or naive enough to think that I can please everybody fully, fellow Tablers I promise you I will not let you down.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	move mountains	figurative	identical	DET NOUN PART VERB PRON CCONJ PART VERB PRON ADP DET ADJ NUM NOUN PRON VERB ADV ADP ADV CCONJ ADP PRON VERB ADV VERB ADV PART VERB ADP PRON VERB VERB NOUN ADP DET NOUN ADV CCONJ ADJ ADV PART VERB ADP PRON VERB VERB NOUN ADV ADJ PROPN PRON VERB PRON PRON VERB ADV VERB PRON PART
What we need is not enormous confidence that we can move mountains as if they were molehills.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	move mountains	figurative	identical	NOUN PRON VERB VERB ADV ADJ NOUN ADP PRON VERB VERB NOUN ADP ADP PRON VERB NOUN
