And here was someone else stealing his rebellious thunder.	0 0 0 0 0 1 1 0 1	steal someone's thunder	figurative	combined-inflection	CCONJ ADV VERB NOUN ADV VERB ADJ ADJ NOUN
I thought it would be cool:- ) Now EVERYONE can have one … steal my thunder a bit, I think the away top with HUMPHRIES on the back will be cool for work:- )	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	possessive	PRON VERB PRON VERB VERB PROPN PUNCT ADV NOUN VERB VERB NUM PART VERB ADJ NOUN DET NOUN PRON VERB DET ADJ NOUN ADP NOUN ADP DET NOUN VERB VERB ADJ ADP PROPN PUNCT
The Minister had planned a speech of thanks himself during a visit to Stoke Mandeville Hospital … but Adis Avdic stole his thunder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	steal someone's thunder	figurative	combined-inflection	DET PROPN VERB VERB DET NOUN ADP NOUN PRON ADP DET NOUN ADP PROPN PROPN PROPN PUNCT CCONJ PROPN PROPN VERB ADJ NOUN
IBM Corp is leaving launch of the new top - end mainframe disk drive to its AdStar unit in San Jose, and it now appears that the introduction has been brought forward to tomorrow — perhaps in an effort to steal Hitachi Data Systems Inc's thunder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1	steal someone's thunder	figurative	combined-inflection	PROPN PROPN VERB VERB NOUN ADP DET ADJ ADJ PUNCT NOUN NOUN NOUN NOUN ADP ADJ PROPN NOUN ADP PROPN PROPN CCONJ PRON ADV VERB ADP DET NOUN VERB VERB VERB ADV ADP NOUN PUNCT ADV ADP DET NOUN PART VERB PROPN PROPN PROPN PROPN NOUN
They had stolen our thunder, put us under pressure to be quick with the business they wanted to complete and left us to flounder in the morass of our own proposals.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB VERB ADJ NOUN VERB PRON ADP NOUN PART VERB ADJ ADP DET NOUN PRON VERB PART VERB CCONJ VERB PRON PART VERB ADP DET NOUN ADP ADJ ADJ NOUN
As expected ( UX No 386 ), Olivetti used its event in Rome last week — see front page — to steal Pyramid Technology Corp's thunder and introduce a 24-CPU version of the MIPS R3000-based LSX 6500 transaction processing systems which are rebadged MIServers from the Mountain View, California - based company.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	ADP VERB PUNCT PROPN INTJ NUM PUNCT PROPN VERB ADJ NOUN ADP PROPN ADJ NOUN PUNCT VERB ADJ NOUN PUNCT PART VERB PROPN PROPN PROPN NOUN CCONJ VERB DET NUM NOUN ADP DET PROPN VERB PROPN NUM NOUN NOUN NOUN ADJ VERB VERB NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN
To steal SunSelect's WABI's thunder — see front page — Microsoft Corp and Insignia Solutions Inc are believed to be moving on the accord that will strengthen their relationship.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PART VERB PROPN PROPN NOUN PUNCT VERB ADJ NOUN PUNCT PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB PART VERB VERB ADP DET NOUN ADJ VERB VERB ADJ NOUN
I 'm afraid you 've stolen all my thunder, erm you 've said everything that I wanted to say.	0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB ADJ PRON VERB VERB DET ADJ NOUN INTJ PRON VERB VERB NOUN ADJ PRON VERB PART VERB
He must also be remembered far his housing policy — he stole Labour's thunder and promised 300,000 new homes a year.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PRON VERB ADV VERB VERB ADV ADJ NOUN NOUN PUNCT PRON VERB PROPN NOUN CCONJ VERB NUM ADJ NOUN DET NOUN
What we need to do is steal his thunder in some way so that he realises how pointless it would be to write a story or even make any of those veiled suggestions that reporters of his ilk seem to be so good at.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	possessive	NOUN PRON VERB PART VERB VERB VERB ADJ NOUN ADP DET NOUN ADP ADP PRON VERB ADV ADJ PRON VERB VERB PART VERB DET NOUN CCONJ ADV VERB DET ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN VERB PART VERB ADV ADJ INTJ
Do you know we 're actually, on some cases we 're actually stealing their thunder.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	steal someone's thunder	figurative	combined-inflection	VERB PRON VERB PRON VERB ADV ADP DET NOUN PRON VERB ADV VERB ADJ NOUN
John's already stolen my thunder on the straw poll erm that I was going to do but suffice to say that we normally do that at these types of seminars and there's always a few people in the room who put their hands up and say they 've got more than ten data sources in their organization.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	steal someone's thunder	figurative	combined-inflection	PROPN ADV VERB ADJ NOUN ADP DET NOUN NOUN NOUN ADJ PRON VERB VERB PART VERB CCONJ VERB PART VERB ADP PRON ADV VERB DET ADP DET NOUN ADP NOUN CCONJ ADV ADV DET ADJ NOUN ADP DET NOUN NOUN VERB ADJ NOUN PART CCONJ VERB PRON VERB VERB ADJ ADP NUM NOUN NOUN ADP ADJ NOUN
