More job losses are in the pipeline.	0 0 0 0 1 0 1	in the pipeline	figurative	identical	ADJ NOUN NOUN VERB ADP DET NOUN
Projects in the pipeline include office buildings, leisure facilities and a chain of hamburger bars.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	NOUN ADP DET NOUN VERB NOUN NOUN NOUN NOUN CCONJ DET NOUN ADP NOUN NOUN
It has been in the pipeline for a while, and Unix Labs now hopes to embrace the Common Open Software Environment's planned developers ' conference.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PROPN PROPN ADV VERB PART VERB DET PROPN PROPN PROPN PROPN ADJ NOUN PART NOUN
In the pipeline is a Draft Ninth Company Law Directive, which has not yet reached the stage of a formal proposal and indeed has not progressed since 1985.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	case	ADP DET NOUN VERB DET PROPN PROPN PROPN PROPN PROPN ADJ VERB ADV ADV VERB DET NOUN ADP DET ADJ NOUN CCONJ ADV VERB ADV VERB ADP NUM
The last grants to pass the great seal ( although others were in the pipeline ) were the appointments of the chief baron of the exchequer and two serjeants at law on 14 and 15 June — a last attempt by the establishment to pretend that it was business as normal.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	DET ADJ NOUN PART VERB DET ADJ NOUN PUNCT ADP NOUN VERB ADP DET NOUN PUNCT VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ NUM NOUN ADP NOUN ADP NUM CCONJ NUM PROPN PUNCT DET ADJ NOUN ADP DET NOUN PART VERB ADP PRON VERB NOUN ADV ADJ
Other big sales in the pipeline include those of Singapore Telecom and East Japan Railways, and a string of privatisations in France and Italy.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ ADJ NOUN ADP DET NOUN VERB DET ADP PROPN PROPN CCONJ PROPN PROPN PROPN CCONJ DET NOUN ADP NOUN ADP PROPN CCONJ PROPN
New small capacity dye vats and the repositioning of a bank scouring machine are also developments in the pipeline that make Douglas Reyburn a company confident of its future in a competitive market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the pipeline	figurative	identical	ADJ ADJ NOUN NOUN NOUN CCONJ DET NOUN ADP DET NOUN VERB NOUN VERB ADV NOUN ADP DET NOUN ADJ VERB PROPN PROPN DET NOUN ADJ ADP ADJ NOUN ADP DET ADJ NOUN
In future, given the microchip and other technological advances already in the pipeline, the trend will continue.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the pipeline	figurative	identical	ADP NOUN VERB DET NOUN CCONJ ADJ ADJ NOUN ADV ADP DET NOUN DET NOUN VERB VERB
Mr Sherwood said other co - operative initiatives were in the pipeline.	0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	PROPN PROPN VERB ADJ NOUN PUNCT ADJ NOUN VERB ADP DET NOUN
The firm has 20 new drugs in its pipeline.	0 0 0 0 0 0 1 0 1	in the pipeline	figurative	determiner-broad	DET NOUN VERB NUM ADJ NOUN ADP ADJ NOUN
A number of employers have already given their seal of approval to a range of SCOTVEC module groupings, and more recognitions are in the pipeline.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the pipeline	figurative	identical	DET NOUN ADP NOUN VERB ADV VERB ADJ NOUN ADP NOUN ADP DET NOUN ADP PROPN NOUN NOUN CCONJ ADJ NOUN VERB ADP DET NOUN
