There was nothing quite like a fast and furious game of cards, she thought, to ease a situation.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	ADV VERB NOUN ADV ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON VERB PART VERB DET NOUN
Fast and furious ice hockey action combines with the human drama of the players in this Canadian / French production.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	case	ADJ CCONJ ADJ NOUN NOUN NOUN VERB ADP DET ADJ NOUN ADP DET NOUN ADP DET PROPN SYM ADJ NOUN
DETH wish Megadeth's Marty Friedman In the fast and furious world of thrash metal there lurk some fine guitarists ; one of the most musically articulate is Megadeth's Marty Friedman …	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	PROPN VERB PROPN PROPN PROPN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN ADV NOUN DET ADJ NOUN PUNCT NUM ADP DET ADV ADV VERB VERB PROPN PROPN PROPN PUNCT
But there was no lack of class on show, especially in a fast and furious opening 40 minutes when Saints young guns Gary Connolly and Alan Hunte ripped in for three tries.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	CCONJ ADV VERB DET NOUN ADP NOUN ADP NOUN ADV ADP DET ADJ CCONJ ADJ NOUN NUM NOUN ADV NOUN ADJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB PART ADP NUM NOUN
The match started at a fast and furious pace with much of the play contained in the middle of the park as both sides fought to gain control of the all - important midfield.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	DET NOUN VERB ADP DET ADJ CCONJ ADJ NOUN ADP ADJ ADP DET NOUN VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN VERB PART VERB NOUN ADP DET ADV PUNCT ADJ NOUN
But it was running away, fast and furious, that's for sure.’	0 0 0 0 0 1 1 1 0 0 0	fast and furious	figurative	identical	CCONJ PRON VERB VERB ADV ADV CCONJ ADJ DET ADP NOUN
The drive from Dundalk was fast and furious, largely because Jessica was late.	0 0 0 0 0 1 1 1 0 0 0 0 0	fast and furious	figurative	identical	DET NOUN ADP PROPN VERB ADJ CCONJ ADJ ADV ADP PROPN VERB ADJ
The debate was fast and furious, with the city workers fighting for better conditions in the factories being strongly supported by the philanthropists, who themselves were trying to preserve the landscape.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	DET NOUN VERB ADJ CCONJ ADJ ADP DET NOUN NOUN VERB ADP ADJ NOUN ADP DET NOUN VERB ADV VERB ADP DET NOUN NOUN PRON VERB VERB PART VERB DET NOUN
A fast and furious encounter between Aldenham and King Edward School, Witley, had yielded no goals when, with just minutes to go, Aldenham's Jason Clemow tried a long - range shot, the goalkeeper parried, and Kazeem Abimbola poked in the rebound.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	DET ADJ CCONJ ADJ NOUN ADP PROPN CCONJ PROPN PROPN PROPN PROPN VERB VERB DET NOUN ADV ADP ADJ NOUN PART VERB PROPN PROPN PROPN VERB DET ADJ PUNCT NOUN NOUN DET NOUN VERB CCONJ PROPN PROPN VERB ADP DET NOUN
Perhaps surprisingly for a conductor who is also a singer, Jacob's direction tends towards the fast and furious style of Handel interpretation, with dramatically accentuated rhythms and strongly articulated bass lines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	ADV ADV ADP DET NOUN NOUN VERB ADV DET NOUN PROPN NOUN VERB ADP DET ADJ CCONJ ADJ NOUN ADP PROPN NOUN ADP ADV VERB NOUN CCONJ ADV VERB NOUN NOUN
There was a fast and furious movement in the woods, the sound of a horse stretched to exhaustion, the slap of leather against flank and the dull sound of hooves on blood - soaked turf.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	identical	ADV VERB DET ADJ CCONJ ADJ NOUN ADP DET NOUN DET NOUN ADP DET NOUN VERB ADP NOUN DET NOUN ADP NOUN ADP NOUN CCONJ DET ADJ NOUN ADP NOUN ADP NOUN PUNCT VERB NOUN
After some time spent as a trainee, she had become an authorised dealer on the male - dominated floor of the Ring, specialising in the fast and furious world of copper futures.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	fast and furious	figurative	identical	ADP DET NOUN VERB ADP DET NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN PUNCT VERB NOUN ADP DET PROPN VERB ADP DET ADJ CCONJ ADJ NOUN ADP NOUN NOUN
Then in June he began to write cheques at a ‘ fast and furious pace’.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	fast and furious	figurative	identical	ADV ADP PROPN PRON VERB PART VERB NOUN ADP DET PUNCT ADJ CCONJ ADJ NOUN
' Junglist ' is lyrically typical : fast, furious, endless and uncompromising, and musically it's among the wildest ' Jungle House'(to use the current revolting, faintly racist expression ) tunes you 'll hear.	0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	fast and furious	figurative	misc	PUNCT PROPN PUNCT VERB ADV ADJ PUNCT ADJ ADJ ADJ CCONJ ADJ CCONJ ADV PRON ADP DET NOUN PUNCT PROPN NOUN VERB DET ADJ NOUN ADV ADJ NOUN PUNCT NOUN PRON VERB VERB
During the first big fight with RoboCop — which involved a stuntman, of course, and at one point a tiny puppet of RoboCop — the action is so fast and furious that details hardly register.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	fast and furious	figurative	identical	ADP DET ADJ ADJ NOUN ADP PROPN PUNCT ADJ VERB DET NOUN ADP NOUN CCONJ ADP NUM NOUN DET ADJ NOUN ADP PROPN PUNCT DET NOUN VERB ADV ADJ CCONJ ADJ ADP NOUN ADV VERB
