But Walsh got stuck into the project with typical determination.	0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	inflection	CCONJ PROPN VERB VERB ADP DET NOUN ADP ADJ NOUN
After we returned home it was time to order seeds for the coming year and get stuck into renovations of Melin Cottage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	get stuck into	figurative	identical	ADP PRON VERB ADV PRON VERB NOUN PART VERB NOUN ADP DET ADJ NOUN CCONJ VERB VERB ADP NOUN ADP PROPN PROPN
get stuck into them!	1 1 1 0	get stuck into	figurative	identical	VERB VERB ADP PRON
To get stuck into Part Two you don't have to have completed the first instalment, but you DO need to have the password.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	identical	PART VERB VERB ADP PROPN NUM PRON VERB VERB PART VERB VERB DET ADJ NOUN CCONJ PRON VERB VERB PART VERB DET NOUN
Such commitments makes it hard for them to really get stuck into each and every league match.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	ADJ NOUN VERB PRON ADJ ADP PRON PART ADV VERB VERB ADP DET CCONJ DET NOUN NOUN
We had a drink out there before we got stuck into that amazing menu.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	get stuck into	figurative	inflection	PRON VERB DET NOUN ADV ADV ADP PRON VERB VERB ADP DET ADJ NOUN
Before the hon. Gentleman gets stuck into the CAP, on which matter I hope that he will be as robust as my right hon. Friend in defending the interests of the British farmer, may I advise him that I was interested to note that he began his speech by talking about animal diseases and BSE?	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get stuck into	figurative	inflection	ADP DET NOUN PROPN VERB VERB ADP DET PROPN ADP ADJ NOUN PRON VERB ADP PRON VERB VERB ADV ADJ ADP ADJ ADJ NOUN NOUN ADP VERB DET NOUN ADP DET ADJ NOUN VERB PRON VERB PRON ADP PRON VERB ADJ PART VERB ADP PRON VERB ADJ NOUN ADP VERB ADP NOUN NOUN CCONJ PROPN
for victory, because I 'd like to get stuck into that	0 0 0 0 0 0 0 1 1 1 0	get stuck into	figurative	identical	ADP NOUN ADP PRON VERB VERB PART VERB VERB ADP DET
But once you got there and got stuck into the work and	0 0 0 0 0 0 1 1 1 0 0 0	get stuck into	figurative	inflection	CCONJ ADP PRON VERB ADV CCONJ VERB VERB ADP DET NOUN CCONJ
The prescription is expected : lay off the climbing and get stuck into physiotherapy.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	get stuck into	figurative	identical	DET NOUN VERB VERB PUNCT VERB PART DET NOUN CCONJ VERB VERB ADP NOUN
' Throw away the chip pan! ' say the coronary experts ; ' Get stuck into fruit and vegetables '.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	get stuck into	figurative	case	PUNCT VERB PART DET NOUN NOUN PUNCT VERB DET ADJ NOUN PUNCT PUNCT VERB VERB ADP NOUN CCONJ NOUN PUNCT
But you can't do everything all at once, so start with just one thing — maybe your attitude to teachers, or your willingness to speak up for Jesus : whatever is a problem for you at the moment — and get stuck into sorting that one thing out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	get stuck into	figurative	identical	CCONJ PRON VERB VERB NOUN DET ADP ADV ADV VERB ADP ADV NUM NOUN PUNCT ADV ADJ NOUN ADP NOUN CCONJ ADJ NOUN PART VERB PART ADP PROPN PUNCT NOUN VERB DET NOUN ADP PRON ADP DET NOUN PUNCT CCONJ VERB VERB ADP VERB DET NUM NOUN PART
