The wind that you experience blowing in your face when moving.	0 0 0 0 0 0 1 1 1 0 0	in your face	literal	identical	DET NOUN ADJ PRON VERB VERB ADP ADJ NOUN ADV VERB
Now the cracks are widening in your face	0 0 0 0 0 1 1 1	in your face	literal	identical	ADV DET NOUN VERB VERB ADP ADJ NOUN
And you 've got hair that falls in your face and you sort of, and all those things you 've got to learn to cope with because if you 're worried about what you 're doing with your hands, or your feet, or your hair, then you can't then concentrate on putting over your information effectively.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	CCONJ PRON VERB VERB NOUN ADJ VERB ADP ADJ NOUN CCONJ PRON ADV ADV CCONJ ADJ DET NOUN PRON VERB VERB PART VERB PART VERB ADP ADP ADP PRON VERB ADJ ADP NOUN PRON VERB VERB ADP ADJ NOUN CCONJ ADJ NOUN CCONJ ADJ NOUN ADV PRON VERB ADV VERB ADP VERB PART ADJ NOUN ADV
At least have some wine, to put the colour back in your face ; you came in like a ghost.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	in your face	literal	identical	ADP ADJ VERB DET NOUN PART VERB DET NOUN ADV ADP ADJ NOUN PUNCT PRON VERB PART ADP DET NOUN
In - your - face and offensive, the work that results is typically experimental in form and preoccupied with the red - light subjects of sex and violence.	1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	combined-other	ADP PUNCT ADJ PUNCT NOUN CCONJ NOUN DET NOUN ADJ VERB VERB ADV ADJ ADP NOUN CCONJ VERB ADP DET ADJ PUNCT ADJ NOUN ADP NOUN CCONJ NOUN
‘ When you get into European competition sometimes they do spit in your face, pull your hair and pinch you when they pretend to help you up.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	PUNCT ADV PRON VERB ADP ADJ NOUN ADV PRON VERB VERB ADP ADJ NOUN VERB ADJ NOUN CCONJ VERB PRON ADV PRON VERB PART VERB PRON PART
Whereas the Mondays were once upfront and in your face, now they 've polished up their act, they 've sacrificed the power punch of their old menace.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	identical	ADP DET PROPN VERB ADV ADJ CCONJ ADP ADJ NOUN ADV PRON VERB VERB PART ADJ NOUN PRON VERB VERB DET NOUN NOUN ADP ADJ ADJ NOUN
The wind in your face produced by fast skiing has the same cooling effect and can result in frostbite.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	DET NOUN ADP ADJ NOUN VERB ADP ADJ NOUN VERB DET ADJ VERB NOUN CCONJ VERB VERB ADP NOUN
Yes, I agree, ‘ if you mentioned clubs to most indie bands 18 months ago they would have spat in your face’, but only because the elitists controlled it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	in your face	literal	dashes	INTJ PRON VERB PUNCT ADP PRON VERB NOUN ADP ADV NOUN NOUN NUM NOUN ADV PRON VERB VERB VERB ADP ADJ NOUN CCONJ ADV ADP DET NOUN VERB PRON
The real action, however, begins on Side Two with ‘ Perversonality’, an adrenalin rush of murder and hate which spits straight in your face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in your face	figurative	identical	DET ADJ NOUN ADV VERB ADP PROPN NUM ADP PROPN PROPN DET NOUN NOUN ADP NOUN CCONJ VERB ADJ VERB ADV ADP ADJ NOUN
It's very much in your face.	0 0 0 1 1 1	in your face	figurative	identical	PRON ADV ADJ ADP ADJ NOUN
By late morning the air was on fire ; to open the door on to the roof terrace was to feel in your face a blast of heat as strong as that from a blazing kiln.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	in your face	literal	identical	ADP ADJ NOUN DET NOUN VERB ADP NOUN PUNCT PART VERB DET NOUN ADP ADP DET ADJ NOUN VERB PART VERB ADP ADJ NOUN DET NOUN ADP NOUN ADV ADJ ADP DET ADP DET VERB NOUN
For example, the mice stop gnawing, scamper down your arm, cock their legs and piss in your face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	in your face	literal	identical	ADP NOUN DET NOUN VERB VERB VERB ADV ADJ NOUN VERB ADJ NOUN CCONJ VERB ADP ADJ NOUN
It's still an essentially traditional Strat sound, but with just that extra bit of in - your - face mid - range bite to drive the amp harder.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	in your face	figurative	dashes	PRON ADV DET ADV ADJ PROPN NOUN CCONJ ADP ADV DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN ADJ PUNCT NOUN NOUN PART VERB DET NOUN ADV
ONE THING Smashing Pumpkins have in common with shoe - gazers — they have their fingers in many pies — in the way the vocals aren't necessarily in - your - face.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	in your face	figurative	dashes	NUM NOUN PROPN NOUN VERB ADP ADJ ADP NOUN PUNCT NOUN PUNCT PRON VERB ADJ NOUN ADP ADJ NOUN PUNCT ADP DET NOUN DET NOUN VERB ADV ADP PUNCT ADJ PUNCT NOUN
American Kit Hollerbach's in - your - face humour plays both sides of the pond.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0	in your face	figurative	dashes	PROPN PROPN PROPN ADP PUNCT ADJ PUNCT NOUN NOUN VERB DET NOUN ADP DET NOUN
Which is not to say that popular humour in the States is particularly nice : in recent years there has been a great demand for in - your - face racist, ethnic and misogynist stuff, as typified on the respectable side by Jackie Mason and on the unholy by Andrew Dice Clay.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in your face	figurative	dashes	ADJ VERB ADV PART VERB ADP ADJ NOUN ADP DET PROPN VERB ADV ADJ PUNCT ADP ADJ NOUN ADV VERB VERB DET ADJ NOUN ADP ADP PUNCT ADJ PUNCT NOUN NOUN ADJ CCONJ ADJ NOUN ADP VERB ADP DET ADJ NOUN ADP PROPN PROPN CCONJ ADP DET NOUN ADP PROPN PROPN PROPN
The first truly mind - boggling band to come straight outta Ipswich, BLEACH are subversive, anti - artwank, cathartic and in - your - face with a FULL STOP.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	in your face	figurative	dashes	DET ADJ ADV NOUN PUNCT VERB NOUN PART VERB ADV NOUN PROPN PROPN VERB ADJ ADV PUNCT NOUN ADJ CCONJ ADP PUNCT ADJ PUNCT NOUN ADP DET ADJ NOUN
Everything is just totally dry and in your face and I like that.’	0 0 0 0 0 0 1 1 1 0 0 0 0	in your face	figurative	identical	NOUN VERB ADV ADV ADJ CCONJ ADP ADJ NOUN CCONJ PRON VERB PUNCT
Where this wins over the dancefloor bandwagon jumpers is in its upfront and in your face approach rather than being docile.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	in your face	figurative	identical	ADV DET VERB ADP DET ADJ NOUN NOUN VERB ADP ADJ NOUN CCONJ ADP ADJ NOUN NOUN ADV ADP VERB ADJ
‘ Still getting angry when someone throws some truth in your face?’ he jeered.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	in your face	figurative	dashes	PUNCT ADV VERB ADJ ADV NOUN VERB DET NOUN ADP ADJ NOUN PRON VERB
J is angry, but he realises that you haven't got to get totally in - your - face to get a serious message across.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	in your face	figurative	dashes	PROPN VERB ADJ CCONJ PRON VERB ADP PRON VERB VERB PART VERB ADV ADP PUNCT ADJ PUNCT NOUN PART VERB DET ADJ NOUN ADP
‘ It is kind in you to make such a pretence, but I saw the compassion in your face, and I am grateful for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	in your face	literal	identical	PUNCT PRON VERB ADV ADV PRON PART VERB ADJ DET NOUN CCONJ PRON VERB DET NOUN ADP ADJ NOUN CCONJ PRON VERB ADJ ADP PRON
