As the young man perched on the edge of the sofa, she took the bull by the horns.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	ADP DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PRON VERB DET NOUN ADP DET NOUN
And so, in true Arien fashion, she had decided to take the bull by the horns.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	identical	CCONJ ADV ADP ADJ PROPN NOUN PRON VERB VERB PART VERB DET NOUN ADP DET NOUN
' Slight discussion took place, Inspector, ' Oliver said, taking the bull by its humiliating horns, ' on the matter of the Prince of Wales's casting vote. '	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take the bull by the horns	figurative	combined-inflection	PUNCT ADJ NOUN VERB NOUN PROPN PUNCT PROPN VERB VERB DET NOUN ADP ADJ ADJ NOUN PUNCT ADP DET NOUN ADP DET PROPN ADP PROPN NOUN NOUN PUNCT
He took the bull by the horns.	0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN
Of course, being the determined woman she was, Nora decided to take the bull by the horns and organise things for herself.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0	take the bull by the horns	figurative	identical	ADV ADV VERB DET ADJ NOUN PRON VERB PROPN VERB PART VERB DET NOUN ADP DET NOUN CCONJ VERB NOUN ADP PRON
And er I say, that well purely taking the bull by the horns innit?	0 0 0 0 0 0 0 1 0 1 1 0 1 0	take the bull by the horns	figurative	inflection	CCONJ INTJ PRON VERB ADV ADV ADV VERB DET NOUN ADP DET NOUN VERB
But I think it's take the bull by the horns	0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	identical	CCONJ PRON VERB PRON VERB DET NOUN ADP DET NOUN
But I think sometimes I mean you 've either got to do what you do coming back from Germany I think you have to take the bull by the horns don't you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0	take the bull by the horns	figurative	identical	CCONJ PRON VERB ADV PRON VERB PRON VERB CCONJ VERB PART VERB NOUN PRON VERB VERB ADV ADP PROPN PRON VERB PRON VERB PART VERB DET NOUN ADP DET NOUN VERB PRON
So you take the bull by the horns or you don't!	0 0 1 0 1 1 0 1 0 0 0	take the bull by the horns	figurative	identical	ADV PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB
So when 're you gon na tell him, when 're you gon na do it take the bull by the horns?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	identical	ADV ADV VERB PRON VERB PART VERB PRON ADV VERB PRON VERB PART VERB PRON VERB DET NOUN ADP DET NOUN
‘ So, when you 're in a corner, take the bull by the horns — in this case the bull being Roy Buchanan.	0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0	take the bull by the horns	figurative	identical	PUNCT ADV ADV PRON VERB ADP DET NOUN VERB DET NOUN ADP DET NOUN PUNCT ADP DET NOUN DET NOUN VERB PROPN PROPN
But I say, I 'm sure your capable of taking the bull by the horns.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	CCONJ PRON VERB PRON VERB ADJ ADJ ADJ ADP VERB DET NOUN ADP DET NOUN
Sarah hesitated, then seemed to decide to take the bull by the horns.	0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	identical	PROPN VERB ADV VERB PART VERB PART VERB DET NOUN ADP DET NOUN
Took the bull by the horns.	1 0 1 1 0 1	take the bull by the horns	figurative	combined-inflection	VERB DET NOUN ADP DET NOUN
I do realize that there are problems in finding suitable sites and that possibly that costs would be involved in setting them up, but for the reasons I 've outlined we should take the bull by the horns and make an effort to find sites and budget for the costs involved so the benefits can be felt as soon as possible.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the bull by the horns	figurative	identical	PRON VERB VERB ADP ADV VERB NOUN ADP VERB ADJ NOUN CCONJ DET ADV DET NOUN VERB VERB VERB ADP VERB PRON PART CCONJ ADP DET NOUN PRON VERB VERB PRON VERB VERB DET NOUN ADP DET NOUN CCONJ VERB DET NOUN PART VERB NOUN CCONJ NOUN ADP DET NOUN VERB ADP DET NOUN VERB VERB VERB ADV ADV ADP ADJ
There is no way out of the siege except to take the bull by the horns and let God judge the outcome.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0	take the bull by the horns	figurative	identical	ADV VERB DET NOUN ADP ADP DET NOUN ADP PART VERB DET NOUN ADP DET NOUN CCONJ VERB PROPN VERB DET NOUN
Square Mile : Stock Exchange takes the bull by the horns	0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	PROPN PROPN PUNCT PROPN PROPN VERB DET NOUN ADP DET NOUN
Juliet took the bull by the horns.	0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	PROPN VERB DET NOUN ADP DET NOUN
This is not a desperation move, he insists, but is a pre - emptive strike against Microsoft : ‘ We are taking the bull by the horns’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1	take the bull by the horns	figurative	combined-inflection	DET VERB ADV DET NOUN NOUN PRON VERB CCONJ VERB DET ADJ PUNCT NOUN NOUN ADP PROPN PUNCT PUNCT PRON VERB VERB DET NOUN ADP DET NOUN
She took the bull by the horns.	0 1 0 1 1 0 1	take the bull by the horns	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN
He took the bull by the horns at the end of last season, slashing the club's wage bill by switching from expensive full - time players to part - timers, with dramatic results.	0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the bull by the horns	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB DET NOUN NOUN NOUN ADP VERB ADP ADJ ADJ PUNCT NOUN NOUN ADP NOUN PUNCT NOUN ADP ADJ NOUN
