Are women welcome there with open arms?	0 0 0 0 1 1 1	with open arms	figurative	identical	VERB NOUN VERB ADV ADP ADJ NOUN
The commission - hungry staff smell money and class, and the pair are welcomed with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET NOUN PUNCT ADJ NOUN NOUN NOUN CCONJ NOUN CCONJ DET NOUN VERB VERB ADP ADJ NOUN
He said : ‘ Eric will give the fans a big lift and I 'm sure he 'll be welcomed with open arms.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	dashes	PRON VERB PUNCT PUNCT PROPN VERB VERB DET NOUN DET ADJ NOUN CCONJ PRON VERB ADJ PRON VERB VERB VERB ADP ADJ NOUN
Because this is the world's future, and we must hurry towards it with open and welcoming arms.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	with open arms	figurative	insertion-other	ADP DET VERB DET NOUN NOUN CCONJ PRON VERB VERB ADP PRON ADP ADJ CCONJ VERB NOUN
When the work goes to places where people have cancer, there's no taboo at all, they just fall about you with open arms and say, ‘ How marvellous to be able to talk about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADV DET NOUN VERB ADP NOUN ADV NOUN VERB NOUN ADV DET NOUN ADV ADV PRON ADV VERB ADP PRON ADP ADJ NOUN CCONJ VERB PUNCT ADV ADJ PART VERB ADJ PART VERB ADP PRON
Mr Dare — he's the vicar — has started a campaign for livening things up, so he 'll welcome you with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	PROPN PROPN PUNCT PRON DET NOUN PUNCT VERB VERB DET NOUN ADP VERB NOUN PART CCONJ PRON VERB VERB PRON ADP ADJ NOUN
The air raids on London and Liverpool and Birmingham and Clydeside were to knock out communications and close roads and railways and make everybody so pig - sick that they 'd welcome Hitler with open arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	with open arms	figurative	identical	DET NOUN NOUN ADP PROPN CCONJ PROPN CCONJ PROPN CCONJ PROPN VERB PART VERB PART NOUN CCONJ ADJ NOUN CCONJ NOUN CCONJ VERB NOUN ADP NOUN PUNCT ADJ ADP PRON VERB VERB PROPN ADP ADJ NOUN
Daphne not only welcomed me with open arms but to my surprise expressed delight at the thought of my occupying one of her spare rooms.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	PROPN ADV ADV VERB PRON ADP ADJ NOUN CCONJ ADP ADJ NOUN VERB NOUN ADP DET NOUN ADP ADJ VERB NUM ADP ADJ ADJ NOUN
While the press welcomed The Big Wheel with open arms, the public were less enthusiastic and they soon fell victim to overwhelming, or should that be underwhelming, apathy.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	ADP DET NOUN VERB DET PROPN PROPN ADP ADJ NOUN DET NOUN VERB ADV ADJ CCONJ PRON ADV VERB NOUN ADP ADJ CCONJ VERB DET VERB ADJ ADJ
‘ I love him and will welcome him back with open arms,’ she said.	0 0 0 0 0 0 0 0 0 1 1 1 0 0	with open arms	figurative	dashes	PUNCT PRON VERB PRON CCONJ VERB VERB PRON ADV ADP ADJ NOUN PRON VERB
The media are receiving such an informed, dynamic and visually striking group with open arms : from picketing South West Water to protesting in full surf regalia at Parliament, from surfing in gas masks to demonstrating with a huge inflatable turd, the SAS has come up with a series of media - friendly stunts that have caught the headlines.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	with open arms	figurative	identical	DET NOUN VERB VERB ADJ DET ADJ ADJ CCONJ ADV VERB NOUN ADP ADJ NOUN PUNCT ADP VERB PROPN PROPN PROPN PART VERB ADP ADJ NOUN NOUN ADP PROPN ADP VERB ADP NOUN NOUN ADP VERB ADP DET ADJ ADJ NOUN DET PROPN VERB VERB PART ADP DET NOUN ADP NOUN PUNCT ADJ NOUN ADJ VERB VERB DET NOUN
