So as I can take her for a ride and back.	0 0 0 0 1 1 1 0 1 0 0	take someone for a ride	literal	objective	ADV ADP PRON VERB VERB PRON ADP DET NOUN CCONJ ADV
They took the baby for rides in the pram, to the shops, and up to the tiny park with its three or four flowerbeds and margin of trees.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	literal	combined-inflection	PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP ADP DET ADJ NOUN ADP ADJ NUM CCONJ NUM NOUN CCONJ NOUN ADP NOUN
Go on, push yourself up on the handles and let the trolley take you for a ride, just like a child!	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0	take someone for a ride	literal	objective	VERB PART VERB PRON PART ADP DET NOUN CCONJ VERB DET NOUN VERB PRON ADP DET NOUN ADV ADP DET NOUN
That — arrogant brute had implied that her mother had taken his family for a ride financially, yet, according to Ruth Russell, Isabelle had been pregnant and penniless, reduced to working as a mother's help when Hugh met her.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET PUNCT ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN ADV ADV VERB ADP PROPN PROPN PROPN VERB VERB ADJ CCONJ ADJ VERB ADP VERB ADP DET NOUN NOUN ADV PROPN VERB PRON
They claim they 've been taken for a ride.	0 0 1 0 0 1 1 0 1	take someone for a ride	figurative	combined-inflection	PRON VERB PRON VERB VERB VERB ADP DET NOUN
There's got ta be someone out there though, that 'll take him for a ride!	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	take someone for a ride	figurative	objective	ADV VERB PART VERB NOUN ADV ADV ADV DET VERB VERB PRON ADP DET NOUN
The drinking public was now aware they were being taken for a ride by the brewing barons.	0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET NOUN NOUN VERB ADV ADJ PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN
The woman was taking him for a ride, working on him to get what she wanted, and that included Lissa's destruction.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET NOUN VERB VERB PRON ADP DET NOUN VERB ADP PRON PART VERB NOUN PRON VERB CCONJ ADJ VERB PROPN NOUN
' It's not a pleasant feeling to find out you 've been taken for a ride by someone you trusted. '	0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PUNCT PRON ADV DET ADJ NOUN PART VERB PART PRON VERB VERB VERB ADP DET NOUN ADP NOUN PRON VERB PUNCT
Oxford's bluff worked for some time, but when by late 1713 the Jacobites finally realised they had been taken for a ride, they began to look to Bolingbroke for support.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PROPN NOUN VERB ADP DET NOUN CCONJ ADV ADP ADJ NUM DET PROPN ADV VERB PRON VERB VERB VERB ADP DET NOUN PRON VERB PART VERB ADP PROPN ADP NOUN
That bloke probably took it for a ride he said.	0 0 0 1 1 1 0 1 0 0	take someone for a ride	literal	combined-inflection	DET VERB ADV VERB PRON ADP DET NOUN PRON VERB
