She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN
Lord Romsey — grandson of the late Earl Mountbatten — is facing mounting costs in the running of his Broadlands stately home in Hampshire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	PROPN PROPN PUNCT NOUN ADP DET ADJ PROPN PROPN PUNCT VERB VERB VERB NOUN ADP DET NOUN ADP ADJ PROPN ADJ NOUN ADP PROPN
MIDDLESBROUGH manager Lennie Lawrence last night warned that victory against Oxford United at Ayresome Park tonight is vital if they are to stay in the running for an automatic promotion spot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	figurative	identical	PROPN NOUN PROPN PROPN ADJ NOUN VERB ADP NOUN ADP PROPN PROPN ADP PROPN PROPN NOUN VERB ADJ ADP PRON VERB PART VERB ADP DET NOUN ADP DET ADJ NOUN NOUN
c The past 3 years have destroyed the myth that elderly dementing people can not play a role in the running of a nursing home — we have seen even severe Alzheimer residents respond to normalization programme and reality orientation work and enjoy it and, indeed, remain at a plateau much longer than they would otherwise have done ( highly subjective comment, I know ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PUNCT DET ADJ NUM NOUN VERB VERB DET NOUN ADP ADJ VERB NOUN VERB ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN PUNCT PRON VERB VERB ADV ADJ PROPN NOUN VERB ADP NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ VERB PRON CCONJ ADV VERB ADP DET NOUN ADV ADV ADP PRON VERB ADV VERB VERB PUNCT ADV ADJ NOUN PRON VERB PUNCT
The poor little mare wasn't even in the running then was she?	0 0 0 0 0 0 1 0 1 0 0 0	in the running	figurative	identical	DET ADJ ADJ NOUN VERB ADV ADP DET NOUN ADV VERB PRON
After the fiasco in Prague I began to wonder whether there was any point in my running in any more relay teams, began to think that it was just a waste of everyone's time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	determiner-broad	ADP DET NOUN ADP PROPN PRON VERB PART VERB ADP ADV VERB DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN NOUN VERB PART VERB ADP PRON VERB ADV DET NOUN ADP NOUN NOUN
A shareholder is therefore involved in the running of the company, and shares in the profits and losses of the company.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN VERB ADV VERB ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN
The deputy head assists the head in the running of a school, often liaising between the head and the rest of the staff.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET ADJ NOUN VERB DET NOUN ADP DET NOUN ADP DET NOUN ADV VERB ADP DET NOUN CCONJ DET NOUN ADP DET NOUN
In a sense, Richard consolidated the supremacy of the Christian cavalry which El Cid had established over Islam in Spain and he proved this to great effect in the running battles which followed the siege of Acre.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	ADP DET NOUN PROPN VERB DET NOUN ADP DET PROPN NOUN ADJ PROPN PROPN VERB VERB ADP PROPN ADP PROPN CCONJ PRON VERB DET ADP ADJ NOUN ADP DET VERB NOUN ADJ VERB DET NOUN ADP PROPN
Patients are at the bottom of the pecking order and have very little say in the running of services.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	literal	identical	NOUN VERB ADP DET NOUN ADP DET VERB NOUN CCONJ VERB ADV ADJ NOUN ADP DET NOUN ADP NOUN
DAVID MELLOR and Eldorado were in the running but the judges agreed there could be only one Turkey of the Year — the European Exchange Rate Mechanism.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN CCONJ PROPN VERB ADP DET NOUN CCONJ DET NOUN VERB ADV VERB VERB ADV NUM PROPN ADP DET PROPN PUNCT DET PROPN PROPN PROPN PROPN
But composer Sir Andrew says Moore is now in the running to play ageing lothario George in the £ 15 million film, although he is also considering Michael Caine for the part.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	CCONJ NOUN PROPN PROPN VERB PROPN VERB ADV ADP DET NOUN PART VERB VERB NOUN PROPN ADP DET SYM NUM NUM NOUN ADP PRON VERB ADV VERB PROPN PROPN ADP DET NOUN
The situation for them was a total one : and it was from this totality — the ritual killing of the frog, the dismembering and the unusual behaviour of the bone in the running stream — that they gained their conviction.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN ADP PRON VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADP DET NOUN PUNCT DET ADJ NOUN ADP DET NOUN DET NOUN CCONJ DET ADJ NOUN ADP DET NOUN ADP DET VERB NOUN PUNCT ADP PRON VERB ADJ NOUN
To be consistent with holism the constructivist has to say that individual ‘ beliefs’— mental states that are only in the running for truth — do not correspond to anything in the mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	PART VERB ADJ ADP NOUN DET NOUN VERB PART VERB ADP ADJ PUNCT NUM ADJ NOUN ADJ VERB ADV ADP DET NOUN ADP NOUN PUNCT VERB ADV VERB ADP NOUN ADP DET NOUN
Team members now have much more involvement in the running of their work places.	0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the running	literal	identical	NOUN NOUN ADV VERB ADV ADJ NOUN ADP DET NOUN ADP ADJ NOUN NOUN
Most importantly, the governors felt that this duplication of effort would probably prevent the staff being ‘ proactive’ in the running of the school.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADV ADV DET NOUN VERB ADP DET NOUN ADP NOUN VERB ADV VERB DET NOUN VERB PUNCT NOUN ADP DET NOUN ADP DET NOUN
