‘ So you 're here on the fly.’	0 0 0 0 0 1 0 1	on the fly	figurative	dashes	PUNCT ADV PRON VERB ADV ADP DET ADJ
Tandem expects the technology to eliminate any remaining unplanned downtime users experience as well as any planned downtime needed for housekeeping chores like changing operating systems on the fly, a key facility in any mission - critical application from E - mail to fare collections.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	PROPN VERB DET NOUN PART VERB DET VERB ADJ ADJ NOUN NOUN ADV ADV ADP DET VERB NOUN VERB ADP NOUN NOUN ADP VERB NOUN NOUN ADP DET NOUN DET ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN ADP NOUN PUNCT NOUN PART VERB NOUN
This company already holds the dominant position in add - on type for the PC and has now announced a product called Facelift that, like ATM, will build screen fonts on - the - fly in Windows 3.0.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	on the fly	figurative	dashes	DET NOUN ADV VERB DET ADJ NOUN ADP VERB PUNCT PART NOUN ADP DET NOUN CCONJ VERB ADV VERB DET NOUN VERB PROPN ADP ADP PROPN VERB VERB NOUN NOUN ADP PUNCT DET PUNCT NOUN ADP PROPN NUM
Even now trout are being taken from the upper layers of the water and on more than one evening fish have surprisingly been caught on dry flies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the fly	literal	combined-inflection	ADV ADV NOUN VERB VERB VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ ADP ADJ ADP NUM NOUN NOUN VERB ADV VERB VERB ADP ADJ NOUN
If you only require mono images for eventual in - house mono printing then a video player is quite adequate as VidiPC can capture mono images ' on - the - fly '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0	on the fly	figurative	dashes	ADP PRON ADV VERB ADJ NOUN ADP ADJ ADP PUNCT NOUN NOUN VERB ADV DET NOUN NOUN VERB ADV ADJ ADP NOUN VERB VERB NOUN NOUN PART ADP PUNCT DET PUNCT NOUN PUNCT
The Grant Arms Hotel, run by Colin Hart, offers excellent salmon and trout fishing opportunities, comfortable accommodation and first - class advice on the fly of the moment ; and which fingers to cross.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	DET PROPN PROPN PROPN VERB ADP PROPN PROPN VERB ADJ NOUN CCONJ NOUN NOUN NOUN ADJ NOUN CCONJ ADJ PUNCT NOUN NOUN ADP DET NOUN ADP DET NOUN PUNCT CCONJ ADJ NOUN PART VERB
Indeed, these weightings could possibly be adjusted’ on the fly’, according to the degree of confidence associated with each analyser.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	dashes	ADV DET NOUN VERB ADV VERB ADJ ADP DET NOUN VERB ADP DET NOUN ADP NOUN VERB ADP DET NOUN
All applications, and the bulk of Taos itself is written in Virtual Processor code, so that at run - time the code is loaded onto a real processor and translated on the fly into the chip's native instruction set.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the fly	figurative	identical	DET NOUN CCONJ DET NOUN ADP PROPN PRON VERB VERB ADP PROPN PROPN NOUN ADP ADP ADP NOUN PUNCT NOUN DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADP DET NOUN ADP DET NOUN ADJ NOUN NOUN
Toronto had scored on a sacrifice fly and a single in the second inning and on a home run by Ernie Whitt in the fourth inning.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	literal	combined-other	PROPN VERB VERB ADP DET NOUN NOUN CCONJ DET ADJ ADP DET ADJ NOUN CCONJ ADP DET NOUN NOUN ADP PROPN PROPN ADP DET ADJ NOUN
The package also comes with a data compression utility that works ‘ on the fly’ so that it expands your files while they are being used, before re - shrinking them once you have finished using them.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	dashes	DET NOUN ADV VERB ADP DET NOUN NOUN NOUN ADJ VERB PUNCT ADP DET NOUN ADP ADP PRON VERB ADJ NOUN ADP PRON VERB VERB VERB ADP NOUN PUNCT VERB PRON ADP PRON VERB VERB VERB PRON
All this talk of bits of code being pulled out of disk and cache, being translated on the fly and wandering around networks sounds horrendously slow, but appears in practice to be blindingly fast.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the fly	figurative	identical	ADJ DET NOUN ADP NOUN ADP NOUN VERB VERB ADP ADP NOUN CCONJ NOUN VERB VERB ADP DET NOUN CCONJ VERB ADP NOUN VERB ADV ADJ CCONJ VERB ADP NOUN PART VERB ADV ADJ
