Take my words for it.	1 1 1 1 1	take someone's word for it	figurative	combined-inflection	VERB ADJ NOUN ADP PRON
‘ The Americans aren't going to be impressed by somebody from Sprague's Committee who wasn't within miles of the Abbey telling them Not to worry old boy the Redcoats have muddled through again can't recall the details but just take my word for it …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	possessive	PUNCT DET PROPN VERB VERB PART VERB VERB ADP NOUN ADP PROPN PROPN NOUN VERB ADP NOUN ADP DET PROPN VERB PRON ADV PART VERB ADJ NOUN DET PROPN VERB VERB PART ADV VERB VERB DET NOUN CCONJ ADV VERB ADJ NOUN ADP PRON PUNCT
You can take my word for it.’	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-other	PRON VERB VERB ADJ NOUN ADP NOUN
It's a pity we can't animate the final movie for you to see, but take my word for it — and the editor's — the results are certainly superb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON DET NOUN PRON VERB VERB DET ADJ NOUN ADP PRON PART VERB CCONJ VERB ADJ NOUN ADP PRON PUNCT CCONJ DET NOUN PUNCT DET NOUN VERB ADV ADJ
Ronni was prepared to take his word for it.	0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PROPN VERB ADJ PART VERB ADJ NOUN ADP PRON
They Les takes my word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON ADV VERB ADJ NOUN ADP PRON
And then backspace, I think, I 'm no I 'm not positive on that so don't take my word for it, you 'll probably mess the whole thing up!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ ADV NOUN PRON VERB PRON VERB INTJ PRON VERB ADV ADJ ADP DET ADV VERB VERB ADJ NOUN ADP PRON PRON VERB ADV VERB DET ADJ NOUN PART
‘ I could never have taken your word for it …	0 0 0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	combined-inflection	PUNCT PRON VERB ADV VERB VERB ADJ NOUN ADP PRON PUNCT
Germon and Shane Thomson are two of the gentlemen of New Zealand cricket, and one run later Germon took Thomson's word for it that he had caught him at extra cover, and walked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-inflection	PROPN CCONJ PROPN PROPN VERB NUM ADP DET NOUN ADP PROPN PROPN NOUN CCONJ NUM NOUN ADV PROPN VERB PROPN NOUN ADP PRON ADP PRON VERB VERB PRON ADP ADJ NOUN CCONJ VERB
Take his word for it people : Ashton's winged fellowship are homing in on you.	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-other	VERB ADJ NOUN ADP PRON NOUN PUNCT PROPN ADJ NOUN VERB VERB PART ADP PRON
I know that many of you might doubt that, but I hope you will take my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PRON VERB ADP ADJ ADP PRON VERB VERB ADP CCONJ PRON VERB PRON VERB VERB ADJ NOUN ADP PRON
No, no they just take your word for it and now I have got as I said, I 've got that, I 've got to paint that over and reseal and I 've got to make sure that nobody makes a mess in there, but the plumber said what you really need to do is to get rid of this cheap and tatty, horrible plastic tray which doesn't come right to the edge of the tiles	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	INTJ INTJ PRON ADV VERB ADJ NOUN ADP PRON CCONJ ADV PRON VERB VERB ADP PRON VERB PRON VERB VERB DET PRON VERB VERB PART VERB ADP ADV CCONJ NOUN CCONJ PRON VERB VERB PART VERB ADJ ADP NOUN VERB DET NOUN ADP ADV CCONJ DET NOUN VERB NOUN PRON ADV VERB PART VERB VERB PART VERB VERB ADP DET ADJ CCONJ NOUN ADJ NOUN NOUN ADJ VERB VERB ADV ADP DET NOUN ADP DET NOUN
The House does not have to take my word for it, because the action taken to deliver our commitments is there for all to see in the report.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	DET PROPN VERB ADV VERB PART VERB ADJ NOUN ADP PRON ADP DET NOUN VERB PART VERB ADJ NOUN VERB ADV ADP DET PART VERB ADP DET NOUN
But why take just our word for it?	0 0 1 0 1 1 1 1	take someone's word for it	figurative	combined-other	CCONJ ADV VERB ADV ADJ NOUN ADP PRON
Just take my word for it.	0 1 1 1 1 1	take someone's word for it	figurative	possessive	ADV VERB ADJ NOUN ADP PRON
But don't take our word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB VERB ADJ NOUN ADP PRON
‘ They seemed rather laden to me, but I 'll take your word for it if you tell me that it's all general interest in my private life.’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB ADV ADJ ADP PRON CCONJ PRON VERB VERB ADJ NOUN ADP PRON ADP PRON VERB PRON ADP PRON DET ADJ NOUN ADP ADJ ADJ NOUN
Even if I 'd told you that I heard it on the local news, I doubt you 'd have taken my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	ADV ADP PRON VERB VERB PRON ADP PRON VERB PRON ADP DET ADJ NOUN PRON VERB PRON VERB VERB VERB ADJ NOUN ADP PRON
‘ There never was any arrangement of that kind, but I don't expect you to take my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PUNCT ADV ADV VERB DET NOUN ADP DET NOUN CCONJ PRON VERB VERB PRON PART VERB ADJ NOUN ADP PRON
But don't just take their word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB ADV VERB ADJ NOUN ADP PRON
I 'm taking your word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON VERB VERB ADJ NOUN ADP PRON
If virtually fat - free yogurt sounds ( and tastes ) too good to be true, don't just take our word for it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	ADP ADV ADJ PUNCT ADJ NOUN VERB PUNCT CCONJ NOUN PUNCT ADV ADJ PART VERB ADJ VERB ADV VERB ADJ NOUN ADP PRON
‘ It may seem so to you, but you can take my word for it, if I were in the business of prowling around car parks looking for innocent Bentleys to wreck, I most certainly wouldn't use my own car as a battering - ram.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB VERB ADV ADP PRON CCONJ PRON VERB VERB ADJ NOUN ADP PRON ADP PRON VERB ADP DET NOUN ADP VERB ADP NOUN NOUN VERB ADP ADJ PROPN ADP NOUN PRON ADV ADV VERB VERB ADJ ADJ NOUN ADP DET VERB PUNCT NOUN
She took my word for it.	0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON VERB ADJ NOUN ADP PRON
In that case, don't take my word for it, but please read News From Nowhere by William Morris.	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADP DET NOUN VERB VERB ADJ NOUN ADP PRON CCONJ INTJ VERB PROPN ADP ADV ADP PROPN PROPN
But don't just take my word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	CCONJ VERB ADV VERB ADJ NOUN ADP PRON
‘ He could hardly ask you, and take your word for it, could he?	0 0 0 0 0 0 0 1 1 1 1 1 0 0	take someone's word for it	figurative	possessive	PUNCT PRON VERB ADV VERB PRON CCONJ VERB ADJ NOUN ADP PRON VERB PRON
‘ No, I think it would have been easier just to take his word for it that I 'd boobed, fallen down on the job.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PUNCT INTJ PRON VERB PRON VERB VERB VERB ADJ ADV PART VERB ADJ NOUN ADP PRON ADP PRON VERB VERB VERB PART ADP DET NOUN
I will not bore you with going through a lot of slides showing those comparisons, but in a short paper erm you must take my word for it that the two groups were comparable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON VERB ADV VERB PRON ADP VERB ADP DET NOUN ADP NOUN VERB DET NOUN CCONJ ADP DET ADJ NOUN NOUN PRON VERB VERB ADJ NOUN ADP PRON ADP DET NUM NOUN VERB ADJ
So from London to King's Lynn is, they say, a hundred miles and I 'll take their word for it, London to Ipswich in fact is seventy miles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	ADV ADP PROPN ADP PROPN PROPN VERB PRON VERB DET NUM NOUN CCONJ PRON VERB VERB ADJ NOUN ADP PRON PROPN ADP PROPN ADP NOUN VERB NUM NOUN
I can only take your word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PRON VERB ADV VERB ADJ NOUN ADP PRON
But don't take my word for it ; this is not a figment of the journalistic imagination.	0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ VERB VERB ADJ NOUN ADP PRON PUNCT DET VERB ADV DET NOUN ADP DET ADJ NOUN
Well, I 'll take your word for it.	0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	INTJ PRON VERB VERB ADJ NOUN ADP PRON
Listen, I know their sort, and take my word for it that they 're professionals.	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0	take someone's word for it	figurative	possessive	VERB PRON VERB ADJ NOUN CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB NOUN
It's sometimes hard to explain to a person who doesn't share your enthusiasm for the plant and animal kingdom why watching three ptarmigan walking about on a clump of moss is exciting, but take my word for it that it is.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0	take someone's word for it	figurative	possessive	PRON ADV ADJ PART VERB ADP DET NOUN NOUN VERB VERB ADJ NOUN ADP DET NOUN CCONJ NOUN NOUN ADV VERB NUM NOUN VERB ADP ADP DET NOUN ADP NOUN VERB ADJ CCONJ VERB ADJ NOUN ADP PRON ADP PRON VERB
‘ I 'll take your word for it.’	0 0 0 1 1 1 1 1	take someone's word for it	figurative	combined-other	PUNCT PRON VERB VERB ADJ NOUN ADP NOUN
