If he likes to show off his long slender legs ..	0 0 0 0 1 0 0 0 0 1 0	show a leg	literal	combined-inflection	ADP PRON VERB PART VERB PART ADJ ADJ ADJ NOUN PUNCT
Gaiters, you would imagine, would have been banned years ago, as they enable the dashing bishop to show a leg in its full shape.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	identical	NOUN PRON VERB VERB VERB VERB VERB VERB NOUN ADV ADP PRON VERB DET VERB NOUN PART VERB DET NOUN ADP ADJ ADJ NOUN
She was already taking the files out of the car, though, gracefully leaning over and showing long, well - shaped legs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	show a leg	literal	combined-inflection	PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN ADV ADV VERB PART CCONJ VERB ADV ADV PUNCT VERB NOUN
But on the specific question of ' showing ' one's legs, after talking to Muslim girls in Bradford and London I feel convinced that they share the views of their parents.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	show a leg	literal	combined-inflection	CCONJ ADP DET ADJ NOUN ADP PUNCT VERB PUNCT PRON NOUN ADP VERB ADP ADJ NOUN ADP PROPN CCONJ PROPN PRON VERB ADJ ADP PRON VERB DET NOUN ADP ADJ NOUN
Me sister never showed ' er legs in all ' er life, nor me, neither.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	show a leg	literal	combined-inflection	PRON NOUN ADV VERB PUNCT INTJ NOUN ADP DET PUNCT INTJ NOUN CCONJ PRON ADV
Its heavy vertical folds mask much of the body and hang free under the right elbow, while the thin, tight - drawn chiton shows the legs almost as though naked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	ADJ ADJ ADJ NOUN VERB ADJ ADP DET NOUN CCONJ VERB ADJ ADP DET ADJ NOUN ADP DET ADJ ADJ PUNCT VERB NOUN VERB DET NOUN ADV ADP ADP ADJ
Dickin asked whether Anthony would ever call ' Go on darlin ', show us yer legs ' to a man?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	show a leg	literal	combined-inflection	PROPN VERB ADP PROPN VERB ADV VERB PUNCT VERB ADP NOUN PUNCT VERB PRON ADJ NOUN PUNCT ADP DET NOUN
She likes music and dancing, too — she showed her legs in one dance! '	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	PRON VERB NOUN CCONJ NOUN ADV PUNCT PRON VERB ADJ NOUN ADP NUM NOUN PUNCT
I was terribly embarrassed ; not only was I a convent girl but the skirts were worn down to the ankles and women just didn't show their legs in those days.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	show a leg	literal	determiner-broad	PRON VERB ADV ADJ PUNCT ADV ADV VERB PRON DET ADJ NOUN CCONJ DET NOUN VERB VERB PART ADP DET NOUN CCONJ NOUN ADV VERB VERB ADJ NOUN ADP DET NOUN
Jo looked like a Munchkin in anything that showed her legs.	0 0 0 0 0 0 0 0 1 0 1	show a leg	literal	combined-inflection	PROPN VERB ADP DET PROPN ADP NOUN ADJ VERB ADJ NOUN
Ashen - faced, she was gibbering quietly to herself, her petrol - sodden hair plastered to her head and her dripping gown showing her legs almost to the crotch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	NOUN PUNCT VERB PRON VERB VERB ADV ADP PRON ADJ NOUN PUNCT NOUN NOUN VERB ADP ADJ NOUN CCONJ ADJ VERB NOUN VERB ADJ NOUN ADV ADP DET NOUN
