Good riddance to her. '	1 1 0 0 0	good riddance	figurative	case	ADJ NOUN ADP PRON PUNCT
Yeah, it's good riddance probably.	0 0 1 1 0	good riddance	figurative	identical	INTJ PRON ADJ NOUN ADV
Far too many still favour the shock tactics of getting those who are no longer deemed useful out of the door as fast as possible — and good riddance.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	good riddance	figurative	identical	ADV ADV ADJ ADV VERB DET NOUN NOUN ADP VERB DET NOUN VERB ADV ADV VERB ADJ ADP ADP DET NOUN ADV ADV ADP ADJ PUNCT CCONJ ADJ NOUN
But if this is what the club resorts to than good riddance to them.	0 0 0 0 0 0 0 0 0 0 1 1 0 0	good riddance	figurative	identical	CCONJ ADP DET VERB NOUN DET NOUN VERB ADP ADP ADJ NOUN ADP PRON
‘ Take him and good riddance.	0 0 0 0 1 1	good riddance	figurative	identical	PUNCT VERB PRON CCONJ ADJ NOUN
To - night you marry Manfro Draper and to - morrow you 'll be on your way and good riddance. "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	good riddance	figurative	identical	ADP PUNCT NOUN PRON VERB PROPN PROPN CCONJ PART PUNCT VERB PRON VERB VERB ADP ADJ NOUN CCONJ ADJ NOUN PUNCT
Good riddance, she thought, scowling fiercely at the water.	1 1 0 0 0 0 0 0 0	good riddance	figurative	case	ADJ NOUN PRON VERB VERB ADV ADP DET NOUN
‘ Good day and good riddance to you too,’ he said angrily.	0 0 0 0 1 1 0 0 0 0 0 0	good riddance	figurative	identical	PUNCT ADJ NOUN CCONJ ADJ NOUN ADP PRON ADP PRON VERB ADV
Mum looked pleadingly at him but not a word was said between any of us until he was opening the door to leave and Dad said, ‘ Bloody good riddance, an ' don't bang the door when you go, I 've only just mended it.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	PROPN VERB ADV ADP PRON CCONJ ADV DET NOUN VERB VERB ADP DET ADP PRON ADP PRON VERB VERB DET NOUN PART VERB CCONJ PROPN VERB PUNCT ADJ ADJ NOUN DET PUNCT VERB VERB DET NOUN ADV PRON VERB PRON VERB ADV ADV VERB NOUN
Goodbye and good riddance to the propaganda parade Television coverage of the election campaign has been so much oil on shallow water.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	good riddance	figurative	identical	ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN NOUN NOUN ADP DET NOUN NOUN VERB VERB ADV ADJ NOUN ADP ADJ NOUN
‘ And good riddance!’	0 0 1 1	good riddance	figurative	dashes	PUNCT CCONJ ADJ ADV
