When we were moving or when he thought a search was in the offing he 'd hide it in his underpants.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the offing	figurative	identical	ADV PRON VERB VERB CCONJ ADV PRON VERB DET NOUN VERB ADP DET NOUN PRON VERB VERB PRON ADP ADJ NOUN
Energy was anxious that the CEGB's programme was not inhibited, and concerned about a contract in the offing for Japanese nuclear waste reprocessing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the offing	figurative	identical	NOUN VERB ADJ ADP DET PROPN NOUN VERB ADV VERB CCONJ VERB ADP DET NOUN ADP DET NOUN ADP ADJ ADJ NOUN NOUN
‘ There might be a job with Aunty in the offing, okay?’	0 0 0 0 0 0 0 0 1 0 1 0	in the offing	figurative	identical	PUNCT ADV VERB VERB DET NOUN ADP PROPN ADP DET NOUN VERB
No such intervention is in the offing now.	0 0 0 0 1 0 1 0	in the offing	figurative	identical	DET ADJ NOUN VERB ADP DET NOUN ADV
Michael Liley, the Association Director, has pointed out that important changes were in the offing, and it was important to know what was to happen as the change were likely to be found unpleasant in the trade.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	PROPN PROPN DET PROPN PROPN VERB VERB PART ADP ADJ NOUN VERB ADP DET NOUN CCONJ PRON VERB ADJ PART VERB NOUN VERB PART VERB ADP DET NOUN VERB ADJ PART VERB VERB ADJ ADP DET NOUN
Perez says his company also has a deal with American Management Systems Inc, Arlington, Virginia, in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	PROPN VERB ADJ NOUN ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN ADP DET NOUN
No telecottages have been established, but there are several initiatives in the offing.	0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	DET NOUN VERB VERB VERB CCONJ ADV VERB ADJ NOUN ADP DET NOUN
However, if a stalemate occurs, then new elections would seem to be in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADV ADP DET NOUN VERB ADV ADJ NOUN VERB VERB PART VERB ADP DET NOUN
As the next moonless period was in early March, there was some time for reorganization, and with the Eighth Army dug in defensively along the Gazala line there was no major offensive in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADP DET ADJ NOUN NOUN VERB ADP ADJ PROPN ADV VERB DET NOUN ADP NOUN CCONJ ADP DET PROPN PROPN VERB PART ADV ADP DET PROPN NOUN ADV VERB DET ADJ NOUN ADP DET NOUN
Recently she's been concentrating on developing her own career, with a new album doing the rounds, and a very heavy touring schedule in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADV PRON VERB VERB ADP VERB ADJ ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN CCONJ DET ADV ADJ NOUN NOUN ADP DET NOUN
Husband in the offing?	0 1 0 1	in the offing	figurative	identical	NOUN ADP DET NOUN
With plans to expand our cutter fleet in the offing Venturous took on a new role as training ship during the winter periods for the next few years.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP NOUN PART VERB ADJ ADJ NOUN ADP DET VERB PROPN VERB PART DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN NOUN ADP DET ADJ ADJ NOUN
Kingfisher was forced to show its hand after rumours that a bid was in the offing began to circulate on Tuesday.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the offing	figurative	identical	PROPN VERB VERB PART VERB ADJ NOUN ADP NOUN ADP DET NOUN VERB ADP DET NOUN VERB PART VERB ADP PROPN
a take - over bid ) is in the offing.	0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	DET VERB PUNCT PART NOUN PUNCT VERB ADP DET NOUN
Deals worth more than £ 7 million are in the offing, with orders from France, Italy and Malta.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the offing	figurative	identical	NOUN ADJ ADJ ADP SYM NUM NUM VERB ADP DET NOUN ADP NOUN ADP PROPN PROPN CCONJ PROPN
With all this and North Sea ( some would say Scottish ) oil in the offing, who was to say we were unfit to govern ourselves?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP ADJ DET CCONJ PROPN PROPN PUNCT DET VERB VERB PROPN PUNCT NOUN ADP DET NOUN NOUN VERB PART VERB PRON VERB ADJ PART VERB PRON
Instead, with only 10 minutes left, Dewsbury led 12 - 6 and a genuine upset was in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADV ADP ADV NUM NOUN VERB PROPN VERB NUM SYM NUM CCONJ DET ADJ ADJ VERB ADP DET NOUN
They broadcast regularly for the BBC and have made a number of CDs, with many more in the offing.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	PRON VERB ADV ADP DET PROPN CCONJ VERB VERB DET NOUN ADP NOUN ADP ADJ ADJ ADP DET NOUN
With a General Election in the offing the Ballot provided a perfect framework for opposition parties to co - operate in setting the foreign policy agenda, without in any way compromising their own independence.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	identical	ADP DET PROPN PROPN ADP DET NOUN DET PROPN VERB DET ADJ NOUN ADP NOUN NOUN PART VERB PUNCT VERB ADP VERB DET ADJ NOUN NOUN ADP ADP DET NOUN VERB ADJ ADJ NOUN
In the offing, with a probable start date of 1992, are three INRs or Independent National Radio stations.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the offing	figurative	case	ADP DET NOUN ADP DET ADJ NOUN NOUN ADP NUM VERB NUM NOUN CCONJ PROPN PROPN PROPN NOUN
There was also a British General Election in the offing.	0 0 0 0 0 0 0 1 0 1	in the offing	figurative	identical	ADV VERB ADV DET PROPN PROPN PROPN ADP DET NOUN
