Local authorities should not indulge in a dog - eat - dog attitude.	0 0 0 0 0 0 0 1 0 1 0 1 0	dog eat dog	figurative	dashes	ADJ NOUN VERB ADV VERB ADP DET NOUN PUNCT ADJ PUNCT NOUN NOUN
Unfettered competition of dog eat dog policies must surely give way to positive employment policies and achieve what desired, a society set free from idleness.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	identical	ADJ NOUN ADP NOUN VERB NOUN NOUN VERB ADV VERB NOUN ADP ADJ NOUN NOUN CCONJ VERB NOUN VERB DET NOUN VERB ADJ ADP NOUN
This is the director's immediate and obvious way of telling us ( and Buck ) that New York is a dog - eat - dog society.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	dog eat dog	figurative	dashes	DET VERB DET NOUN ADJ CCONJ ADJ NOUN ADP VERB PRON PUNCT CCONJ PROPN PUNCT ADP PROPN PROPN VERB DET NOUN PUNCT ADJ PUNCT NOUN NOUN
The apprentices who are there under an apprentice contract unfortunately secure employment for the period that you 're contracted to after that, you are in the situation of dog eat dog, dare, dare I say.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	dog eat dog	figurative	identical	DET NOUN NOUN VERB ADV ADP DET NOUN NOUN ADV ADJ NOUN ADP DET NOUN ADJ PRON VERB VERB ADP ADP DET PRON VERB ADP DET NOUN ADP NOUN VERB NOUN VERB VERB PRON VERB
Most importantly, its key objective was to promote openness and trust at the top level, a refreshing contract to the dog - eat - dog approach being bred into far too many managers in this sado - masochistic age.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	dashes	ADV ADV ADJ ADJ NOUN VERB PART VERB NOUN CCONJ VERB ADP DET ADJ NOUN DET NOUN NOUN ADP DET NOUN PUNCT ADJ PUNCT NOUN NOUN VERB VERB ADP ADV ADV ADJ NOUN ADP DET NOUN PUNCT ADJ NOUN
Everyone knows that in the contracting world of producing computer hardware it would always be a case of dog eat dog.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dog eat dog	figurative	identical	NOUN VERB ADP ADP DET NOUN NOUN ADP VERB NOUN NOUN PRON VERB ADV VERB DET NOUN ADP NOUN VERB NOUN
I wouldn't be where I am today if I couldn't hold my own in a dog - eat - dog world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	dog eat dog	figurative	dashes	PRON VERB VERB ADV PRON VERB NOUN ADP PRON VERB VERB ADJ ADJ ADP DET NOUN PUNCT ADJ PUNCT NOUN NOUN
Mrs Clinton also assured the Hopkins audience that the hospitals of major research institutions like theirs would be insulated against the dog - eat - dog, cost - cutting incentives inherent in managed competition, the administration's basic formula for reform.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	dashes	PROPN PROPN ADV VERB DET PROPN NOUN ADP DET NOUN ADP ADJ NOUN NOUN ADP PRON VERB VERB VERB ADP DET NOUN PUNCT NOUN PUNCT NOUN NOUN PUNCT VERB NOUN ADJ ADP VERB NOUN DET NOUN ADJ NOUN ADP NOUN
And your self - esteem is just attacked by that dog - eat - dog system.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	dog eat dog	figurative	dashes	CCONJ ADJ NOUN PUNCT NOUN VERB ADV VERB ADP DET NOUN PUNCT ADJ PUNCT NOUN NOUN
Dog often eats dog, in Fleet Street, but not usually with such Rottweiler slaverings and over so many column inches.	1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	combined-inflection	PROPN ADV VERB NOUN ADP PROPN PROPN CCONJ ADV ADV ADP ADJ PROPN NOUN CCONJ ADP ADV ADJ NOUN NOUN
Long - term partnerships and alliances are emphasised replacing the calculative ‘ dog eat dog’ model.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	dog eat dog	figurative	dashes	ADJ PUNCT NOUN NOUN CCONJ NOUN VERB VERB VERB DET ADJ ADJ NOUN VERB NOUN NOUN
Some say straight to where most countries in the Third World stand today, with their dog - eat - dog labour relations and ever - widening divide between rich and poor.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	dashes	DET VERB ADV ADP ADV ADJ NOUN ADP DET PROPN PROPN VERB NOUN ADP ADJ NOUN PUNCT ADJ PUNCT NOUN NOUN NOUN CCONJ ADV PUNCT VERB NOUN ADP ADJ CCONJ ADJ
For 20 years after World War Two it seemed possible that the dog eat dog ‘ survival of the fittest’ brand of free market capitalism had been supplanted by a social contract between employers and workers, with only occasional mediation by the state.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dog eat dog	figurative	identical	ADP NUM NOUN ADP PROPN PROPN PROPN PRON VERB ADJ ADP DET NOUN VERB NOUN ADJ NOUN ADP DET NOUN NOUN ADP ADJ NOUN NOUN VERB VERB VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADP ADJ ADJ NOUN ADP DET NOUN
