Although all that does is help the B B C cos they they 're getting interest on the money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	identical	ADP DET ADJ VERB VERB VERB DET PROPN PROPN PROPN ADP PRON PRON VERB VERB NOUN ADP DET NOUN
After a court ruling that this was unlawful, Haringey rang round other councils to see if they could borrow and lend on the money to tide it over.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the money	literal	identical	ADP DET NOUN NOUN ADP DET VERB ADJ PROPN VERB ADP ADJ NOUN PART VERB ADP PRON VERB VERB CCONJ VERB ADP DET NOUN PART VERB PRON PART
Thus the stress on money as a means of storing wealth and the close substitutability of money and other financial assets give an elastic liquidity preference curve.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	ADV DET NOUN ADP NOUN ADP DET NOUN ADP VERB NOUN CCONJ DET ADJ NOUN ADP NOUN CCONJ ADJ ADJ NOUN VERB DET ADJ NOUN NOUN NOUN
' We still owe quite a lot on that money we borrered fer the free'old. '	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the money	literal	determiner-narrow	PUNCT PRON ADV VERB ADJ DET NOUN ADP DET NOUN PRON VERB VERB DET NOUN PUNCT
While UAU rugby has lost out on money, Blackheath have lost the services of their coach, Alex Keay.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	ADP PROPN NOUN VERB VERB PART ADP NOUN PROPN VERB VERB DET NOUN ADP ADJ NOUN PROPN PROPN
Viktor Gerashchenko, the bank's chairman, has described this deal as a trap for the government to show it will not be able to live with constraints on the money supply.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	on the money	literal	identical	PROPN PROPN DET NOUN NOUN VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN PART VERB PRON VERB ADV VERB ADJ PART VERB ADP NOUN ADP DET NOUN NOUN
None of it goes on salaries or administration because all of that is covered by sponsorship or by the interest on banked money.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the money	literal	determiner-broad	NOUN ADP PRON VERB ADP NOUN CCONJ NOUN ADP DET ADP DET VERB VERB ADP NOUN CCONJ ADP DET NOUN ADP VERB NOUN
If you wanna make a point about that well well we 'll point about them erm there is er a comment erm in this erm erm yeah on paragraph, paragraphs four and five, page five the first of we will buy them including all the legislation that will reduce and if you got up to page three, paragraph six there's a claim that levels are eight percent higher on the same money!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the money	literal	insertion-other	ADP PRON ADV VERB DET NOUN ADP DET INTJ INTJ PRON VERB VERB ADP PRON ADV ADV VERB INTJ DET NOUN NOUN ADP DET NOUN NOUN INTJ ADP NOUN VERB NUM CCONJ NUM NOUN NUM DET ADJ ADP PRON VERB VERB PRON VERB ADJ DET NOUN ADJ VERB VERB CCONJ ADP PRON VERB PART PART VERB NUM NOUN NUM ADV DET NOUN ADP NOUN VERB NUM NOUN ADJ ADP DET ADJ NOUN
Because he's already got his hands on the money?’	0 0 0 0 0 0 1 0 1	on the money	literal	dashes	ADP PRON ADV VERB ADJ NOUN ADP DET NOUN
The agreement must specify that this 20 per cent should be on money actually received by the artist, not on items such as bad debts, and that there should be allowances for exactly what the commission is chargeable on in certain circumstances.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the money	literal	deletion-determiner	DET NOUN VERB VERB ADP DET NUM NOUN NOUN VERB VERB ADP NOUN ADV VERB ADP DET NOUN ADV ADP NOUN ADJ ADP ADJ NOUN CCONJ ADP ADV VERB VERB NOUN ADP ADV NOUN DET NOUN VERB ADJ ADP ADP ADJ NOUN
The Conservative manifesto contained a commitment to increase, year by year, the level of ' real resources ' committed to the NHS — though it put no figure on the extra money to be allocated.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	on the money	literal	insertion-other	DET ADJ NOUN VERB DET NOUN PART VERB NOUN ADP NOUN DET NOUN ADP PUNCT ADJ NOUN PART VERB ADP DET PROPN PUNCT ADP PRON VERB DET NOUN ADP DET ADJ NOUN PART VERB VERB
