I 'm trying to kick the habit.’	0 0 0 0 1 0 1	kick the habit	figurative	dashes	PRON VERB VERB PART VERB DET NOUN
George V had found Lloyd George's scattering of honours ‘ disagreeable and distasteful’, according to his private secretary, Lord Stamfordham, and while no subsequent prime minister has abused the system to anything like the same degree, they can not kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	PROPN PROPN VERB VERB PROPN PROPN NOUN ADP NOUN PART ADJ CCONJ NOUN VERB ADP ADJ ADJ NOUN PROPN PROPN CCONJ ADP DET ADJ ADJ NOUN VERB VERB DET NOUN ADP NOUN ADP DET ADJ NOUN PRON VERB ADV VERB DET NOUN
Sobered by recession, Americans are kicking the plastic - debt habit.	0 0 0 0 0 1 0 0 0 0 1	kick the habit	figurative	combined-inflection	VERB ADP NOUN PROPN VERB VERB DET NOUN PUNCT NOUN NOUN
Men are kicking the habit … but women aren't … lung cancer has overtaken breast cancer as killer.but despite the statistics people continue to smoke.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	inflection	NOUN VERB VERB DET NOUN PUNCT CCONJ NOUN VERB PUNCT NOUN NOUN VERB VERB NOUN NOUN ADP NOUN ADP DET NOUN NOUN VERB PART VERB
Research has shown that each year, only one smoker in 100 is able to kick the habit without some kind of help.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	kick the habit	figurative	identical	NOUN VERB VERB ADP DET NOUN ADV NUM NOUN ADP NUM VERB ADJ PART VERB DET NOUN ADP DET NOUN ADP NOUN
He had been the one to persuade her brother, an alcoholic and addict, to flee New Orleans for the sobriety of the Midwest, where he kicked his bad habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	kick the habit	figurative	combined-inflection	PRON VERB VERB DET NOUN PART VERB ADJ NOUN DET NOUN CCONJ NOUN PART VERB PROPN PROPN ADP DET NOUN ADP DET PROPN ADV PRON VERB ADJ ADJ NOUN
At one time a business proposition came up and, thinking it would help him kick his habit, I agreed to a joint overdraft.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	kick the habit	figurative	determiner-broad	ADP NUM NOUN DET NOUN NOUN VERB PART CCONJ VERB PRON VERB VERB PRON VERB ADJ NOUN PRON VERB ADP DET ADJ NOUN
But Liza ( with a ' Z ' ) kicked the bad habits today her only addictions are cigarettes and caffeine and gets back into the old song - and - dance routine for Stepping Out, released on CIC Video on March 20.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	combined-inflection	CCONJ PROPN PUNCT ADP DET PUNCT NOUN PUNCT PUNCT VERB DET ADJ NOUN NOUN ADJ ADJ NOUN VERB NOUN CCONJ NOUN CCONJ VERB ADV ADP DET ADJ NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP VERB PART VERB ADP PROPN PROPN ADP PROPN NUM
Former chest physician Dr Howard Williams and Jayne Devonald, the ‘ smoking’ health promotion adviser, will be on hand from 11 am to 3 pm at the Healthy Colchester Information Shop in Trinity Street to give help to anyone wanting to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADJ NOUN NOUN PROPN PROPN PROPN CCONJ PROPN PROPN DET PUNCT NOUN NOUN NOUN NOUN VERB VERB ADP NOUN ADP NUM VERB ADP NUM NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN PROPN PART VERB NOUN ADP NOUN VERB PART VERB DET NOUN
PROPER planning is the key to success for the thousands of smokers hoping to kick the habit in the New Year, according to an expert.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	ADJ NOUN VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN VERB PART VERB DET NOUN ADP DET PROPN PROPN VERB ADP DET NOUN
They must also offer confidentiality and staff need to be nonjudgmental and ready to offer help, whether or not the individual is ready to ‘ kick the habit’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	dashes	PRON VERB ADV VERB NOUN CCONJ NOUN VERB PART VERB ADJ CCONJ ADJ PART VERB NOUN ADP CCONJ ADV DET NOUN VERB ADJ PART PUNCT VERB DET NOUN
asked whether the American army had helped him to kick his drug habit.	0 0 0 0 0 0 0 0 0 1 0 0 1	kick the habit	figurative	combined-other	VERB ADP DET ADJ NOUN VERB VERB PRON PART VERB ADJ NOUN NOUN
Mel to kick Lethal Habit	0 0 1 0 1	kick the habit	figurative	combined-other	PROPN PART VERB PROPN PROPN
But even a heavy smoker can reduce this risk by kicking the habit, and the benefit starts within days of giving up.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	kick the habit	figurative	inflection	CCONJ ADV DET ADJ NOUN VERB VERB DET NOUN ADP VERB DET NOUN CCONJ DET NOUN VERB ADP NOUN ADP VERB PART
Once the motivation to stop arises, it is not so difficult to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADP DET NOUN PART VERB VERB PRON VERB ADV ADV ADJ PART VERB DET NOUN
He kicked the habit, as his doctors must have told you.	0 1 0 1 0 0 0 0 0 0 0	kick the habit	figurative	inflection	PRON VERB DET NOUN ADP ADJ NOUN VERB VERB VERB PRON
In the New Year, staff will be given advice on how to kick the habit.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	ADP DET PROPN PROPN NOUN VERB VERB VERB NOUN ADP ADV PART VERB DET NOUN
She used treats and kindness rather than nagging to persuade her mum to kick the habit for at least two weeks.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	kick the habit	figurative	identical	PRON VERB NOUN CCONJ NOUN ADV ADP VERB PART VERB ADJ NOUN PART VERB DET NOUN ADP ADV ADV NUM NOUN
He was desperately trying to kick the habit on his own, but he needed moral support and someone to keep an eye on him.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	PRON VERB ADV VERB PART VERB DET NOUN ADP ADJ ADJ CCONJ PRON VERB ADJ NOUN CCONJ NOUN PART VERB DET NOUN ADP PRON
Wally Reid was actually keen to kick the habit.	0 0 0 0 0 0 1 0 1	kick the habit	figurative	identical	PROPN PROPN VERB ADV ADJ PART VERB DET NOUN
There are various clinics and self - help groups to support and encourage those wanting to kick the habit ; but a lot of determination will be needed to get through the first difficult weeks or months.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	identical	ADV VERB ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN PART VERB CCONJ VERB DET VERB PART VERB DET NOUN PUNCT CCONJ DET NOUN ADP NOUN VERB VERB VERB PART VERB ADP DET ADJ ADJ NOUN CCONJ NOUN
The truth is quite otherwise — adult smokers are simply ex - teenage smokers who haven't managed to kick the habit. )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	kick the habit	figurative	identical	DET NOUN VERB ADV ADV PUNCT NOUN NOUN VERB ADV NUM PUNCT ADJ NOUN NOUN VERB VERB PART VERB DET NOUN PUNCT
There too a twenty year old who has managed to kick a habit that was leading him down a dangerous path.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	kick the habit	figurative	determiner-narrow	ADV ADV DET NUM NOUN ADJ NOUN VERB VERB PART VERB DET NOUN ADJ VERB VERB PRON ADP DET ADJ NOUN
In recent years, more than 11 million smokers in Britain have kicked the habit.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	inflection	ADP ADJ NOUN ADJ ADP NUM NUM NOUN ADP PROPN VERB VERB DET NOUN
In its vast project to kick the mainframe habit and move to Unix - based client - server systems, Mead Corp's database operator Mead Data Central Inc is spreading its favours around, and while some Unix business has gone to Hewlett - Packard Co, NCR Corp is also in there as a so - called strategic technology partner ( presumably its non - strategic technology partners are the people that supply the brooms they sweep the floor with ) as Mead moves existing applications off mainframes to a client - server environment : the two have been working together for the past year on projects to re - engineer access to the widely - used Lexis and Nexis on - line information services and create a new internal information system infrastructure and campus - wide network, and Mead is using NCR System 3000 symmetric multiprocessors and AT&T Co and NCR network products.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kick the habit	figurative	insertion-other	ADP ADJ ADJ NOUN PART VERB DET NOUN NOUN CCONJ VERB ADP PROPN PUNCT VERB NOUN PUNCT NOUN NOUN PROPN PROPN NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADJ NOUN ADV CCONJ ADP DET PROPN NOUN VERB VERB ADP PROPN PUNCT PROPN PROPN PROPN PROPN VERB ADV ADV ADV ADP DET ADV PUNCT VERB ADJ NOUN NOUN PUNCT ADV ADJ ADJ PUNCT ADJ NOUN NOUN VERB DET NOUN ADJ VERB DET NOUN PRON VERB DET NOUN ADP PUNCT ADP PROPN VERB VERB NOUN ADP NOUN ADP DET NOUN PUNCT NOUN NOUN PUNCT DET NUM VERB VERB VERB ADV ADP DET ADJ NOUN ADP NOUN PART VERB PUNCT NOUN NOUN ADP DET ADV PUNCT VERB PROPN CCONJ PROPN ADP PUNCT NOUN NOUN NOUN CCONJ VERB DET ADJ ADJ NOUN NOUN NOUN CCONJ NOUN PUNCT ADJ NOUN CCONJ PROPN VERB VERB PROPN PROPN NUM ADJ NOUN CCONJ PROPN PROPN CCONJ PROPN NOUN NOUN
‘ I felt it had to be my fault : I was a weak human being with no moral fibre or I would have been able to kick the habit.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	kick the habit	figurative	dashes	PUNCT PRON VERB PRON VERB PART VERB ADJ NOUN PUNCT PRON VERB DET ADJ NOUN VERB ADP DET ADJ NOUN CCONJ PRON VERB VERB VERB ADJ PART VERB DET NOUN
