ICL parent, Fujitsu Ltd, had no hand in development, but is keeping tabs on its sibling's progress.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	keep tabs on	figurative	inflection	ADJ NOUN PROPN PROPN VERB DET NOUN ADP NOUN CCONJ VERB VERB NOUN ADP ADJ NOUN NOUN
Although so little was heard from them, those who kept tabs on them were convinced that they were slowly fading away.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	ADP ADV ADJ VERB VERB ADP PRON DET NOUN VERB NOUN ADP PRON VERB VERB ADP PRON VERB ADV VERB ADV
The use of information technology to keep tabs on truants is receiving particular encouragement south of the Border, where the Department for Education is putting £ 8.6 million into stepping up the fight against truancy, while Scottish Office research has put emphasis on identifying the varied causes.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET NOUN ADP NOUN NOUN PART VERB NOUN ADP NOUN VERB VERB ADJ NOUN NOUN ADP DET PROPN ADV DET PROPN ADP PROPN VERB VERB SYM NUM NUM ADP VERB PART DET NOUN ADP NOUN ADP PROPN PROPN NOUN VERB VERB NOUN ADP VERB DET ADJ NOUN
Time they had a General Medical Council keeping tabs on them, like the rest of us.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	keep tabs on	figurative	inflection	PROPN PRON VERB DET PROPN PROPN PROPN VERB NOUN ADP PRON ADP DET NOUN ADP PRON
A psychologist will keep tabs on teams of youngsters and will stop the operation if they show signs of stress.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET NOUN VERB VERB NOUN ADP NOUN ADP NOUN CCONJ VERB VERB DET NOUN ADP PRON VERB NOUN ADP NOUN
Her tone betrayed the fact that she had been keyed up about it ever since the procedure had been done this morning at the obstetrician's consulting - rooms, and Belinda hoped Faye had been keeping careful tabs on her blood - sugar level in case it was being affected by her mood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	combined-inflection	ADJ NOUN VERB DET NOUN ADP PRON VERB VERB VERB PART ADP PRON ADV ADP DET NOUN VERB VERB VERB DET NOUN ADP DET NOUN NOUN PUNCT NOUN CCONJ PROPN VERB PROPN VERB VERB VERB ADJ NOUN ADP ADJ NOUN PUNCT NOUN NOUN ADP NOUN PRON VERB VERB VERB ADP ADJ NOUN
They liked to keep tabs on you even then.	0 0 0 1 1 1 0 0 0	keep tabs on	figurative	identical	PRON VERB PART VERB NOUN ADP PRON ADV ADV
THE main drawback is an inability to keep tabs on the device during operation.	0 0 0 0 0 0 0 1 1 1 0 0 0 0	keep tabs on	figurative	identical	DET ADJ NOUN VERB DET NOUN PART VERB NOUN ADP DET NOUN ADP NOUN
Scotland Yard is lending Mr Porceddu 10 officers to help him to keep tabs on the 100 ooligans whose names have flashed up on Fifa's ticket computer.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	PROPN PROPN VERB VERB PROPN PROPN NUM NOUN PART VERB PRON PART VERB NOUN ADP DET NUM NOUN ADJ NOUN VERB VERB PART ADP PROPN NOUN NOUN
Given the difficulties of keeping tabs on such faraway players, it comes as no surprise to learn that Bilardo has appealed to one of the key figures of his 1986 World Cup team, the 34-year - old Jorge Valdano, to come out of his two - year retirement.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	VERB DET NOUN ADP VERB NOUN ADP ADJ ADJ NOUN PRON VERB ADP DET NOUN PART VERB ADP PROPN VERB VERB ADP NUM ADP DET ADJ NOUN ADP ADJ NUM PROPN PROPN NOUN DET NUM PUNCT ADJ PROPN PROPN PART VERB ADP ADP ADJ NUM PUNCT NOUN NOUN
It's just a method of keeping tabs on where you are and how you 're doing.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	PRON ADV DET NOUN ADP VERB NOUN ADP ADV PRON VERB CCONJ ADV PRON VERB VERB
The manager played more than 100 matches for the Cobblers in the early Seventies and, living three miles from the ground, he remains conveniently placed to keep tabs on potential signings.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	keep tabs on	figurative	identical	DET NOUN VERB ADJ ADP NUM NOUN ADP DET PROPN ADP DET ADJ PROPN CCONJ VERB NUM NOUN ADP DET NOUN PRON VERB ADV VERB PART VERB NOUN ADP ADJ NOUN
The BT Azure has a security lock, a hand - signal strength indicator and a dual - function timer, to help you keep tabs on individual calls and your total calling time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET PROPN PROPN VERB DET NOUN NOUN DET NOUN PUNCT NOUN NOUN NOUN CCONJ DET ADJ PUNCT NOUN NOUN PART VERB PRON VERB NOUN ADP ADJ NOUN CCONJ ADJ ADJ VERB NOUN
‘ You 've decided to finish this ridiculous business of keeping tabs on me, then?’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	keep tabs on	figurative	inflection	PUNCT PRON VERB VERB PART VERB DET ADJ NOUN ADP VERB NOUN ADP PRON NOUN
They also help us keep tabs on our progress.	0 0 0 0 1 1 1 0 0	keep tabs on	figurative	identical	PRON ADV VERB PRON VERB NOUN ADP ADJ NOUN
It's great for keeping tabs on where your money is coming from and going to and for tracking investments.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	PRON ADJ ADP VERB NOUN ADP ADV ADJ NOUN VERB VERB ADP CCONJ VERB ADP CCONJ ADP VERB NOUN
Actually, we decided after a bit that there was nothing very sinister about Sun, but that he is just an auxiliary comrade who helps to keep tabs on us, makes sure we don't get lost in the crowd, etc.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	ADV PRON VERB ADP DET NOUN ADP ADV VERB NOUN ADV ADJ ADP PROPN CCONJ ADP PRON VERB ADV DET ADJ NOUN NOUN VERB PART VERB NOUN ADP PRON VERB ADJ PRON VERB VERB VERB ADP DET NOUN X
All he had intended to do was keep tabs on her in case he needed a hostage after the hit on Mobuto.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET PRON VERB VERB PART VERB VERB VERB NOUN ADP PRON ADP NOUN PRON VERB DET NOUN ADP DET NOUN ADP PROPN
‘ Well, of course, I 've been in touch with Liz during the last five years — how else do you think I was supposed to keep tabs on you?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	identical	PUNCT INTJ ADP NOUN PRON VERB VERB ADP NOUN ADP PROPN ADP DET ADJ NUM NOUN PUNCT ADV ADV VERB PRON VERB PRON VERB VERB PART VERB NOUN ADP PRON
Venture capitalists like to keep close tabs on their investments, going down to the offices of the fledging chief executive officers once a week, putting their feet up on the desk and playing father confessor.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	insertion-other	NOUN NOUN VERB PART VERB ADJ NOUN ADP ADJ NOUN VERB PART ADP DET NOUN ADP DET VERB ADJ ADJ NOUN ADV DET NOUN VERB ADJ NOUN PART ADP DET NOUN CCONJ VERB NOUN NOUN
‘ He is their means of keeping tabs on me.	0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	inflection	PUNCT PRON VERB ADJ NOUN ADP VERB NOUN ADP PRON
Given the difficulties of keeping tabs on faraway players, it comes as no surprise to learn that Bilardo has appealed to one of the key figures of his 1986 World Cup team, the 34-year - old Jorge Valdano, to end his two - year retirement.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	VERB DET NOUN ADP VERB NOUN ADP ADJ NOUN PRON VERB ADP DET NOUN PART VERB ADP PROPN VERB VERB ADP NUM ADP DET ADJ NOUN ADP ADJ NUM PROPN PROPN NOUN DET NUM PUNCT ADJ PROPN PROPN PART VERB ADJ NUM PUNCT NOUN NOUN
‘ I told Gary I would keep tabs on him.	0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	identical	PUNCT PRON VERB PROPN PRON VERB VERB NOUN ADP PRON
Keeping the family's finances in good health requires keeping tabs on it.	0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	inflection	VERB DET NOUN NOUN ADP ADJ NOUN VERB VERB NOUN ADP PRON
All this should be controlled and monitored by a system which keeps tabs on the state of the reactor and responds when a fault occurs.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	ADJ DET VERB VERB VERB CCONJ VERB ADP DET NOUN ADJ VERB NOUN ADP DET NOUN ADP DET NOUN CCONJ VERB ADV DET NOUN VERB
You can keep tabs on how much is left by filling in the ‘ prior balance’ and ‘ new balance’spaces on each stub.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	PRON VERB VERB NOUN ADP ADV ADJ VERB VERB ADP VERB PART DET PUNCT ADJ NOUN CCONJ ADJ ADJ NOUN ADP DET NOUN
Just another way of keeping tabs on things.	0 0 0 0 1 1 1 0	keep tabs on	figurative	inflection	ADV DET NOUN ADP VERB NOUN ADP NOUN
The Prince is rather easier to keep tabs on, but there is always the unforeseen to disrupt even the best - laid plans.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	DET PROPN VERB ADV ADJ PART VERB NOUN PART CCONJ ADV VERB ADV DET ADJ PART VERB ADV DET ADV PUNCT VERB NOUN
A first round victory caught everyone's attention, and Swift kept close tabs on him for the rest of the year, even fielding a car for him in the 25th anniversary race at Silverstone and again in the Irish Festival.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	combined-inflection	DET ADJ ADJ NOUN VERB NOUN NOUN CCONJ PROPN VERB ADJ NOUN ADP PRON ADP DET NOUN ADP DET NOUN ADV VERB DET NOUN ADP PRON ADP DET ADJ NOUN NOUN ADP PROPN CCONJ ADV ADP DET PROPN PROPN
Boeing had done their best to keep tabs on which aircraft had been sold to whom but some were no longer in service or had been damaged and discarded while one or two had even lost their identity, so that it was difficult to trace where they were and under whose jurisdiction they fell.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	PROPN VERB VERB ADJ ADJ PART VERB NOUN ADP ADJ NOUN VERB VERB VERB ADP NOUN CCONJ DET VERB ADV ADV ADP NOUN CCONJ VERB VERB VERB CCONJ VERB ADP NUM CCONJ NUM VERB ADV VERB ADJ NOUN ADP ADP PRON VERB ADJ PART VERB ADV PRON VERB CCONJ ADP ADJ NOUN PRON VERB
We had to keep tabs on Waite at all times.	0 0 0 1 1 1 0 0 0 0	keep tabs on	figurative	identical	PRON VERB PART VERB NOUN ADP PROPN ADP DET NOUN
The book gives you a clear insight into the complexities of piloting a fast jet at low altitude, keeping tabs on exactly where you are and planning on the wing exactly where you want to be within an acceptable tolerance at a checkpoint of plus or minus five seconds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	DET NOUN VERB PRON DET ADJ NOUN ADP DET NOUN ADP VERB DET ADJ NOUN ADP ADJ NOUN VERB NOUN ADP ADV ADV PRON VERB CCONJ VERB ADP DET NOUN ADV ADV PRON VERB PART VERB ADP DET ADJ NOUN ADP DET NOUN ADP NOUN CCONJ CCONJ NUM NOUN
And don't forget, even though I 'll be thousands of miles away, I 'll be keeping tabs on you.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	inflection	CCONJ VERB VERB ADV ADP PRON VERB VERB NOUN ADP NOUN ADV PRON VERB VERB VERB NOUN ADP NOUN
I think I 'd better go for Dersingham and you 'd better start keeping tabs on Hereward.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	keep tabs on	figurative	inflection	PRON VERB PRON VERB ADV VERB ADP PROPN CCONJ PRON VERB ADV VERB VERB NOUN ADP PROPN
Paul Allen's 21st - minute winner was the only entry on my score card, but the chaps from the WBC keeping tabs on Nigel Benn and Nicky Piper down the road at Ally Pally would have had a much busier afternoon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	inflection	PROPN PROPN ADJ PUNCT NOUN NOUN VERB DET ADJ NOUN ADP ADJ NOUN NOUN CCONJ DET NOUN ADP DET PROPN VERB NOUN ADP PROPN PROPN CCONJ PROPN PROPN ADP DET NOUN ADP PROPN PROPN VERB VERB VERB DET ADV ADJ NOUN
Wilko has said he is interested and is keeping tabs on the situation.	0 0 0 0 0 0 0 0 1 1 1 0 0	keep tabs on	figurative	inflection	NOUN VERB VERB PRON VERB ADJ CCONJ VERB VERB NOUN ADP DET NOUN
And they go on to explain that they keep tabs on the injured who they rescue until they either leave hospital or die.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	keep tabs on	figurative	identical	CCONJ PRON VERB PART PART VERB ADP PRON VERB NOUN ADP DET VERB NOUN PRON VERB ADP PRON CCONJ VERB NOUN CCONJ VERB
