‘ It was touch and go financially,’ says Rudd.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB PROPN VERB PROPN
It's going to be touch and go but Swindon are in form.	0 0 0 0 1 1 1 0 0 0 0 0	touch and go	figurative	identical	PRON VERB PART VERB NOUN CCONJ VERB CCONJ PROPN VERB ADP NOUN
‘ It is touch and go for him.	0 0 0 1 1 1 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB ADP PRON
But it was touch and go all the way.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	CCONJ PRON VERB NOUN CCONJ VERB ADJ DET NOUN
no such excuses for Oxford United … we've got them in close - up … this match was touch and go for a long time … lots of action … lots of shots … lots of saves …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	DET ADJ NOUN ADP PROPN PROPN PUNCT PRON VERB PRON ADP NOUN PUNCT NOUN PUNCT DET NOUN VERB NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT
In fact, doctors listed his chances as ‘ touch and go’.	0 0 0 0 0 0 0 0 1 1 1	touch and go	figurative	dashes	ADP NOUN NOUN VERB ADJ NOUN ADP PUNCT NOUN CCONJ PROPN
It certainly was touch and go for Dunlop who was registering his fourth Regal win on the Ulster roads this year.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON ADV VERB NOUN CCONJ VERB ADP PROPN NOUN VERB VERB ADJ ADJ ADJ NOUN ADP DET PROPN NOUN DET NOUN
Touch and go until the very last minute when Andy Arnott got a third for Gillingham, the end for Hereford ; the end of a night of football fireworks.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	case	VERB CCONJ VERB ADP DET ADV ADJ NOUN ADV PROPN PROPN VERB DET NOUN ADP PROPN DET NOUN ADP PROPN PUNCT DET NOUN ADP DET NOUN ADP NOUN NOUN
It was always touch and go whether he would be fit to take his place, and he only got the nod after coming through a trial game without any problems.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN CCONJ PRON ADV VERB DET NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN
But now America's debt ceiling has become the subject of intense political posturing and touch - and - go negotiations behind closed doors.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	touch and go	figurative	dashes	CCONJ ADV PROPN NOUN NOUN VERB VERB DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN PUNCT CCONJ PUNCT VERB NOUN ADP ADJ NOUN
It had been touch and go whether she would get herself anywhere near, let alone actually on, the bench.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADV VERB ADV ADV ADV DET NOUN
The doctor says it's her only chance, but it's touch and go, seemingly, and she's asking for you.’	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	touch and go	figurative	identical	DET NOUN VERB PRON ADJ ADJ NOUN CCONJ PRON NOUN CCONJ VERB ADV CCONJ PRON VERB ADP NOUN
' Well, you know how touch - and - go this stuff is. '	0 0 0 0 0 1 0 1 0 1 0 0 0 0	touch and go	figurative	dashes	PUNCT INTJ PRON VERB ADV NOUN PUNCT CCONJ PUNCT VERB DET NOUN VERB PUNCT
It would still be touch and go for the agency.	0 0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB NOUN CCONJ VERB ADP DET NOUN
It's … well, it's all touch and go, I 'm afraid,’ he told her sadly.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON PUNCT INTJ PRON DET NOUN CCONJ VERB PRON X X PRON VERB PRON ADV
' We took Bobby straight there but it was touch - and - go for two hours.	0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0	touch and go	figurative	dashes	PUNCT PRON VERB PROPN ADV ADV CCONJ PRON VERB NOUN PUNCT CCONJ PUNCT VERB ADP NUM NOUN
