She's a real live wire.	0 0 0 1 1	live wire	figurative	identical	PRON DET ADJ ADJ NOUN
He was an ex - barrister, a very live wire, who could justly claim to be the founder of the present vastly expanded business.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PRON VERB DET NUM PUNCT NOUN DET ADV ADJ NOUN NOUN VERB ADV VERB PART VERB DET NOUN ADP DET ADJ ADV VERB NOUN
Sticky tape and live wires	0 0 0 1 1	live wire	literal	inflection	ADJ NOUN CCONJ ADJ NOUN
The whole machine was acting like a live electric wire.	0 0 0 0 0 0 0 1 0 1	live wire	literal	insertion-other	DET ADJ NOUN VERB VERB ADP DET ADJ ADJ NOUN
This senses the current flowing in the live and neutral wires and cuts off the electricity if there is a fault anywhere in the circuit.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	literal	combined-inflection	DET VERB DET NOUN VERB ADP DET ADJ CCONJ ADJ NOUN CCONJ VERB PART DET NOUN ADP ADV VERB DET NOUN ADV ADP DET NOUN
‘ He is very much a live wire, and he has great courage,’ said David Tweedie, the ASB's chairman, who was chairman of the APC when Mr Brindle was deputy chairman.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PUNCT PRON VERB ADV ADV DET ADJ NOUN CCONJ PRON VERB ADJ NOUN VERB PROPN PROPN DET PROPN NOUN NOUN VERB NOUN ADP DET PROPN ADV PROPN PROPN VERB NOUN NOUN
A sports writer who might previously have written ‘ a live wire mid field man’(one who shows much sports man ship, presumably ) actually took the trouble to put ‘ livewire midfieldman’.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	DET NOUN NOUN NOUN VERB ADV VERB VERB PRON DET ADJ NOUN ADJ NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN ADV PUNCT ADV VERB DET NOUN PART VERB PUNCT ADJ ADJ
I, things keep going through my head every time my head's like it got this little what do you call it in, one of those erm like a live wire, just keeps going up and down and all the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PRON NOUN VERB VERB ADP ADJ NOUN DET NOUN ADJ NOUN ADP PRON VERB DET ADJ NOUN VERB PRON VERB PRON PART NUM ADP DET NOUN ADP DET ADJ NOUN ADV VERB VERB ADV CCONJ ADV CCONJ ADJ DET NOUN
Claudia jumped up and put her hand on his, snatching it away as her nerves reacted as if she had touched a live wire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	live wire	literal	identical	NOUN VERB PART CCONJ VERB ADJ NOUN ADP ADJ VERB PRON ADV ADP ADJ NOUN VERB ADP ADP PRON VERB VERB DET ADJ NOUN
Kite and team identity must be relayed to the spectators with live - wire intensity.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	live wire	figurative	dashes	VERB CCONJ NOUN NOUN VERB VERB VERB ADP DET NOUN ADP ADJ PUNCT NOUN NOUN
A nervy man in an electric - blue Anzio suit, his body a twitching live - wire but poorly earthed to the keyboard of his computer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	live wire	figurative	dashes	DET ADJ NOUN ADP DET ADJ PUNCT ADJ PROPN NOUN ADJ NOUN DET VERB ADJ PUNCT NOUN CCONJ ADV VERB ADP DET NOUN ADP ADJ NOUN
REMEMBER — Live electrical wires can kill.	0 0 1 0 1 0 0	live wire	literal	combined-inflection	VERB PUNCT VERB ADJ NOUN VERB VERB
Abingdon got off to the best possible start when the live wire, Liam Herbert latched on to a ball in the penalty area, only to be brought down by Egham keeper, Paul Allis in the second minute.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PROPN VERB PART ADP DET ADJ ADJ NOUN ADV DET ADJ NOUN PROPN PROPN VERB PART ADP DET NOUN ADP DET NOUN NOUN ADV PART VERB VERB PART ADP PROPN NOUN PROPN PROPN ADP DET ADJ NOUN
Trading standards officers say the hot brush styler, made in the Far East has faulty insulation which has exposed live wires.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	live wire	literal	inflection	NOUN NOUN NOUN VERB DET ADJ NOUN NOUN VERB ADP DET PROPN PROPN VERB ADJ NOUN ADJ VERB VERB ADJ NOUN
‘ Look at this fruit cake,’ said Pickerage, the live wire of the boarding annexe.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	live wire	figurative	identical	PUNCT VERB ADP DET NOUN NOUN VERB NOUN DET ADJ NOUN ADP DET VERB ADV
If you fit each piece of electrical gardening equipment with one of the Powerbreaker plugs it will trip as soon as any slight change in current is detected between the live and neutral wires of the cable.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	live wire	literal	combined-inflection	ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN ADP NUM ADP DET PROPN VERB PRON VERB VERB ADV ADV ADP DET ADJ NOUN ADP NOUN VERB VERB ADP DET ADJ CCONJ ADJ NOUN ADP DET NOUN
