ZIMBABWE, according to the former Prime Minister of Rhodesia, Ian Smith, is ‘ going to the dogs’.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go to the dogs	figurative	combined-inflection	PROPN VERB ADP DET ADJ PROPN PROPN ADP PROPN PROPN PROPN VERB PRON VERB ADP DET PROPN
' Going to the dogs, if you ask me. '	0 1 1 0 1 0 0 0 0 0	go to the dogs	figurative	combined-inflection	PUNCT VERB ADP DET NOUN ADP PRON VERB PRON PUNCT
I was going to the dogs. ‘	0 0 1 1 0 1 0	go to the dogs	figurative	inflection	PRON VERB VERB ADP DET NOUN PUNCT
But things really are going to the dogs.’	0 0 0 0 1 1 0 1	go to the dogs	figurative	combined-inflection	CCONJ NOUN ADV VERB VERB ADP DET NOUN
Gone to the dogs	1 1 0 1	go to the dogs	figurative	combined-inflection	VERB ADP DET NOUN
And finally tonight, if you 're going to the dogs at Armadale, Eubank runs in the fifth and Madonna goes in the tenth.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go to the dogs	figurative	inflection	CCONJ ADV NOUN ADP PRON VERB VERB ADP DET NOUN ADP PROPN PROPN VERB ADP DET ADJ CCONJ PROPN VERB ADP DET NOUN
Dog squadron instructor Keith Waugh was born to be in the RAF and, after 11 satisfying years, he's happy to say his family's links with the force have gone to the dogs	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	go to the dogs	figurative	inflection	PROPN NOUN NOUN PROPN PROPN VERB VERB PART VERB ADP DET PROPN CCONJ ADP NUM ADJ NOUN PRON ADJ PART VERB ADJ NOUN NOUN ADP DET NOUN VERB VERB ADP DET NOUN
The pessimistic thing was, the Hobbesians always looked back to the past, some golden age of order in the past, you know, when, when people knew what to do and er, and er, things were right as it were, and th they tend to want to restore some ideal state of order and authority that existed in the past, which was much better than now, because civilization has gone to the dogs, and been corrupted and so on.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	go to the dogs	figurative	inflection	DET ADJ NOUN VERB DET PROPN ADV VERB ADV ADP DET NOUN DET ADJ NOUN ADP NOUN ADP DET NOUN PRON VERB ADV ADV NOUN VERB NOUN PART VERB CCONJ INTJ CCONJ INTJ NOUN VERB ADJ ADP PRON VERB CCONJ X PRON VERB PART VERB PART VERB DET ADJ NOUN ADP NOUN CCONJ NOUN ADJ VERB ADP DET NOUN ADJ VERB ADV ADJ ADP ADV ADP NOUN VERB VERB ADP DET NOUN CCONJ VERB VERB CCONJ ADV ADV
Country's going to the dogs — men out of work everywhere — there's no money about ….	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	go to the dogs	figurative	inflection	NOUN VERB ADP DET NOUN PUNCT NOUN ADP ADP NOUN ADV PUNCT ADV DET NOUN ADV PUNCT
When master - manufacturers talked of the danger of communism which lurked behind any limitation of the absolute right of employers to hire and fire at will, they meant not social revolution but merely that the right of property and the right of domination were indistinguishable, and a bourgeois society must go to the dogs once interference with property rights was permitted.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	go to the dogs	figurative	identical	ADV NOUN PUNCT NOUN VERB ADP DET NOUN ADP NOUN ADJ VERB ADP DET NOUN ADP DET ADJ NOUN ADP NOUN PART VERB CCONJ NOUN ADP NOUN PRON VERB ADV ADJ NOUN CCONJ ADV ADP DET NOUN ADP NOUN CCONJ DET NOUN ADP NOUN VERB ADJ CCONJ DET ADJ NOUN VERB VERB ADP DET NOUN ADV NOUN ADP NOUN NOUN VERB VERB
Christmas has definitely gone to the dogs — at least in novelist Jilly Cooper's latest bedroom scene.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	go to the dogs	figurative	inflection	PROPN VERB ADV VERB ADP DET NOUN PUNCT ADP ADJ ADP NOUN PROPN PROPN ADJ NOUN NOUN
