grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN
Yet in the 1960S some members of the credit industry had feared it would grind to a halt unless they could threaten promise - breakers with prison.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	CCONJ ADP DET PROPN DET NOUN ADP DET NOUN NOUN VERB VERB PRON VERB VERB ADP DET NOUN ADP PRON VERB VERB NOUN PUNCT NOUN ADP NOUN
It has been suggested that were these children withdrawn from the 10,000 tiny workshops in the city, production would grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	PRON VERB VERB VERB ADP VERB DET NOUN VERB ADP DET NUM ADJ NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN
In the Soviet Union the party and government bureaucracies issued a mass of rules and regulations — so many, in fact, that sometimes ways had to be found to circumvent them so that the system would not grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP DET PROPN PROPN DET NOUN CCONJ NOUN NOUN VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT ADV ADJ ADP NOUN ADP ADV NOUN VERB PART VERB VERB PART VERB PRON ADP ADP DET NOUN VERB ADV VERB ADP DET NOUN
It is an interesting thought that Aldrich's sales of laboratory equipment could grind to a halt as the UK's cash - starved scientists descend on their nearest Woolworth's looking for their highly desirable Tupperware apparatus!	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	PRON VERB DET ADJ NOUN ADP PROPN NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN ADP DET PROPN NOUN PUNCT VERB NOUN VERB ADP ADJ ADJ NOUN VERB ADP ADJ ADV ADJ PROPN NOUN
He says if trains stopped like that, the whole network would grind to a halt :	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	grind to a halt	figurative	identical	PRON VERB ADP NOUN VERB ADP DET DET ADJ NOUN VERB VERB ADP DET NOUN PUNCT
If it couldn't, evolution would grind to a halt.	0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PRON VERB NOUN VERB VERB ADP DET NOUN
Instead of finding sudden problems you might find that progress slowly grinds to a halt.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV ADP VERB ADJ NOUN PRON VERB VERB DET NOUN ADV VERB ADP DET NOUN
industrial machinery — indeed anything that includes hardened steel — would grind to a halt if trade in chromium stopped.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	identical	ADJ NOUN PUNCT ADV NOUN ADJ VERB VERB NOUN PUNCT VERB VERB ADP DET NOUN ADP NOUN ADP NOUN VERB
Individual greed dominates Thatcher's ideology, but there are signs that her crusade is gradually grinding to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADJ NOUN VERB PROPN NOUN CCONJ ADV VERB NOUN ADP ADJ NOUN VERB ADV VERB ADP DET NOUN
He went on pressing it until the starter engine ground to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PRON VERB PART VERB PRON ADP DET ADJ NOUN NOUN ADP DET NOUN
The first meeting of the SNC convened in the disused Cambodian embassy in Bangkok on mid - September, but after two days the talks had ground to a halt, with disagreements over the appointment of a Chair.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	DET ADJ NOUN ADP DET PROPN VERB ADP DET ADJ ADJ NOUN ADP PROPN ADP ADJ PUNCT PROPN CCONJ ADP NUM NOUN DET NOUN VERB VERB ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET PROPN
Recruitment adversiding advertising for example virtually ground to a halt as businesses started to shed er, people, rather than to look for them.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	inflection	NOUN VERB NOUN ADP NOUN ADV NOUN ADP DET NOUN ADP NOUN VERB PART VERB INTJ NOUN ADV ADP PART VERB ADP PRON
