' For Christ's sake — because I believe Tweed is innocent, that he's been framed up to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PUNCT ADP PROPN NOUN PUNCT ADP PRON VERB NOUN VERB ADJ ADP PRON VERB VERB ADP ADP DET NOUN
But Barnsley worked very hard, right to the hilt, and they held on.’	0 0 0 0 0 0 1 0 1 0 0 0 0	to the hilt	figurative	identical	CCONJ PROPN VERB ADV ADV ADJ ADP DET NOUN CCONJ PRON VERB NOUN
The locals thought she was a stuck - up bitch from Belfast, which she played up to the hilt, and the other guests — foreigners, mostly Dutch and Germans by their collar sizes — were taken by her vivacity, and the calm indulgence of the quiet, handsome man opposite her, who said little, smiled a lot, and ordered a second full fried breakfast in a way that had the waitress fit to melt into his arms.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	DET NOUN VERB PRON VERB DET VERB PUNCT PART NOUN ADP PROPN ADJ PRON VERB PART ADP DET NOUN CCONJ DET ADJ NOUN PUNCT NOUN ADV PROPN CCONJ PROPN ADP ADJ NOUN NOUN PUNCT VERB VERB ADP ADJ NOUN CCONJ DET ADJ NOUN ADP DET ADJ ADJ NOUN ADP PRON NOUN VERB ADJ VERB DET NOUN CCONJ VERB DET ADJ ADJ VERB NOUN ADP DET NOUN ADJ VERB DET ADJ NOUN PART VERB ADP ADJ NOUN
' The estate was mortgaged up to the hilt in the thirties when farming wasn't paying.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	to the hilt	figurative	identical	PUNCT DET NOUN VERB VERB PART ADP DET NOUN ADP DET NOUN ADV NOUN VERB VERB
The appliance manufacturers, the frozen food kings, the canners and food merchants exploited to the hilt the female desire to get out of the kitchen just as quickly as possible.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	DET NOUN NOUN DET ADJ NOUN NOUN DET NOUN CCONJ NOUN NOUN VERB ADP DET NOUN DET ADJ NOUN PART VERB ADP ADP DET NOUN ADV ADV ADV ADP ADJ
I take up points of view I don't actually support strongly and start defending them to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PRON VERB PART NOUN ADP NOUN PRON VERB ADV VERB ADV CCONJ VERB VERB PRON ADP DET NOUN
Kylie will never forget the major role PWL played in changing her life, making a millionairess out of a minor TV star, and is prepared to defend them to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	PROPN VERB ADV VERB DET ADJ NOUN PROPN VERB ADP VERB ADJ NOUN VERB DET NOUN ADP ADP DET ADJ NOUN NOUN CCONJ VERB ADJ PART VERB PRON ADP DET NOUN
EBBERSTON HALL is Palladian to the hilt and also much bigger than it looks.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	to the hilt	figurative	identical	PROPN PROPN VERB ADJ ADP DET NOUN CCONJ ADV ADV ADJ ADP PRON VERB
Personally, I 'd love to see us support it to the hilt, because I believe that, you know, the community theatre, above all else in Ottery, really does give it a good name.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	ADV PRON VERB VERB PART VERB PRON VERB PRON ADP DET NOUN ADP PRON VERB ADP PRON VERB DET NOUN NOUN ADP DET ADV ADP PROPN ADV VERB VERB PRON DET ADJ NOUN
But we believe that company car drivers should be able to enjoy the finer things in life without being taxed to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	CCONJ PRON VERB ADP NOUN NOUN NOUN VERB VERB ADJ PART VERB DET ADJ NOUN ADP NOUN ADP VERB VERB ADP DET NOUN
Sipotai's hand went to the hilt of his sword, then withdrew again.	0 0 0 1 0 1 0 0 0 0 0 0	to the hilt	literal	identical	PROPN NOUN VERB ADP DET NOUN ADP ADJ NOUN ADV VERB ADV
Not that she agreed with him — if he were to appear before her right now, she 'd still defend what she did and the way she did it to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	ADV ADP PRON VERB ADP PRON PUNCT ADP PRON VERB PART VERB ADP PRON ADV ADV PRON VERB ADV VERB NOUN PRON VERB CCONJ DET NOUN PRON VERB PRON ADP DET NOUN
The imagery is fuelled by designers, who have exercised to the hilt their fantasies of women dressed as men.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	to the hilt	figurative	identical	DET NOUN VERB VERB ADP NOUN NOUN VERB VERB ADP DET NOUN ADJ NOUN ADP NOUN VERB ADP NOUN
They watched patiently until she had impaled herself to the hilt on the huge dildo, and then they left.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	to the hilt	figurative	identical	PRON VERB ADV ADP PRON VERB VERB PRON ADP DET NOUN ADP DET ADJ NOUN CCONJ ADV PRON VERB
But last week the Conservative candidate in Belfast's Victoria Ward Jim McCormick — who polled 684 first preference votes — backed our story to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	CCONJ ADJ NOUN DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PUNCT NOUN VERB NUM ADJ NOUN NOUN PUNCT VERB ADJ NOUN ADP DET NOUN
An impatient, callous thrust which ended in her impalement to the hilt.	0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	DET ADJ ADJ NOUN ADJ VERB ADP ADJ NOUN ADP DET NOUN
But no one gets up after death — there is no applause — there is only silence and some second - hand clothes, and that's — death —(And he pushes the blade in up to the hilt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	to the hilt	figurative	identical	CCONJ DET NOUN VERB PART ADP NOUN PUNCT ADV VERB DET NOUN PUNCT ADV VERB ADV NOUN CCONJ DET ADJ PUNCT NOUN NOUN CCONJ DET PUNCT NOUN NOUN PRON VERB DET NOUN ADP ADP ADP DET NOUN
‘ Up to the hilt, Tel.	0 0 1 0 1 0	to the hilt	figurative	identical	PUNCT ADP ADP DET NOUN PROPN
