Well he hasn't got any money, but when he's had it he's paid on the dot the only one	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the dot	figurative	identical	INTJ PRON VERB VERB DET NOUN CCONJ ADV PRON VERB PRON PRON VERB ADP DET NOUN DET ADJ NUM
Eight o'clock, on the dot.’	0 0 1 0 1	on the dot	figurative	dashes	NUM NOUN ADP DET NOUN
We had roast meat once a week on Sundays, served at noon on the dot, usually their own home - killed sheep or pork.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	PRON VERB NOUN NOUN ADV DET NOUN ADP PROPN VERB ADP NOUN ADP DET NOUN ADV ADJ ADJ NOUN PUNCT VERB NOUN CCONJ NOUN
I was to be at the harbour at 8 a.m. on the dot.	0 0 0 0 0 0 0 0 0 0 1 0 1	on the dot	figurative	identical	PRON VERB PART VERB ADP DET NOUN ADP NUM NOUN ADP DET NOUN
‘ 7.10 am on the dot and my husband will give you a lift to Torridon,’ the woman in the council house opposite the hotel had said.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	VERB NUM NOUN ADP DET NOUN CCONJ ADJ NOUN VERB VERB PRON DET NOUN ADP PROPN DET NOUN ADP DET NOUN NOUN ADP DET NOUN VERB VERB
‘ Lunch at one fifteen on the dot.	0 0 0 0 0 1 0 1	on the dot	figurative	identical	PUNCT PROPN ADP NUM NUM ADP DET NOUN
Matthew arrived on the dot of seven.	0 0 1 0 1 0 0	on the dot	figurative	identical	PROPN VERB ADP DET NOUN ADP NUM
In the following account, localities for vegetation types have been given where these are present on the dot maps of the NVC.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the dot	literal	identical	ADP DET VERB NOUN NOUN ADP NOUN NOUN VERB VERB VERB ADV DET VERB ADJ ADP DET NOUN NOUN ADP DET PROPN
‘ Please tell him I 'll ring him on the dot of twelve,’ she told the secretary.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the dot	figurative	identical	PUNCT INTJ VERB PRON PRON VERB VERB PRON ADP DET NOUN ADP ADJ PRON VERB DET NOUN
Gillian Shephard, the queen of the moment, arrived on the dot of 4 pm looking happy.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the dot	figurative	identical	PROPN PROPN DET NOUN ADP DET NOUN VERB ADP DET NOUN ADP NUM NOUN VERB ADJ
But the taxi had showed up on the dot, and she had stepped in, resolutely refusing to look back for one last glance at the house.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the dot	figurative	identical	CCONJ DET NOUN VERB VERB PART ADP DET NOUN CCONJ PRON VERB VERB ADV ADV VERB PART VERB ADV ADP NUM ADJ NOUN ADP DET NOUN
