Stencil a border round the ceiling, around the door and windows, and above the skirting boards.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	above board	literal	combined-inflection	NOUN DET NOUN ADP DET NOUN ADP DET NOUN CCONJ NOUN CCONJ ADP DET NOUN NOUN
As I see it, it's up to Peggy, and knowing her I can't see that she 'd let anything happen that wasn't above board.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	dashes	ADP PRON VERB PRON PRON ADP ADP PROPN CCONJ VERB PRON PRON VERB VERB ADP PRON VERB VERB NOUN VERB ADJ VERB ADP NOUN
Mr Delors insists that it is up to the pontifical authorities to check that everything is above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	PROPN PROPN VERB ADP PRON VERB ADP ADP DET ADJ NOUN PART VERB ADP NOUN VERB ADP NOUN
And it's imperative that you play it all above board.	0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	CCONJ PRON ADJ ADP PRON VERB PRON DET ADP NOUN
There would be no reason for Mohammed's existence if every minister and ministry were above board : arms dealers are used either because deals are shady — circumventing arms embargoes for example— or to allow government officials a healthy ( illegal ) cut.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	ADV VERB VERB DET NOUN ADP PROPN NOUN ADP DET NOUN CCONJ NOUN VERB ADP NOUN PUNCT NOUN NOUN VERB VERB CCONJ ADP NOUN VERB ADJ PUNCT VERB NOUN NOUN ADP X CCONJ PART VERB NOUN NOUN DET ADJ PUNCT ADJ PUNCT NOUN
It's all above board.’	0 0 1 1	above board	figurative	dashes	PRON DET ADP NOUN
It's all above board, Rosie.	0 0 1 1 0	above board	figurative	identical	PRON DET ADP NOUN PROPN
Everything is above board except the strategy.	0 0 1 1 0 0 0	above board	figurative	identical	NOUN VERB ADP NOUN ADP DET NOUN
Everything was very legitimate and above board, but we had very specific requirements of what we wanted this representation to be, because it is life size.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	above board	figurative	identical	NOUN VERB ADV ADJ CCONJ ADP NOUN CCONJ PRON VERB ADV ADJ NOUN ADP NOUN PRON VERB DET NOUN PART VERB ADP PRON VERB NOUN NOUN
Having said that, everything was done above board.	0 0 0 0 0 0 1 1	above board	figurative	identical	VERB VERB ADP NOUN VERB VERB ADP NOUN
I know he has a reputation for toughness that could match Martin's any day, but the difference is that everything he does is legal and above board.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	above board	figurative	identical	PRON VERB PRON VERB DET NOUN ADP NOUN ADJ VERB VERB PROPN DET NOUN CCONJ DET NOUN VERB ADP NOUN PRON VERB VERB ADJ CCONJ ADP NOUN
