Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN
Although this former psychiatric ward sister can appear world weary, cynicism dropping from every pore, there is a tongue in cheek panache that produces a double reaction as the barbs strike home ; the ‘ oof’ gut jerk followed immediately in some cases by a form of enlightenment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ ADJ NOUN NOUN VERB VERB NOUN ADJ NOUN VERB ADP DET NOUN ADV VERB DET NOUN ADP NOUN NOUN ADJ VERB DET ADJ NOUN ADP DET NOUN VERB ADV PUNCT DET ADJ NOUN NOUN NOUN VERB ADV ADP DET NOUN ADP DET NOUN ADP NOUN
For a second or two he said nothing further, then, apparently going along with her unspoken wish to change the subject, he asked, tongue in cheek, ‘ And what did you think of our transport?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	ADP DET ADJ CCONJ NUM PRON VERB NOUN ADV ADV ADV VERB PART ADP ADJ ADJ NOUN PART VERB DET NOUN PRON VERB NOUN ADP NOUN PUNCT CCONJ NOUN VERB PRON VERB ADP ADJ NOUN
She was mature enough to accept an olive branch, even if it was being handed out tongue in cheek.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	identical	PRON VERB ADJ ADV PART VERB DET NOUN NOUN ADV ADP PRON VERB VERB VERB PART NOUN ADP NOUN
Corbett loved the brilliant logic delivered so tongue - in - cheek that only those who wished to take offence would be affronted.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN VERB DET ADJ NOUN VERB ADV NOUN PUNCT ADP PUNCT NOUN ADP ADV DET NOUN VERB PART VERB NOUN VERB VERB VERB
Could I make a constructive suggestion in this context of board salaries or remunerations or compensation packages or bonuses I 'm saying that in a slightly tongue in cheek way because I believe that the majority of shareholders don't understand the differences between these concepts, as you gentlemen evidently do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	VERB PRON VERB DET ADJ NOUN ADP DET NOUN ADP NOUN NOUN CCONJ NOUN CCONJ NOUN NOUN CCONJ NOUN PRON VERB VERB ADP ADP DET ADJ NOUN ADP NOUN NOUN ADP PRON VERB ADP DET NOUN ADP NOUN VERB VERB DET NOUN ADP DET NOUN ADP PRON NOUN ADV VERB
They 're they 're tongue in cheek going across the recreation ground, thinking that we 're going to pounce on them because they 're not allowed in there.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PRON VERB PRON VERB NOUN ADP NOUN VERB ADP DET NOUN NOUN VERB ADP PRON VERB VERB PART VERB ADP PRON ADP PRON VERB ADV VERB ADV ADV
The magazine Field and Stream published this delightfully tongue - in - cheek review which says all that needs to be said about innocence and incorruptibility :	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN PROPN CCONJ PROPN VERB DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADJ VERB DET ADJ VERB PART VERB VERB ADP NOUN CCONJ NOUN PUNCT
The show is a crazy tongue - in - cheek cocktail of Rocky Horror Show meets St. Trinian's, where a group of school - girls decide to stage Herman Melville's classic ' Moby Dick '.	0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET NOUN VERB DET ADJ NOUN PUNCT ADP PUNCT NOUN NOUN ADP PROPN PROPN PROPN VERB PROPN PROPN ADV DET NOUN ADP NOUN PUNCT NOUN VERB PART VERB PROPN PROPN ADJ PUNCT PROPN PROPN PUNCT
I swear there's a universal female conspiracy against men! ' he complained, tongue - in - cheek, and led her away.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB ADV DET ADJ ADJ NOUN ADP NOUN PUNCT PRON VERB NOUN PUNCT ADP PUNCT NOUN CCONJ VERB PRON ADV
The speculation follows a mildly tongue in cheek piece by Bill Brooker in the journal of the Scottish Mountaineering Club — the august guardians of Munro's Tables.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	DET NOUN VERB DET ADV NOUN ADP NOUN NOUN ADP PROPN PROPN ADP DET NOUN ADP DET PROPN PROPN PROPN PUNCT DET ADJ NOUN ADP PROPN NOUN
