Those who drop the ball return to number one and those below that number move up one place.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	drop the ball	literal	identical	DET NOUN VERB DET NOUN NOUN ADP NOUN NUM CCONJ DET ADP DET NOUN VERB ADV NUM NOUN
‘ Well, see, in the mid and late ' 70s I think the music industry dropped the ball, and I think that's why there was rarely a good band in the ' 80s.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop the ball	figurative	inflection	PUNCT INTJ VERB ADP DET ADJ CCONJ ADJ PUNCT NOUN PRON VERB DET NOUN NOUN VERB DET NOUN CCONJ PRON VERB DET ADV ADV VERB ADV DET ADJ NOUN ADP DET PUNCT NOUN
Harley would, in this case, have been allowed to drop his ball two clubs ' lengths away from the fence, and would therefore have been able to get a full swing at the ball.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop the ball	literal	determiner-broad	PROPN VERB ADP DET NOUN VERB VERB VERB PART VERB ADJ NOUN NUM NOUN PART NOUN ADV ADP DET NOUN CCONJ VERB ADV VERB VERB ADJ PART VERB DET ADJ NOUN ADP DET NOUN
Faldo dropped a new ball on the other side of the bank and then knocked that one — into more water.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	drop the ball	literal	combined-inflection	PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ ADV VERB DET NUM PUNCT ADP ADJ NOUN
Parore dropped Lewis first ball, and again before stumps.	0 1 0 0 1 0 0 0 0	drop the ball	literal	combined-inflection	PROPN VERB PROPN ADJ NOUN CCONJ ADV ADP NOUN
A dog, which is large and gray, is dropping a ball from its mouth and stopping in the grass	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	drop the ball	literal	combined-inflection	DET NOUN ADJ VERB ADJ CCONJ ADJ VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB ADP DET NOUN
He hit the flag on one occasion and then dropped the ball when he went over later on.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	drop the ball	literal	inflection	PRON VERB DET NOUN ADP NUM NOUN CCONJ ADV VERB DET NOUN ADV PRON VERB PART ADV ADV
Litchfield, who had kept Scunthorpe in the competition by saving a late penalty in the game at Glanford Park, almost gave this one away in the opening minutes when he dropped the ball at the feet of Ronnie Futcher.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	drop the ball	literal	inflection	PROPN NOUN VERB VERB PROPN ADP DET NOUN ADP VERB DET ADJ NOUN ADP DET NOUN ADP PROPN PROPN ADV VERB DET NOUN ADV ADP DET NOUN NOUN ADV PRON VERB DET NOUN ADP DET NOUN ADP PROPN PROPN
The third option is to drop the penalty of one stroke, as far back as you wish, keeping the ball's entry into the hazard ( marked B ) between the spot on which the ball is dropped and the hole.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	drop the ball	literal	misc	DET ADJ NOUN VERB PART VERB DET NOUN ADP NUM NOUN ADV ADV ADV ADP PRON VERB VERB DET NOUN NOUN ADP DET NOUN PUNCT VERB PROPN PUNCT ADP DET NOUN ADP ADJ DET NOUN VERB VERB CCONJ DET NOUN
He began to juggle, making it look as if he was just on the verge of dropping the balls each time he caught them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	drop the ball	literal	inflection	PRON VERB PART VERB VERB PRON VERB ADP ADP PRON VERB ADV ADP DET NOUN ADP VERB DET NOUN DET NOUN PRON VERB PRON
A lateral water hazard is defined as such when the Committee considers it is impracticable to drop a ball behind the hazard as Rule 26–1b states.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	drop the ball	literal	determiner-narrow	DET ADJ NOUN NOUN VERB VERB ADP ADJ ADV DET PROPN VERB PRON VERB ADJ PART VERB DET NOUN ADP DET NOUN ADP NOUN NUM NOUN
