So as I can take her for a ride and back.	0 0 0 0 1 1 1 0 1 0 0	take someone for a ride	literal	objective	ADV ADP PRON VERB VERB PRON ADP DET NOUN CCONJ ADV	▁So ▁as ▁I ▁can ▁take ▁her ▁for ▁a ▁rid e ▁and ▁back .	0 0 0 0 1 1 1 0 1 1 0 0 0	ADV ADP PRON VERB VERB PRON ADP DET NOUN NOUN CCONJ ADV ADV
They took the baby for rides in the pram, to the shops, and up to the tiny park with its three or four flowerbeds and margin of trees.	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	literal	combined-inflection	PRON VERB DET NOUN ADP NOUN ADP DET NOUN ADP DET NOUN CCONJ ADP ADP DET ADJ NOUN ADP ADJ NUM CCONJ NUM NOUN CCONJ NOUN ADP NOUN	▁They ▁took ▁the ▁baby ▁for ▁rid es ▁in ▁the ▁p ram , ▁to ▁the ▁shops , ▁and ▁up ▁to ▁the ▁tiny ▁park ▁with ▁its ▁three ▁or ▁four ▁flower bed s ▁and ▁margin ▁of ▁trees .	0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP NOUN NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN CCONJ ADP ADP DET ADJ NOUN ADP ADJ NUM CCONJ NUM NOUN NOUN NOUN CCONJ NOUN ADP NOUN NOUN
Go on, push yourself up on the handles and let the trolley take you for a ride, just like a child!	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0	take someone for a ride	literal	objective	VERB PART VERB PRON PART ADP DET NOUN CCONJ VERB DET NOUN VERB PRON ADP DET NOUN ADV ADP DET NOUN	▁Go ▁on , ▁push ▁yourself ▁up ▁on ▁the ▁handles ▁and ▁let ▁the ▁trolley ▁take ▁you ▁for ▁a ▁rid e , ▁just ▁like ▁a ▁child !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0	VERB PART PART VERB PRON PART ADP DET NOUN CCONJ VERB DET NOUN VERB PRON ADP DET NOUN NOUN NOUN ADV ADP DET NOUN NOUN
That — arrogant brute had implied that her mother had taken his family for a ride financially, yet, according to Ruth Russell, Isabelle had been pregnant and penniless, reduced to working as a mother's help when Hugh met her.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET PUNCT ADJ NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN ADV ADV VERB ADP PROPN PROPN PROPN VERB VERB ADJ CCONJ ADJ VERB ADP VERB ADP DET NOUN NOUN ADV PROPN VERB PRON	▁That ▁ — ▁ar rog ant ▁br ute ▁had ▁implied ▁that ▁her ▁mother ▁had ▁taken ▁his ▁family ▁for ▁a ▁rid e ▁financially , ▁yet , ▁according ▁to ▁Ru th ▁R usse ll , ▁Is ab elle ▁had ▁been ▁pregnant ▁and ▁pen ni less , ▁reduced ▁to ▁working ▁as ▁a ▁mother ' s ▁help ▁when ▁Hugh ▁met ▁her .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PUNCT PUNCT ADJ ADJ ADJ NOUN NOUN VERB VERB ADP ADJ NOUN VERB VERB ADJ NOUN ADP DET NOUN NOUN ADV ADV ADV ADV VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADJ CCONJ ADJ ADJ ADJ ADJ VERB ADP VERB ADP DET NOUN NOUN NOUN NOUN ADV PROPN VERB PRON PRON
They claim they 've been taken for a ride.	0 0 1 0 0 1 1 0 1	take someone for a ride	figurative	combined-inflection	PRON VERB PRON VERB VERB VERB ADP DET NOUN	▁They ▁claim ▁they ▁' ve ▁been ▁taken ▁for ▁a ▁rid e .	0 0 1 0 0 0 1 1 0 1 1 1	PRON VERB PRON VERB VERB VERB VERB ADP DET NOUN NOUN NOUN
There's got ta be someone out there though, that 'll take him for a ride!	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	take someone for a ride	figurative	objective	ADV VERB PART VERB NOUN ADV ADV ADV DET VERB VERB PRON ADP DET NOUN	▁There ' s ▁got ▁ta ▁be ▁someone ▁out ▁there ▁though , ▁that ▁' ll ▁take ▁him ▁for ▁a ▁rid e !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1	ADV ADV ADV VERB PART VERB NOUN ADV ADV ADV ADV DET VERB VERB VERB PRON ADP DET NOUN NOUN NOUN
The drinking public was now aware they were being taken for a ride by the brewing barons.	0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET NOUN NOUN VERB ADV ADJ PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN	▁The ▁drinking ▁public ▁was ▁now ▁aware ▁they ▁were ▁being ▁taken ▁for ▁a ▁rid e ▁by ▁the ▁b rew ing ▁bar ons .	0 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADV ADJ PRON VERB VERB VERB ADP DET NOUN NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN
The woman was taking him for a ride, working on him to get what she wanted, and that included Lissa's destruction.	0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	DET NOUN VERB VERB PRON ADP DET NOUN VERB ADP PRON PART VERB NOUN PRON VERB CCONJ ADJ VERB PROPN NOUN	▁The ▁woman ▁was ▁taking ▁him ▁for ▁a ▁rid e , ▁working ▁on ▁him ▁to ▁get ▁what ▁she ▁wanted , ▁and ▁that ▁included ▁L issa ' s ▁destruction .	0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB PRON ADP DET NOUN NOUN NOUN VERB ADP PRON PART VERB NOUN PRON VERB VERB CCONJ ADJ VERB PROPN PROPN PROPN PROPN NOUN NOUN
' It's not a pleasant feeling to find out you 've been taken for a ride by someone you trusted. '	0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PUNCT PRON ADV DET ADJ NOUN PART VERB PART PRON VERB VERB VERB ADP DET NOUN ADP NOUN PRON VERB PUNCT	▁' ▁It ' s ▁not ▁a ▁pleasant ▁feeling ▁to ▁find ▁out ▁you ▁' ve ▁been ▁taken ▁for ▁a ▁rid e ▁by ▁someone ▁you ▁trust ed . ▁'	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0	PUNCT PRON PRON PRON ADV DET ADJ NOUN PART VERB PART PRON VERB VERB VERB VERB ADP DET NOUN NOUN ADP NOUN PRON VERB VERB VERB PUNCT
Oxford's bluff worked for some time, but when by late 1713 the Jacobites finally realised they had been taken for a ride, they began to look to Bolingbroke for support.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0	take someone for a ride	figurative	combined-inflection	PROPN NOUN VERB ADP DET NOUN CCONJ ADV ADP ADJ NUM DET PROPN ADV VERB PRON VERB VERB VERB ADP DET NOUN PRON VERB PART VERB ADP PROPN ADP NOUN	▁Oxford ' s ▁bl uff ▁worked ▁for ▁some ▁time , ▁but ▁when ▁by ▁late ▁17 13 ▁the ▁Jacob ites ▁finally ▁realised ▁they ▁had ▁been ▁taken ▁for ▁a ▁rid e , ▁they ▁began ▁to ▁look ▁to ▁Bo ling bro ke ▁for ▁support .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN NOUN VERB ADP DET NOUN NOUN CCONJ ADV ADP ADJ NUM NUM DET PROPN PROPN ADV VERB PRON VERB VERB VERB ADP DET NOUN NOUN NOUN PRON VERB PART VERB ADP PROPN PROPN PROPN PROPN ADP NOUN NOUN
That bloke probably took it for a ride he said.	0 0 0 1 1 1 0 1 0 0	take someone for a ride	literal	combined-inflection	DET VERB ADV VERB PRON ADP DET NOUN PRON VERB	▁That ▁b lo ke ▁probably ▁took ▁it ▁for ▁a ▁rid e ▁he ▁said .	0 0 0 0 0 1 1 1 0 1 1 0 0 0	DET VERB VERB VERB ADV VERB PRON ADP DET NOUN NOUN PRON VERB VERB
