‘ There you are, Mr Barnett : the life of Willy Morpurgo in a nutshell.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	PUNCT ADV PRON VERB PROPN PROPN PUNCT DET NOUN ADP PROPN PROPN ADP DET NOUN
' In a nutshell : Yes.	0 1 0 1 0 0	in a nutshell	figurative	case	PUNCT ADP DET NOUN PUNCT INTJ
And all of this, in a nutshell, is why I worry about our leaders.	0 0 0 0 1 0 1 0 0 0 0 0 0 0	in a nutshell	figurative	identical	CCONJ DET ADP DET ADP DET NOUN VERB ADV PRON VERB ADP ADJ NOUN
What's your own view in a nutshell the way forward to democracy?	0 0 0 0 1 0 1 0 0 0 0 0	in a nutshell	figurative	identical	NOUN ADJ ADJ NOUN ADP DET NOUN DET NOUN ADV ADP NOUN
In a nutshell, be sure of your requirements before choosing a printer.	1 0 1 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN VERB ADJ ADP ADJ NOUN ADP VERB DET NOUN
That is today ’s Europe in a nutshell, with America not far behind.	0 0 0 0 0 1 0 1 0 0 0 0 0	in a nutshell	figurative	identical	DET VERB NOUN PART PROPN ADP DET NOUN ADP PROPN ADV ADV ADV
The Fijian traditional communal system of livelihood has a tendency to restrict initiative for commercial expansion and development so that there is a need to modify commercial values to meet with the demands of modern commercialism, This, in a nutshell, is what the Yalavou project sets out 10 do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	DET ADJ ADJ ADJ NOUN ADP NOUN VERB DET NOUN PART VERB NOUN ADP ADJ NOUN CCONJ NOUN ADP ADP ADV VERB DET NOUN PART VERB ADJ NOUN PART VERB ADP DET NOUN ADP ADJ NOUN DET ADP DET NOUN VERB NOUN DET PROPN NOUN VERB PART NUM VERB
Thomas, Biggles's editor, puts the whole debate in a nutshell : ‘ On the one side there's the accusation of censorship, on the other the accusation of racism.’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	identical	PROPN PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN PUNCT PUNCT ADP DET NUM NOUN ADV DET NOUN ADP NOUN ADP DET ADJ DET NOUN ADP NOUN
In a nutshell : it is wasteful to spend too much money preventing waste.	1 0 1 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PUNCT PRON VERB ADJ PART VERB ADV ADJ NOUN VERB NOUN
So er just because it looks like seduction doesn't mean it's not abuse, I suppose that's what I 'm saying in the in the in a nutshell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in a nutshell	figurative	identical	ADV INTJ ADV ADP PRON VERB ADP NOUN VERB VERB PRON ADV NOUN PRON VERB DET NOUN PRON VERB VERB ADP DET ADP DET ADP DET NOUN
In a nutshell they wanted a dedicated, self - sufficient unit which would allow sufferers to be treated in the town rather than have them, and their families, shunted 30 miles up and down the A1 to Newcastle's RVI.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in a nutshell	figurative	case	ADP DET NOUN PRON VERB DET ADJ NOUN PUNCT ADJ NOUN ADJ VERB VERB NOUN PART VERB VERB ADP DET NOUN ADV ADP VERB PRON CCONJ ADJ NOUN VERB NUM NOUN ADV CCONJ ADP DET PROPN ADP PROPN PROPN
