‘ He looks the other way, then?’	0 0 1 0 1 1 0	look the other way	figurative	inflection	PUNCT PRON VERB DET ADJ NOUN NOUN	▁ ‘ ▁He ▁looks ▁the ▁other ▁way , ▁then ? ’	0 0 0 1 0 1 1 1 0 0 0	PUNCT PUNCT PRON VERB DET ADJ NOUN NOUN NOUN NOUN NOUN
Just look the other way?’	0 1 0 1 1	look the other way	figurative	dashes	ADV VERB DET ADJ NOUN	▁Just ▁look ▁the ▁other ▁way ? ’	0 1 0 1 1 1 1	ADV VERB DET ADJ NOUN NOUN NOUN
Most people around here would have just looked the other way.’	0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	combined-inflection	ADJ NOUN ADV ADV VERB VERB ADV VERB DET ADJ ADJ	▁Most ▁people ▁around ▁here ▁would ▁have ▁just ▁looked ▁the ▁other ▁way . ’	0 0 0 0 0 0 0 1 0 1 1 1 1	ADJ NOUN ADV ADV VERB VERB ADV VERB DET ADJ ADJ ADJ ADJ
City cops looked the other way, and the Cal State Angels loaned us hardware.	0 0 1 0 1 1 0 0 0 0 0 0 0 0	look the other way	figurative	inflection	NOUN NOUN VERB DET ADJ NOUN CCONJ DET PROPN PROPN PROPN VERB PRON NOUN	▁City ▁co ps ▁looked ▁the ▁other ▁way , ▁and ▁the ▁Cal ▁State ▁Angel s ▁loan ed ▁us ▁hardware .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB DET ADJ NOUN NOUN CCONJ DET PROPN PROPN PROPN PROPN VERB VERB PRON NOUN NOUN
She was looking the other way and didn't see me.’	0 0 1 0 1 1 0 0 0 0	look the other way	literal	inflection	PRON VERB VERB DET ADJ NOUN CCONJ VERB VERB NOUN	▁She ▁was ▁looking ▁the ▁other ▁way ▁and ▁did n ' t ▁see ▁me . ’	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET ADJ NOUN CCONJ VERB VERB VERB VERB VERB NOUN NOUN NOUN
He looked the other way, staring at TV aerials as if he was doing a project on them.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	look the other way	literal	inflection	PRON VERB DET ADJ NOUN VERB ADP NOUN NOUN ADP ADP PRON VERB VERB DET NOUN ADP PRON	▁He ▁looked ▁the ▁other ▁way , ▁star ing ▁at ▁TV ▁aerial s ▁as ▁if ▁he ▁was ▁doing ▁a ▁project ▁on ▁them .	0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN NOUN VERB VERB ADP NOUN NOUN NOUN ADP ADP PRON VERB VERB DET NOUN ADP PRON PRON
This was a different place with upside down rules and no justice and prison officers who take the nod from criminals and look the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	identical	DET VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ DET NOUN CCONJ NOUN NOUN NOUN VERB DET NOUN ADP NOUN CCONJ VERB DET ADJ NOUN	▁This ▁was ▁a ▁different ▁place ▁with ▁upside ▁down ▁rules ▁and ▁no ▁justice ▁and ▁prison ▁officers ▁who ▁take ▁the ▁no d ▁from ▁criminals ▁and ▁look ▁the ▁other ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ DET NOUN CCONJ NOUN NOUN NOUN VERB DET NOUN NOUN ADP NOUN CCONJ VERB DET ADJ NOUN NOUN
Turn a deaf ear, look the other way.	0 0 0 0 1 0 1 1	look the other way	figurative	identical	VERB DET ADJ NOUN VERB DET ADJ NOUN	▁Turn ▁a ▁deaf ▁ear , ▁look ▁the ▁other ▁way .	0 0 0 0 0 1 0 1 1 1	VERB DET ADJ NOUN NOUN VERB DET ADJ NOUN NOUN
Naturally the criminals also looked the other way, it was in their interest to.	0 0 0 0 1 0 1 1 0 0 0 0 0 0	look the other way	figurative	inflection	ADV DET NOUN ADV VERB DET ADJ NOUN PRON VERB ADP ADJ NOUN ADP	▁Naturally ▁the ▁criminals ▁also ▁looked ▁the ▁other ▁way , ▁it ▁was ▁in ▁their ▁interest ▁to .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	ADV DET NOUN ADV VERB DET ADJ NOUN NOUN PRON VERB ADP ADJ NOUN ADP ADP
Because she has not been caught either, or not so blatantly that one has had to stop pretending to look the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	identical	ADP PRON VERB ADV VERB VERB ADV CCONJ ADV ADV ADV ADP PRON VERB VERB PART VERB VERB PART VERB DET ADJ NOUN	▁Because ▁she ▁has ▁not ▁been ▁caught ▁either , ▁or ▁not ▁so ▁blatant ly ▁that ▁one ▁has ▁had ▁to ▁stop ▁pretend ing ▁to ▁look ▁the ▁other ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP PRON VERB ADV VERB VERB ADV ADV CCONJ ADV ADV ADV ADV ADP PRON VERB VERB PART VERB VERB VERB PART VERB DET ADJ NOUN NOUN
As the number of former South Vietnamese army majors and persecuted intellectuals drifted down to infinitesimal proportions and the number of economic migrants grew, the United States looked the other way.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	look the other way	figurative	inflection	ADP DET NOUN ADP ADJ ADJ ADJ NOUN NOUN CCONJ VERB NOUN VERB ADV ADP ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB DET PROPN PROPN VERB DET ADJ NOUN	▁As ▁the ▁number ▁of ▁former ▁South ▁Vietnam ese ▁army ▁major s ▁and ▁persecuted ▁intellectual s ▁drift ed ▁down ▁to ▁in finite si mal ▁proportions ▁and ▁the ▁number ▁of ▁economic ▁migrants ▁grew , ▁the ▁United ▁States ▁looked ▁the ▁other ▁way .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADP DET NOUN ADP ADJ ADJ ADJ ADJ NOUN NOUN NOUN CCONJ VERB NOUN NOUN VERB VERB ADV ADP ADJ ADJ ADJ ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN VERB VERB DET PROPN PROPN VERB DET ADJ NOUN NOUN
