‘ Oh — for about four years, on and off,’ he said vaguely.	0 0 0 0 0 0 0 1 1 1 0 0 0	on and off	figurative	dashes	PUNCT INTJ PUNCT ADP ADV NUM NOUN ADP CCONJ NOUN PRON VERB ADV
Gresham's School, Holt have made their contribution of players over the years and they are the current holders of the Henry Griserson trophy for the side which most impressed the XL Club by its performance on and off the field in 1991.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	on and off	literal	identical	PROPN PROPN PROPN VERB VERB ADJ NOUN ADP NOUN ADP DET NOUN CCONJ PRON VERB DET ADJ NOUN ADP DET PROPN PROPN NOUN ADP DET NOUN ADJ ADV VERB DET PROPN PROPN ADP ADJ NOUN ADP CCONJ ADP DET NOUN ADP NUM
The equipment can be switched on and off by two switches on the front of the unit, and a red light tells you the power is on.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET NOUN VERB VERB VERB PART CCONJ ADV ADP NUM NOUN ADP DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN VERB PRON DET NOUN VERB ADP
Now, about this little job —’ A siren sounded and the room lights began to flash on and off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on and off	literal	identical	ADV ADP DET ADJ NOUN PROPN DET NOUN VERB CCONJ DET NOUN NOUN VERB PART VERB ADP CCONJ ADV
Without doubt, at the moment, the quality most needed, both on and off the field, is innovation.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	on and off	literal	identical	ADP NOUN ADP DET NOUN DET NOUN ADV VERB CCONJ ADP CCONJ ADP DET NOUN VERB NOUN
I 've been smoking on and off like a chimney	0 0 0 0 1 1 1 0 0 0	on and off	figurative	identical	PRON VERB VERB VERB PART CCONJ ADV ADP DET NOUN
There are elaborate provisions for switching groups of appliances or lights on and off together.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	on and off	literal	identical	ADV VERB ADJ NOUN ADP VERB NOUN ADP NOUN CCONJ NOUN ADP CCONJ ADV ADV
She lived here on and off for three years.	0 0 0 1 1 1 0 0 0	on and off	figurative	identical	PRON VERB ADV ADV CCONJ ADV ADP NUM NOUN
The Essex - based company CSM says it will provide 20 new bikes for on and off road hire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	on and off	literal	identical	DET PROPN PUNCT VERB NOUN PROPN VERB PRON VERB VERB NUM ADJ NOUN ADP ADP CCONJ ADP NOUN NOUN
•Participate in training, both on and off station.	0 0 0 0 1 1 1 0	on and off	literal	identical	VERB ADP NOUN CCONJ ADP CCONJ ADP NOUN
In fact, you can just get on and off them a few times and they never seem to register the same thing twice!	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	ADP NOUN PRON VERB ADV VERB PART CCONJ ADP PRON DET ADJ NOUN CCONJ PRON ADV VERB PART VERB DET ADJ NOUN ADV
For the province's future Olympic hopefuls have been brushing up on skills both on and off the sports fields.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	on and off	literal	identical	ADP DET NOUN ADJ ADJ NOUN VERB VERB VERB PART ADP NOUN CCONJ ADP CCONJ ADP DET NOUN NOUN
He has been gathering his facts on and off ever since and now they are available to us all in his book The Wheatear, a truly classic study of every aspect of the wheatear's lifestyle.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	figurative	identical	PRON VERB VERB VERB ADJ NOUN ADP CCONJ ADV ADV ADP CCONJ ADV PRON VERB ADJ ADP PRON DET ADP ADJ NOUN DET PROPN DET ADV ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN
The Eclipse is exceptionally easy to control, with mains electric ignition, a slow cooking facility, a plate warmer ( in the grill area ) and an oven timer which you can pre - set to switch the oven on and off at times convenient to you ( perhaps while you 're busy entertaining guests before the meal ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on and off	literal	identical	DET PROPN VERB ADV ADJ PART VERB ADP NOUN ADJ NOUN DET ADJ NOUN NOUN DET NOUN NOUN PUNCT ADP DET NOUN NOUN PUNCT CCONJ DET NOUN NOUN ADJ PRON VERB ADJ PUNCT VERB PART VERB DET NOUN ADP CCONJ ADV ADP NOUN ADJ ADP PRON PUNCT ADV ADP PRON VERB ADJ VERB NOUN ADP DET NOUN PUNCT
