The Agnelli family, which owns almost 40 % of the company, was riding high.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	DET PROPN NOUN ADJ VERB ADV NUM NOUN ADP DET NOUN VERB VERB ADJ
Despite riding high at No 14 with House Of Love, the star is still battling to pay off the loan.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	ADP VERB ADJ ADP DET NUM ADP PROPN ADP PROPN DET NOUN VERB ADV VERB PART VERB PART DET NOUN
In public hardline rhetoric also seemed appropriate at a time when McCarthy and his communist witch - hunt were riding high.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	ADP ADJ NOUN NOUN ADV VERB ADJ ADP DET NOUN ADV PROPN CCONJ ADJ ADJ NOUN PUNCT NOUN VERB VERB ADJ
By this stage Labour should have been riding high.	0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	ADP DET NOUN PROPN VERB VERB VERB VERB ADJ
Meanwhile, Jo's happy to count her blessings and remains quietly confident that hard work, professionalism and talent will keep her riding high.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	ADV PROPN ADJ PART VERB ADJ NOUN CCONJ VERB ADV ADJ ADP ADJ NOUN NOUN CCONJ NOUN VERB VERB ADJ VERB ADJ
America is riding high on a wave of post - Gulf confidence, but one part of the country is still missing out : the poverty - ridden ghettos where millions of black Americans live.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	PROPN VERB VERB ADJ ADP DET NOUN ADP NOUN PUNCT PROPN NOUN CCONJ NUM NOUN ADP DET NOUN VERB ADV VERB ADP PUNCT DET NOUN PUNCT ADJ NOUN ADV NOUN ADP ADJ PROPN VERB
Getting out her suitcase, and with her fury riding high, she began throwing her belongings into it — she was catching the first plane out of there!	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	VERB PART ADJ NOUN CCONJ ADP ADJ NOUN VERB ADV PRON VERB VERB ADJ NOUN ADP PRON PUNCT PRON VERB VERB DET ADJ NOUN ADP ADP ADV
The Irish - American hip - hop outfit, currently riding high in the US charts, signed to XL Recordings ' new Ruffness label last month.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	DET ADJ PUNCT ADJ NOUN PUNCT NOUN NOUN ADV VERB ADJ ADP DET PROPN NOUN VERB ADP PROPN PROPN PART ADJ PROPN NOUN ADJ NOUN
AZTEC CAMERA, currently riding high in the charts with ‘ Good Morning Britain’, will play a one - off date at London Brixton Academy on December 20 — the last date of their current world tour.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ride high	figurative	inflection	NOUN PROPN ADV VERB ADJ ADP DET NOUN ADP PUNCT PROPN PROPN PROPN VERB VERB DET NUM PUNCT PART NOUN ADP PROPN PROPN PROPN ADP PROPN NUM PUNCT DET ADJ NOUN ADP ADJ ADJ NOUN NOUN
CENTRAL bankers are riding high.	0 0 0 1 1	ride high	figurative	inflection	ADJ NOUN VERB VERB ADJ
The present rendezvous had been riding high on my chart of dreads.	0 0 0 0 0 1 1 0 0 0 0 0	ride high	literal	inflection	DET ADJ NOUN VERB VERB VERB ADJ ADP ADJ NOUN ADP NOUN
You see, as long as things were happening their faith was riding high.	0 0 0 0 0 0 0 0 0 0 0 1 1	ride high	figurative	inflection	PRON VERB ADV ADV ADP NOUN VERB VERB ADJ NOUN VERB VERB ADJ
