Aussie ace in the clear	0 0 1 0 1	in the clear	figurative	identical	ADJ NOUN ADP DET ADJ	▁A us s ie ▁a ce ▁in ▁the ▁clear	0 0 0 0 0 0 1 0 1	ADJ ADJ ADJ ADJ NOUN NOUN ADP DET ADJ
The consequence, for me at least, was that I reckoned that the earthquake account for 1992 had, so to speak, been settled, and that we were in the clear for a year or so.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the clear	figurative	identical	DET NOUN ADP PRON ADV ADJ VERB ADP PRON VERB ADP DET NOUN NOUN ADP NUM VERB ADV PART VERB VERB VERB CCONJ ADP PRON VERB ADP DET ADJ ADP DET NOUN CCONJ ADV	▁The ▁consequence , ▁for ▁me ▁at ▁least , ▁was ▁that ▁I ▁reckon ed ▁that ▁the ▁earthquake ▁account ▁for ▁1992 ▁had , ▁so ▁to ▁speak , ▁been ▁settled , ▁and ▁that ▁we ▁were ▁in ▁the ▁clear ▁for ▁a ▁year ▁or ▁so .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET NOUN NOUN ADP PRON ADV ADJ ADJ VERB ADP PRON VERB VERB ADP DET NOUN NOUN ADP NUM VERB VERB ADV PART VERB VERB VERB VERB VERB CCONJ ADP PRON VERB ADP DET ADJ ADP DET NOUN CCONJ ADV ADV
Sometimes I went trolling for lythe with rubber eels, or fly fishing for saithe and mackerel in the clear water around the rocks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the clear	literal	identical	ADV PRON VERB VERB ADP DET ADP NOUN NOUN CCONJ VERB VERB ADP ADJ CCONJ NOUN ADP DET ADJ NOUN ADP DET NOUN	▁Sometimes ▁I ▁went ▁t rolling ▁for ▁ly the ▁with ▁rubber ▁eel s , ▁or ▁fly ▁fishing ▁for ▁saith e ▁and ▁mackerel ▁in ▁the ▁clear ▁water ▁around ▁the ▁rock s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADV PRON VERB VERB VERB ADP DET DET ADP NOUN NOUN NOUN NOUN CCONJ VERB VERB ADP ADJ ADJ CCONJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN
At last I sat down on the edge of the stone basin of a fountain in the centre of a lonely Square, and sang, as I bathed my face and eyes in the clear, fresh water -	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the clear	literal	identical	ADP ADJ PRON VERB PART ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ PROPN CCONJ VERB ADP PRON VERB ADJ NOUN CCONJ NOUN ADP DET ADJ ADJ NOUN PUNCT	▁At ▁last ▁I ▁sat ▁down ▁on ▁the ▁edge ▁of ▁the ▁stone ▁basin ▁of ▁a ▁fo un tain ▁in ▁the ▁centre ▁of ▁a ▁l one ly ▁Square , ▁and ▁s ang , ▁as ▁I ▁bath ed ▁my ▁face ▁and ▁eyes ▁in ▁the ▁clear , ▁fresh ▁water ▁-	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	ADP ADJ PRON VERB PART ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN NOUN NOUN ADP DET NOUN ADP DET ADJ ADJ ADJ PROPN PROPN CCONJ VERB VERB VERB ADP PRON VERB VERB ADJ NOUN CCONJ NOUN ADP DET ADJ ADJ ADJ NOUN PUNCT
Moreover, the pretty paper kites in the clear blue skies still outnumber the documentary versions by a long way.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	ADV DET ADJ NOUN NOUN ADP DET ADJ ADJ NOUN ADV VERB DET NOUN NOUN ADP DET ADJ NOUN	▁Moreover , ▁the ▁pretty ▁paper ▁kit es ▁in ▁the ▁clear ▁blue ▁ski es ▁still ▁out number ▁the ▁documentary ▁versions ▁by ▁a ▁long ▁way .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET ADJ NOUN NOUN NOUN ADP DET ADJ ADJ NOUN NOUN ADV VERB VERB DET NOUN NOUN ADP DET ADJ NOUN NOUN
Her slender fingers soon picked out the correct chords, and they sang together an Italian song ; first he sang a verse, and then the girl sang the next ; it sounded deliciously, in the clear, bright evening.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the clear	literal	identical	ADJ ADJ NOUN ADV VERB PART DET ADJ NOUN CCONJ PRON VERB ADV DET ADJ NOUN PUNCT ADV PRON VERB DET NOUN CCONJ ADV DET NOUN VERB DET ADJ PUNCT PRON VERB ADV ADP DET ADJ ADJ NOUN	▁Her ▁sl ender ▁fingers ▁soon ▁picked ▁out ▁the ▁correct ▁ch or ds , ▁and ▁they ▁s ang ▁together ▁an ▁Italian ▁so ng ▁ ; ▁first ▁he ▁s ang ▁a ▁ verse , ▁and ▁then ▁the ▁girl ▁s ang ▁the ▁next ▁ ; ▁it ▁sound ed ▁del ici ously , ▁in ▁the ▁clear , ▁bright ▁evening .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	ADJ ADJ ADJ NOUN ADV VERB PART DET ADJ NOUN NOUN NOUN NOUN CCONJ PRON VERB VERB ADV DET ADJ NOUN NOUN PUNCT PUNCT ADV PRON VERB VERB DET NOUN NOUN NOUN CCONJ ADV DET NOUN VERB VERB DET ADJ PUNCT PUNCT PRON VERB VERB ADV ADV ADV ADV ADP DET ADJ ADJ ADJ NOUN NOUN
The sea was calm, and Oban, caught in the clear light of a summer morning, looked charming and toylike, as we sailed sedately out between the islets and castle crowned rocks, with sea - birds drifting in our wake, and everywhere, even over the smell of salt and wind, the scents of summer.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	DET NOUN VERB ADJ CCONJ PROPN VERB ADP DET ADJ NOUN ADP DET NOUN NOUN VERB ADJ CCONJ ADJ ADP PRON VERB ADV ADP ADP DET NOUN CCONJ ADJ VERB NOUN ADP NOUN PUNCT NOUN VERB ADP ADJ NOUN CCONJ ADV ADV ADP DET NOUN ADP NOUN CCONJ NOUN DET NOUN ADP NOUN	▁The ▁sea ▁was ▁calm , ▁and ▁O ban , ▁caught ▁in ▁the ▁clear ▁light ▁of ▁a ▁summer ▁morning , ▁looked ▁char ming ▁and ▁to y like , ▁as ▁we ▁sail ed ▁se date ly ▁out ▁between ▁the ▁is lets ▁and ▁cast le ▁crown ed ▁rock s , ▁with ▁sea ▁- ▁birds ▁drift ing ▁in ▁our ▁wake , ▁and ▁everywhere , ▁even ▁over ▁the ▁smell ▁of ▁salt ▁and ▁wind , ▁the ▁sc ents ▁of ▁summer .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ ADJ CCONJ PROPN PROPN PROPN VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN VERB ADJ ADJ CCONJ ADJ ADJ ADJ ADJ ADP PRON VERB VERB ADV ADV ADV ADP ADP DET NOUN NOUN CCONJ ADJ ADJ VERB VERB NOUN NOUN NOUN ADP NOUN PUNCT NOUN VERB VERB ADP ADJ NOUN NOUN CCONJ ADV ADV ADV ADP DET NOUN ADP NOUN CCONJ NOUN NOUN DET NOUN NOUN ADP NOUN NOUN
Lying in the clear aquamarine waters of the Atlantic ocean to the east of Florida are a cluster of idyllic islands called The Bahamas.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	VERB ADP DET ADJ NOUN NOUN ADP DET PROPN NOUN ADP DET NOUN ADP PROPN VERB DET NOUN ADP ADJ NOUN VERB DET PROPN	▁L ying ▁in ▁the ▁clear ▁a qua mar ine ▁waters ▁of ▁the ▁Atlantic ▁ocean ▁to ▁the ▁east ▁of ▁Flori da ▁are ▁a ▁cluster ▁of ▁id yl lic ▁islands ▁called ▁The ▁Bahamas .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET ADJ NOUN NOUN NOUN NOUN NOUN ADP DET PROPN NOUN ADP DET NOUN ADP PROPN PROPN VERB DET NOUN ADP ADJ ADJ ADJ NOUN VERB DET PROPN PROPN
The moonlight lent it enchantment, of course, but what a pokey place it looked, lying by the lakeside in the clear night.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	in the clear	literal	identical	DET NOUN VERB PRON NOUN ADP NOUN CCONJ NOUN DET ADJ NOUN PRON VERB VERB ADP DET NOUN ADP DET ADJ NOUN	▁The ▁mo on light ▁lent ▁it ▁en ch ant ment , ▁of ▁course , ▁but ▁what ▁a ▁po key ▁place ▁it ▁looked , ▁lying ▁by ▁the ▁lakes ide ▁in ▁the ▁clear ▁night .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET NOUN NOUN NOUN VERB PRON NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN CCONJ NOUN DET ADJ ADJ NOUN PRON VERB VERB VERB ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN
She explored the cottage all over again, because it looked quite different — and even more attractive — in the clear light of a sunny February morning, and she found to her joy that there was a large garden at the back where they could grow vegetables.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the clear	literal	identical	PRON VERB DET NOUN ADV ADV ADV ADP PRON VERB ADV ADJ PUNCT CCONJ ADV ADV ADJ PUNCT ADP DET ADJ NOUN ADP DET ADJ PROPN NOUN CCONJ PRON VERB ADP ADJ NOUN ADP ADV VERB DET ADJ NOUN ADP DET NOUN ADV PRON VERB VERB NOUN	▁She ▁explored ▁the ▁ cott age ▁all ▁over ▁again , ▁because ▁it ▁looked ▁quite ▁different ▁ — ▁and ▁even ▁more ▁attractive ▁ — ▁in ▁the ▁clear ▁light ▁of ▁a ▁sun ny ▁February ▁morning , ▁and ▁she ▁found ▁to ▁her ▁joy ▁that ▁there ▁was ▁a ▁large ▁garden ▁at ▁the ▁back ▁where ▁they ▁could ▁grow ▁vegetables .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN NOUN NOUN ADV ADV ADV ADV ADP PRON VERB ADV ADJ PUNCT PUNCT CCONJ ADV ADV ADJ PUNCT PUNCT ADP DET ADJ NOUN ADP DET ADJ ADJ PROPN NOUN NOUN CCONJ PRON VERB ADP ADJ NOUN ADP ADV VERB DET ADJ NOUN ADP DET NOUN ADV PRON VERB VERB NOUN NOUN
Now I need you to back up my story and put me in the clear.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the clear	figurative	identical	ADV PRON VERB PRON PART VERB PART ADJ NOUN CCONJ VERB PRON ADP DET ADJ	▁Now ▁I ▁need ▁you ▁to ▁back ▁up ▁my ▁story ▁and ▁put ▁me ▁in ▁the ▁clear .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB PRON PART VERB PART ADJ NOUN CCONJ VERB PRON ADP DET ADJ ADJ
