Then get cracking, drop me a line with your suggestions.	0 1 1 0 0 0 0 0 0 0	get cracking	figurative	identical	ADV VERB VERB VERB PRON DET NOUN ADP ADJ NOUN
They got cracking and built him a cart	0 1 1 0 0 0 0 0	get cracking	figurative	inflection	PRON VERB VERB CCONJ VERB PRON DET NOUN
You should review your situation, think about changes, look into the past, present and future, think of the snags, revise your plans — and only then get cracking!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	get cracking	figurative	identical	PRON VERB VERB ADJ NOUN VERB ADP NOUN VERB ADP DET NOUN ADJ CCONJ NOUN VERB ADP DET NOUN VERB ADJ NOUN PUNCT CCONJ ADV ADV VERB VERB
Cos you want to get cracking don't you?	0 0 0 0 1 1 0 0	get cracking	figurative	identical	NOUN PRON VERB PART VERB VERB VERB PRON
The presentation to Purdy and Roy is at three so you 'll need to get cracking.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	get cracking	figurative	dashes	DET NOUN ADP PROPN CCONJ PROPN VERB ADP NUM ADV PRON VERB VERB PART VERB NOUN
If you think you could do as well, get cracking — if your game's anywhere near as bostin ' as this one, you could find fame and fortune as a Commodore Force Megastar!	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	get cracking	figurative	identical	ADP PRON VERB PRON VERB VERB ADV ADV VERB VERB PUNCT ADP ADJ NOUN ADV ADV ADP NOUN PUNCT ADP DET NOUN PRON VERB VERB NOUN CCONJ NOUN ADP DET PROPN PROPN PROPN
We may as well get cracking with research mightn't we?	0 0 0 0 1 1 0 0 0 0	get cracking	figurative	identical	PRON VERB ADV ADV VERB VERB ADP NOUN VERB PRON
then, then we can go ahead and get cracking straight away.	0 0 0 0 0 0 0 1 1 0 0	get cracking	figurative	identical	ADV ADV PRON VERB VERB ADV CCONJ VERB VERB ADV ADV
" Then I really got cracking and said " We 've got to do something ". "	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	get cracking	figurative	inflection	PUNCT ADV PRON ADV VERB VERB CCONJ VERB PUNCT PRON VERB VERB PART VERB NOUN PUNCT PUNCT
Nearly two years later he told me that in each of those ten Crusades, people on the committees had said that, although everyone had agreed on certain tasks to be done, they only actually got cracking on them a couple of days before I was due back!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	get cracking	figurative	inflection	ADV NUM NOUN ADV PRON VERB PRON ADP ADP DET ADP DET NUM NOUN NOUN ADP DET NOUN VERB VERB ADP ADP NOUN VERB VERB ADP ADJ NOUN PART VERB VERB PRON ADV ADV VERB VERB ADP PRON DET NOUN ADP NOUN ADP PRON VERB ADJ ADV
We 'll have to get cracking.	0 0 0 0 1 1	get cracking	figurative	identical	PRON VERB VERB PART VERB VERB
I got cracking.	0 1 1	get cracking	figurative	inflection	PRON VERB VERB
Levellers will perform in front of 70, people during the tour, and already well over 50, tickets have been snapped up, so get cracking if you want one for the Belfast gig.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	get cracking	figurative	identical	NOUN VERB VERB ADP NOUN ADP NUM NOUN ADP DET NOUN CCONJ ADV ADV ADP NUM NOUN VERB VERB VERB PART ADV VERB VERB ADP PRON VERB NUM ADP DET PROPN NOUN
We can then get cracking about the conversion. "	0 0 0 1 1 0 0 0 0	get cracking	figurative	identical	PRON VERB ADV VERB VERB ADP DET NOUN PUNCT
GET CRACKING	1 1	get cracking	figurative	case	VERB VERB
‘ Now put the kettle on Polly an ' we 'll ' ave a nice cuppa tea then Katie an ' me'll get cracking.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	get cracking	figurative	dashes	PUNCT ADV VERB DET NOUN ADP ADV DET PUNCT PRON VERB PUNCT VERB DET ADJ ADJ NOUN ADV PROPN DET PUNCT NOUN VERB NOUN
Yeah but I thought we should get cracking in the car.	0 0 0 0 0 0 1 1 0 0 0	get cracking	figurative	identical	INTJ CCONJ PRON VERB PRON VERB VERB VERB ADP DET NOUN
‘ Let's get cracking.’	0 0 1 1	get cracking	figurative	dashes	PUNCT VERB VERB NOUN
