mind run riot.	0 1 1	run riot	figurative	identical	NOUN NOUN NOUN
Vegetation ran riot.	0 1 1	run riot	figurative	inflection	NOUN VERB NOUN
Her imagination ran riot, peopling the place with great caliphs, beautiful ladies in gossamer veils and fierce soldiers to guard the purple - red ramparts.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	ADJ NOUN VERB NOUN VERB DET NOUN ADP ADJ NOUN ADJ NOUN ADP NOUN NOUN CCONJ ADJ NOUN PART VERB DET ADJ PUNCT ADJ NOUN
He was running riot, switching off lights and knocking things over.	0 0 1 1 0 0 0 0 0 0 0	run riot	figurative	inflection	PRON VERB VERB NOUN VERB PART NOUN CCONJ VERB NOUN PART
The risk associated with societal modernisation was, therefore, that the individual passions would run riot.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	run riot	figurative	identical	DET NOUN VERB ADP ADJ NOUN VERB ADV ADP DET ADJ NOUN VERB VERB NOUN
You can't just speculate wildly and irresponsibly, allowing your imagination to run riot in the manner of such unsatisfying space fiction panaceas as ‘ hyperdrives’, ‘ time warps’ and ‘ infinite improbability drives’.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	identical	PRON VERB ADV VERB ADV CCONJ ADV VERB ADJ NOUN PART VERB NOUN ADP DET NOUN ADP ADJ VERB NOUN NOUN NOUN ADP PUNCT NOUN NUM NOUN NOUN CCONJ NUM ADJ NOUN NOUN
A MORE considered, romantic and melancholy version of the above, with Henry Fonda's Wyatt Earp cleaning up the nightmarish town of Tombstone, making the community safe for the church - going, square - dancing just plain folks who have been hiding in the shadows while the Clanton gang runs riot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	run riot	figurative	inflection	DET ADV VERB ADJ CCONJ ADJ NOUN ADP DET ADJ ADP PROPN PROPN PROPN PROPN VERB PART DET ADJ NOUN ADP PROPN VERB DET NOUN ADJ ADP DET NOUN PUNCT VERB ADJ PUNCT VERB ADV ADJ NOUN NOUN VERB VERB VERB ADP DET NOUN ADP DET PROPN NOUN VERB NOUN
Eastern fantasy runs riot with fabric decorations in either plain or delicately patterned style.	0 0 1 1 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	ADJ NOUN VERB NOUN ADP NOUN NOUN ADP CCONJ ADJ CCONJ ADV ADJ NOUN
Relieved of the dead hand of the client and his shadow, the account executive, the creative department ran riot and produced some brilliant stuff.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	run riot	figurative	inflection	VERB ADP DET ADJ NOUN ADP DET NOUN CCONJ ADJ NOUN DET NOUN NOUN DET ADJ NOUN VERB NOUN CCONJ VERB DET ADJ NOUN
When Coleridge got on one and let his imagination run riot, he came up with Kubla Khan.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	run riot	figurative	identical	ADV PROPN VERB ADP NUM CCONJ VERB ADJ NOUN VERB NOUN PRON VERB PART ADP PROPN PROPN
Tonight ITV, 8 pm DS GREIG fronts an undercover operation where the aim is to nab a burglar who has been running riot pulling off dozens of break - ins around a local housing estate.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	NOUN PROPN NUM NOUN PROPN PROPN VERB DET ADJ NOUN ADV DET NOUN VERB PART VERB DET NOUN NOUN VERB VERB VERB NOUN VERB PART NOUN ADP NOUN PUNCT NOUN ADP DET ADJ NOUN NOUN
Certainly, a good deal of anti - foreigner sentiment was unleashed, first of all in Nanjing and then other major cities, and traditional prejudices were allowed to run riot for the Christmas period.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	run riot	figurative	identical	ADV DET ADJ NOUN ADP ADV PUNCT NOUN NOUN VERB VERB ADV ADP DET ADP PROPN CCONJ ADV ADJ ADJ NOUN CCONJ ADJ NOUN VERB VERB PART VERB NOUN ADP DET PROPN NOUN
Artifice has run riot, replacing and controlling the warmth and vitality of nature.	0 0 1 1 0 0 0 0 0 0 0 0 0	run riot	figurative	identical	PROPN VERB VERB NOUN VERB CCONJ VERB DET NOUN CCONJ NOUN ADP NOUN
Her mind kept wrestling with the problem of her identity, her imagination running riot as she pictured loved ones mad with anxiety about her.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	ADJ NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN ADJ NOUN VERB NOUN ADP PRON VERB VERB NOUN ADJ ADP NOUN ADP PRON
Imagination runs riot, memories of one's own lovemaking being replayed with another man playing your part.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	NOUN VERB NOUN NOUN ADP PRON ADJ NOUN VERB VERB ADP DET NOUN VERB ADJ NOUN
Weatherall runs riot again on an extended ‘ Come Together’, stripping the original hit single down to its component parts and sampling black activist Malcolm X to put across its corny but effective ‘ peacy & unity’ vibe.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	PROPN VERB NOUN ADV ADP DET ADJ PUNCT NOUN NOUN VERB DET ADJ NOUN ADJ PART ADP ADJ ADJ NOUN CCONJ VERB ADJ NOUN PROPN PROPN PART VERB ADP ADJ NOUN CCONJ ADJ ADJ NOUN CCONJ NOUN NOUN
The images his words had triggered were running riot in her brain, and it took all her strength to blot them out.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	run riot	figurative	inflection	DET NOUN ADJ NOUN VERB VERB VERB VERB NOUN ADP ADJ NOUN CCONJ PRON VERB ADJ ADJ NOUN PART VERB PRON PART
They are impressive up front, as they showed against England at Waterloo, and have some fleet - footed customers behind who are able to run riot against virtually any opposition.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	run riot	figurative	identical	PRON VERB ADJ ADP NOUN ADP PRON VERB ADP PROPN ADP PROPN CCONJ VERB DET NOUN PUNCT VERB NOUN ADP NOUN VERB ADJ PART VERB NOUN ADP ADV DET NOUN
