‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN	▁ ‘ ▁Then ▁a ▁shot ▁of ▁glucose ▁should ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN NOUN
This obviously did the trick in Stirling, Ayr, South Aberdeen and Kincardine — but not in Edinburgh South, Fife NE, or Strathkelvin.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PUNCT CCONJ ADV ADP PROPN PROPN PROPN PROPN CCONJ PROPN	▁This ▁obviously ▁did ▁the ▁trick ▁in ▁St ir ling , ▁A yr , ▁South ▁A ber de en ▁and ▁Kin card ine ▁ — ▁but ▁not ▁in ▁Edinburgh ▁South , ▁F ife ▁NE , ▁or ▁Stra th kel vin .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADV VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PUNCT CCONJ ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN
A few well - aimed, well - considered words above the hubbub may well do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET ADJ ADV PUNCT VERB ADV PUNCT VERB NOUN ADP DET NOUN VERB ADV VERB DET NOUN	▁A ▁few ▁well ▁- ▁aimed , ▁well ▁- ▁considered ▁words ▁above ▁the ▁hub b ub ▁may ▁well ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ ADV PUNCT VERB VERB ADV PUNCT VERB NOUN ADP DET NOUN NOUN NOUN VERB ADV VERB DET NOUN NOUN
Something less than a precision guided missile would do the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	NOUN ADJ ADP DET NOUN VERB NOUN VERB VERB DET NOUN	▁S omething ▁less ▁than ▁a ▁precision ▁ guided ▁missile ▁would ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN ADJ ADP DET NOUN VERB VERB NOUN VERB VERB DET NOUN NOUN
The powder was a pretty strong absorbent mixture and I felt sure it would do the trick, but a week later Mrs Rumney was on the phone again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN VERB DET ADV ADJ ADJ NOUN CCONJ PRON VERB ADJ PRON VERB VERB DET NOUN CCONJ DET NOUN ADV PROPN PROPN VERB ADP DET NOUN ADV	▁The ▁powder ▁was ▁a ▁pretty ▁strong ▁absorbent ▁mixture ▁and ▁I ▁felt ▁sure ▁it ▁would ▁do ▁the ▁trick , ▁but ▁a ▁week ▁later ▁Mrs ▁Rum ney ▁was ▁on ▁the ▁phone ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB DET ADV ADJ ADJ NOUN CCONJ PRON VERB ADJ PRON VERB VERB DET NOUN NOUN CCONJ DET NOUN ADV PROPN PROPN PROPN VERB ADP DET NOUN ADV ADV
If all that money we gave to Band Aid didn't do the trick, it must be because there are just too many of them.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADP ADJ DET NOUN PRON VERB ADP PROPN PROPN VERB VERB DET NOUN PRON VERB VERB ADP ADV VERB ADV ADV ADJ ADP PRON	▁If ▁all ▁that ▁money ▁we ▁gave ▁to ▁Band ▁Aid ▁did n ' t ▁do ▁the ▁trick , ▁it ▁must ▁be ▁because ▁there ▁are ▁just ▁too ▁many ▁of ▁them .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ DET NOUN PRON VERB ADP PROPN PROPN VERB VERB VERB VERB VERB DET NOUN NOUN PRON VERB VERB ADP ADV VERB ADV ADV ADJ ADP PRON PRON
If live food is not available, and frozen too expensive, then finely - grated heart, and other finely - chopped foods such as mussel, prawn, chicken, together with cod roe, may do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP ADJ NOUN VERB ADV ADJ CCONJ VERB ADV ADJ ADV ADV PUNCT VERB NOUN CCONJ ADJ ADV PUNCT VERB NOUN ADJ ADP NOUN ADJ NOUN ADV ADP NOUN NOUN VERB VERB DET NOUN	▁If ▁live ▁food ▁is ▁not ▁available , ▁and ▁frozen ▁too ▁expensive , ▁then ▁fine ly ▁- ▁grated ▁heart , ▁and ▁other ▁fine ly ▁- ▁chopped ▁foods ▁such ▁as ▁mussel , ▁prawn , ▁chicken , ▁together ▁with ▁cod ▁ro e , ▁may ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADJ NOUN VERB ADV ADJ ADJ CCONJ VERB ADV ADJ ADJ ADV ADV ADV PUNCT VERB NOUN NOUN CCONJ ADJ ADV ADV PUNCT VERB NOUN ADJ ADP NOUN NOUN ADJ ADJ NOUN NOUN ADV ADP NOUN NOUN NOUN NOUN VERB VERB DET NOUN NOUN
There would be the same tremolo electric organ, but this time there would be no crowds of mourners — only a straggle of Buffons doing their circus tricks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the trick	literal	combined-inflection	ADV VERB VERB DET ADJ NOUN ADJ NOUN CCONJ DET NOUN ADV VERB VERB DET NOUN ADP NOUN PUNCT ADV DET NOUN ADP NOUN VERB ADJ NOUN NOUN	▁There ▁would ▁be ▁the ▁same ▁tre m olo ▁electric ▁organ , ▁but ▁this ▁time ▁there ▁would ▁be ▁no ▁crowd s ▁of ▁mourn ers ▁ — ▁only ▁a ▁str ag gle ▁of ▁B uff ons ▁doing ▁their ▁circus ▁trick s .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1	ADV VERB VERB DET ADJ NOUN NOUN NOUN ADJ NOUN NOUN CCONJ DET NOUN ADV VERB VERB DET NOUN NOUN ADP NOUN NOUN PUNCT PUNCT ADV DET NOUN NOUN NOUN ADP NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN NOUN
It must have done the trick!’	0 0 0 1 0 1	do the trick	figurative	combined-inflection	PRON VERB VERB VERB DET NOUN	▁It ▁must ▁have ▁done ▁the ▁trick ! ’	0 0 0 1 0 1 1 1	PRON VERB VERB VERB DET NOUN NOUN NOUN
‘ Butterfly sutures should do the trick, though obviously we 'll need to check on it again.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	PUNCT PROPN NOUN VERB VERB DET NOUN ADP ADV PRON VERB VERB PART VERB ADP PRON ADV	▁ ‘ ▁Butter f ly ▁su ture s ▁should ▁do ▁the ▁trick , ▁though ▁obviously ▁we ▁' ll ▁need ▁to ▁check ▁on ▁it ▁again .	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PROPN PROPN PROPN NOUN NOUN NOUN VERB VERB DET NOUN NOUN ADP ADV PRON VERB VERB VERB PART VERB ADP PRON ADV ADV
Well I 'll just do a little trick.	0 0 0 0 1 0 0 1	do the trick	literal	combined-other	INTJ PRON VERB ADV VERB DET ADJ NOUN	▁Well ▁I ▁' ll ▁just ▁do ▁a ▁little ▁trick .	0 0 0 0 0 1 0 0 1 1	INTJ PRON VERB VERB ADV VERB DET ADJ NOUN NOUN
