As soon as Tom laid eyes on Mary, he knew she was the one for him.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	lay eyes on	figurative	inflection	ADV ADV ADP PROPN VERB NOUN ADP PROPN PRON VERB PRON VERB DET NOUN ADP PRON
But I didn't think of anything else since the first moment I laid eyes on you, either.’	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	lay eyes on	figurative	inflection	CCONJ PRON VERB VERB ADP NOUN ADV ADP DET ADJ NOUN PRON VERB NOUN ADP PRON VERB
When Yeats first laid eyes on Maud Gonne, in 1889, ‘ the trembling of my life began’, he said, ‘ I had never thought to see in a living creature so great beauty … it belonged to famous pictures, to poetry, to some legendary past.’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	lay eyes on	figurative	inflection	ADV NOUN ADV VERB NOUN ADP PROPN PROPN ADP NUM PUNCT DET NOUN ADP ADJ NOUN NOUN PRON VERB PUNCT PRON VERB ADV VERB PART VERB ADP DET VERB NOUN ADV ADJ NOUN PUNCT PRON VERB ADP ADJ NOUN ADP NOUN ADP DET ADJ NOUN
She stood there dejectedly looking at him, convinced that he would never want to lay eyes on her again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	lay eyes on	figurative	identical	PRON VERB ADV ADV VERB ADP PRON VERB ADP PRON VERB ADV VERB PART VERB NOUN ADP PRON ADV
Cos she's got a great grandson she's never laid eyes on.	0 0 0 0 0 0 0 0 1 1 1	lay eyes on	figurative	inflection	NOUN PRON VERB DET ADJ NOUN PRON ADV VERB NOUN PART
Sam was so relieved at the news that mother and child were well that the fact that he hadn't won the wager was nothing to him, and when he first laid eyes on the baby all he could do was kneel down and weep for joy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	lay eyes on	figurative	inflection	PROPN VERB ADV ADJ ADP DET NOUN ADP NOUN CCONJ NOUN VERB ADV ADP DET NOUN ADP PRON VERB VERB DET NOUN VERB NOUN ADP PRON CCONJ ADV PRON ADV VERB NOUN ADP DET NOUN DET PRON VERB VERB VERB VERB ADV CCONJ VERB ADP NOUN
SHATTERED kidnap mum Kerry Needham wept bitter tears of disappointment as she first laid eyes on the child she had raced 2,000 miles to see.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	lay eyes on	figurative	inflection	PROPN VERB ADJ PROPN PROPN VERB ADJ NOUN ADP NOUN ADP PRON ADV VERB NOUN ADP DET NOUN PRON VERB VERB NUM NOUN PART VERB
What she was thinking was that, unlike her memory block with Arnie, she couldn't imagine ever forgetting the first time she 'd laid eyes on Guido.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	lay eyes on	figurative	inflection	NOUN PRON VERB VERB VERB ADP ADP ADJ NOUN NOUN ADP PROPN PRON VERB VERB ADV VERB DET ADJ NOUN PRON VERB VERB NOUN ADP PROPN
I propose we carry on where we left off, unless you never want to lay eyes on me again, of course.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	lay eyes on	figurative	identical	PRON VERB PRON VERB PART ADV PRON VERB PART ADP PRON ADV VERB PART VERB NOUN ADP PRON ADV ADP NOUN
Probably only collecting rents or some such thing, but it will be better if they don't lay eyes on you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	lay eyes on	figurative	identical	ADV ADV VERB NOUN CCONJ DET ADJ NOUN CCONJ PRON VERB VERB ADJ ADP PRON VERB VERB NOUN ADP PRON
Ever since I laid eyes on Dominic Wetherby I 've been unable to rest.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	lay eyes on	figurative	inflection	ADV ADP PRON VERB NOUN ADP PROPN PROPN PRON VERB VERB ADJ PART VERB
And I 've never laid eyes on Vera.’	0 0 0 0 1 1 1 0	lay eyes on	figurative	inflection	CCONJ PRON VERB ADV VERB NOUN ADP NOUN
