I worked as a researcher for him for so long I became part of the furniture, I really did.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	part of the furniture	figurative	identical	PRON VERB ADP DET NOUN ADP PRON ADP ADV ADV PRON VERB NOUN ADP DET NOUN PRON ADV VERB
Somehow at that moment he was very far from being just part of the furniture.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	part of the furniture	figurative	identical	ADV ADP DET NOUN PRON VERB ADV ADV ADP VERB ADV NOUN ADP DET NOUN
An incident at dinner on Sunday night became part of the Reverend Mr Grant's conversational furniture, a story he told for many years later.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0	part of the furniture	figurative	combined-other	DET NOUN ADP NOUN ADP PROPN NOUN VERB NOUN ADP DET PROPN PROPN PROPN ADJ NOUN DET NOUN PRON VERB ADP ADJ NOUN ADV
Frenetic close - season transfer activity is new to most rugby countries, but in South Africa it's become part of the furniture …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	part of the furniture	figurative	identical	ADJ ADJ PUNCT NOUN NOUN NOUN VERB ADJ ADP ADJ NOUN NOUN CCONJ ADP PROPN PROPN PRON VERB NOUN ADP DET NOUN PUNCT
Freud is not, however, likely to be generally rejected, since he is so much part of the valued cultural furniture of the West.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0	part of the furniture	figurative	insertion-other	PROPN VERB ADV ADV ADJ PART VERB ADV VERB ADP PRON VERB ADV ADJ NOUN ADP DET VERB ADJ NOUN ADP DET PROPN
Everyone will think you 're just part of the furniture.’	0 0 0 0 0 0 1 1 0 1	part of the furniture	figurative	dashes	NOUN VERB VERB PRON VERB ADV NOUN ADP DET NOUN
The second supposed difference between the Near Eastern and the Indian religious traditions was that the former believe that God is separate from the world, whilst the latter make God or the gods a part of the world's spiritual furniture.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	part of the furniture	figurative	combined-other	DET ADJ VERB NOUN ADP DET PROPN PROPN CCONJ DET ADJ ADJ NOUN VERB ADP DET ADJ NOUN ADP PROPN VERB ADJ ADP DET NOUN ADP DET ADJ VERB PROPN CCONJ DET NOUN DET NOUN ADP DET NOUN ADJ NOUN
For delegates, they 're part of the furniture.	0 0 0 0 1 1 0 1	part of the furniture	figurative	identical	ADP NOUN PRON VERB NOUN ADP DET NOUN
The camera eventually tracks away leaving the boy still shaking his boot, part of the furniture of the front line.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	part of the furniture	figurative	identical	DET NOUN ADV VERB ADV VERB DET NOUN ADV VERB ADJ NOUN NOUN ADP DET NOUN ADP DET ADJ NOUN
Part of, part of the furniture, yes what do you want, there's no problem with parcels, and so again it becomes far less difficult to discuss erm, a business conversation, and sometimes it's a conversation about football, and they 're all a load of complete, because that's part of, er, that's one of the joys of er, er, having been doing something for long enough to have got known within the, within the patch.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	part of the furniture	figurative	identical	NOUN ADP NOUN ADP DET NOUN INTJ NOUN VERB PRON VERB ADV DET NOUN ADP NOUN CCONJ ADV ADV PRON VERB ADV ADV ADJ PART VERB NOUN DET NOUN NOUN CCONJ ADV PRON DET NOUN ADP NOUN CCONJ PRON VERB ADJ DET NOUN ADP ADJ ADP DET NOUN ADP INTJ DET NUM ADP DET NOUN ADP INTJ INTJ VERB VERB VERB NOUN ADP ADJ ADV PART VERB VERB VERB ADP DET ADP DET NOUN
Rather like watches, they were practical, part of the furniture and so we wore the same one for all occasions.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	part of the furniture	figurative	identical	ADV ADP NOUN PRON VERB ADJ NOUN ADP DET NOUN CCONJ ADV PRON VERB DET ADJ NOUN ADP DET NOUN
Something odd enough in shape not to be a normal part of living - room furniture.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1	part of the furniture	literal	combined-other	NOUN ADJ ADV ADP NOUN ADV PART VERB DET ADJ NOUN ADP NOUN PUNCT NOUN NOUN
Had Patricia, with her flattering attention, touching gratitude, and diverting problems, become a necessary part of the furniture in his mind?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	part of the furniture	figurative	identical	VERB PROPN ADP ADJ ADJ NOUN VERB NOUN CCONJ VERB NOUN VERB DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN
Secretaries of State for Trade and Industry may come and go but Sir Jeffrey Sterling, chairman of the P&O group, has long been part of the furniture at 1 Victoria Street.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	part of the furniture	figurative	identical	NOUN ADP PROPN ADP PROPN CCONJ PROPN VERB VERB CCONJ VERB CCONJ PROPN PROPN PROPN NOUN ADP DET PROPN NOUN VERB ADV VERB NOUN ADP DET NOUN ADP NUM PROPN PROPN
