grind to a halt!	1 1 0 1	grind to a halt	figurative	identical	VERB ADP DET NOUN	▁grind ▁to ▁a ▁halt !	1 1 0 1 1	VERB ADP DET NOUN NOUN
Yet in the 1960S some members of the credit industry had feared it would grind to a halt unless they could threaten promise - breakers with prison.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	CCONJ ADP DET PROPN DET NOUN ADP DET NOUN NOUN VERB VERB PRON VERB VERB ADP DET NOUN ADP PRON VERB VERB NOUN PUNCT NOUN ADP NOUN	▁Yet ▁in ▁the ▁1960 S ▁some ▁members ▁of ▁the ▁credit ▁industry ▁had ▁feared ▁it ▁would ▁grind ▁to ▁a ▁halt ▁unless ▁they ▁could ▁threaten ▁promise ▁- ▁break ers ▁with ▁prison .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET PROPN PROPN DET NOUN ADP DET NOUN NOUN VERB VERB PRON VERB VERB ADP DET NOUN ADP PRON VERB VERB NOUN PUNCT NOUN NOUN ADP NOUN NOUN
It has been suggested that were these children withdrawn from the 10,000 tiny workshops in the city, production would grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	PRON VERB VERB VERB ADP VERB DET NOUN VERB ADP DET NUM ADJ NOUN ADP DET NOUN NOUN VERB VERB ADP DET NOUN	▁It ▁has ▁been ▁suggested ▁that ▁were ▁these ▁children ▁withdrawn ▁from ▁the ▁10,000 ▁tiny ▁workshops ▁in ▁the ▁city , ▁production ▁would ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB VERB VERB ADP VERB DET NOUN VERB ADP DET NUM ADJ NOUN ADP DET NOUN NOUN NOUN VERB VERB ADP DET NOUN NOUN
In the Soviet Union the party and government bureaucracies issued a mass of rules and regulations — so many, in fact, that sometimes ways had to be found to circumvent them so that the system would not grind to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP DET PROPN PROPN DET NOUN CCONJ NOUN NOUN VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT ADV ADJ ADP NOUN ADP ADV NOUN VERB PART VERB VERB PART VERB PRON ADP ADP DET NOUN VERB ADV VERB ADP DET NOUN	▁In ▁the ▁Soviet ▁Union ▁the ▁party ▁and ▁government ▁bureaucra cies ▁issued ▁a ▁mass ▁of ▁rules ▁and ▁regulations ▁ — ▁so ▁many , ▁in ▁fact , ▁that ▁sometimes ▁ways ▁had ▁to ▁be ▁found ▁to ▁circumvent ▁them ▁so ▁that ▁the ▁system ▁would ▁not ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP DET PROPN PROPN DET NOUN CCONJ NOUN NOUN NOUN VERB DET NOUN ADP NOUN CCONJ NOUN PUNCT PUNCT ADV ADJ ADJ ADP NOUN NOUN ADP ADV NOUN VERB PART VERB VERB PART VERB PRON ADP ADP DET NOUN VERB ADV VERB ADP DET NOUN NOUN
It is an interesting thought that Aldrich's sales of laboratory equipment could grind to a halt as the UK's cash - starved scientists descend on their nearest Woolworth's looking for their highly desirable Tupperware apparatus!	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	grind to a halt	figurative	identical	PRON VERB DET ADJ NOUN ADP PROPN NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN ADP DET PROPN NOUN PUNCT VERB NOUN VERB ADP ADJ ADJ NOUN VERB ADP ADJ ADV ADJ PROPN NOUN	▁It ▁is ▁an ▁interesting ▁thought ▁that ▁Al d rich ' s ▁sales ▁of ▁laboratory ▁equipment ▁could ▁grind ▁to ▁a ▁halt ▁as ▁the ▁UK ' s ▁cash ▁- ▁star ved ▁scientists ▁de scend ▁on ▁their ▁near est ▁Wool worth ' s ▁looking ▁for ▁their ▁highly ▁desirable ▁T up per ware ▁apparatus !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PROPN NOUN PUNCT VERB VERB NOUN VERB VERB ADP ADJ ADJ ADJ NOUN NOUN NOUN NOUN VERB ADP ADJ ADV ADJ PROPN PROPN PROPN PROPN NOUN NOUN
He says if trains stopped like that, the whole network would grind to a halt :	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	grind to a halt	figurative	identical	PRON VERB ADP NOUN VERB ADP DET DET ADJ NOUN VERB VERB ADP DET NOUN PUNCT	▁He ▁says ▁if ▁trains ▁stopped ▁like ▁that , ▁the ▁whole ▁network ▁would ▁grind ▁to ▁a ▁halt ▁ :	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PRON VERB ADP NOUN VERB ADP DET DET DET ADJ NOUN VERB VERB ADP DET NOUN PUNCT PUNCT
If it couldn't, evolution would grind to a halt.	0 0 0 0 0 1 1 0 1	grind to a halt	figurative	identical	ADP PRON VERB NOUN VERB VERB ADP DET NOUN	▁If ▁it ▁could n ' t , ▁evolution ▁would ▁grind ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADP PRON VERB VERB VERB VERB VERB NOUN VERB VERB ADP DET NOUN NOUN
Instead of finding sudden problems you might find that progress slowly grinds to a halt.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADV ADP VERB ADJ NOUN PRON VERB VERB DET NOUN ADV VERB ADP DET NOUN	▁Instead ▁of ▁finding ▁sudden ▁problems ▁you ▁might ▁find ▁that ▁progress ▁slowly ▁grind s ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	ADV ADP VERB ADJ NOUN PRON VERB VERB DET NOUN ADV VERB VERB ADP DET NOUN NOUN
industrial machinery — indeed anything that includes hardened steel — would grind to a halt if trade in chromium stopped.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	grind to a halt	figurative	identical	ADJ NOUN PUNCT ADV NOUN ADJ VERB VERB NOUN PUNCT VERB VERB ADP DET NOUN ADP NOUN ADP NOUN VERB	▁industrial ▁machinery ▁ — ▁indeed ▁anything ▁that ▁includes ▁hardened ▁steel ▁ — ▁would ▁grind ▁to ▁a ▁halt ▁if ▁trade ▁in ▁chromium ▁stopped .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	ADJ NOUN PUNCT PUNCT ADV NOUN ADJ VERB VERB NOUN PUNCT PUNCT VERB VERB ADP DET NOUN ADP NOUN ADP NOUN VERB VERB
Individual greed dominates Thatcher's ideology, but there are signs that her crusade is gradually grinding to a halt.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	ADJ NOUN VERB PROPN NOUN CCONJ ADV VERB NOUN ADP ADJ NOUN VERB ADV VERB ADP DET NOUN	▁Individual ▁ gre ed ▁dominate s ▁Thatcher ' s ▁ideolog y , ▁but ▁there ▁are ▁signs ▁that ▁her ▁cru s ade ▁is ▁gradually ▁grinding ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADJ NOUN NOUN NOUN VERB VERB PROPN PROPN PROPN NOUN NOUN NOUN CCONJ ADV VERB NOUN ADP ADJ NOUN NOUN NOUN VERB ADV VERB ADP DET NOUN NOUN
He went on pressing it until the starter engine ground to a halt.	0 0 0 0 0 0 0 0 0 1 1 0 1	grind to a halt	figurative	inflection	PRON VERB PART VERB PRON ADP DET ADJ NOUN NOUN ADP DET NOUN	▁He ▁went ▁on ▁pressing ▁it ▁until ▁the ▁start er ▁engine ▁ground ▁to ▁a ▁halt .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB PART VERB PRON ADP DET ADJ ADJ NOUN NOUN ADP DET NOUN NOUN
