Hold the line.	1 0 1	hold the line	figurative	case	VERB DET NOUN
If it then remains steady, the heading you are then holding will be within 1 ° to 2 ° of the heading which will hold the centre - line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	hold the line	literal	combined-other	ADP PRON ADV VERB ADJ DET VERB PRON VERB ADV VERB VERB VERB ADP NUM NOUN ADP NUM NOUN ADP DET NOUN ADJ VERB VERB DET NOUN PUNCT NOUN
Just hold the line.	0 1 0 1	hold the line	figurative	identical	ADV VERB DET NOUN
Can you just hold the line?	0 0 0 1 0 1	hold the line	figurative	identical	VERB PRON ADV VERB DET NOUN
But I 'd 've thought that, that generally speaking, we should have been able to at least hold the line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	hold the line	figurative	identical	CCONJ PRON VERB VERB VERB ADP ADP ADV VERB PRON VERB VERB VERB ADJ PART ADV ADJ VERB DET NOUN
Gloucester tried to muster the troops but Bristol held the line and their nerves and took the match 16 -12.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	PROPN VERB PART VERB DET NOUN CCONJ PROPN VERB DET NOUN CCONJ ADJ NOUN CCONJ VERB DET NOUN NUM PUNCT
The paradox is that this has been good for holding the line on protectionism.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	hold the line	figurative	inflection	DET NOUN VERB ADP DET VERB VERB ADJ ADP VERB DET NOUN ADP NOUN
Leon ~ Brittan, then a commissioner and supporter of enlargement, recalls that some officials and countries even hoped that the pre-1989 line could be held.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	hold the line	figurative	misc	ADJ PUNCT PROPN ADV DET NOUN CCONJ NOUN ADP NOUN VERB ADP DET NOUN CCONJ NOUN ADV VERB ADP DET NOUN NOUN VERB VERB VERB
' They held a line on Stanley a lot— Kirk, Eddie Lewis [ the producer]and Universal.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	combined-inflection	PUNCT PRON VERB DET NOUN ADP PROPN DET NOUN PROPN PROPN PROPN PUNCT DET PROPN PROPN
However it is difficult to see how, having once admitted determinations into his system, Aquinas can hold the line against such Kelsenian conclusions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	hold the line	figurative	identical	ADV PRON VERB ADJ PART VERB ADV VERB ADV VERB NOUN ADP ADJ NOUN PROPN VERB VERB DET NOUN ADP ADJ ADJ NOUN
and it says erm we are trying to coll connect your call, please hold the line and then it goes sorry	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	hold the line	figurative	identical	CCONJ PRON VERB INTJ PRON VERB VERB PART VERB VERB ADJ NOUN INTJ VERB DET NOUN CCONJ ADV PRON VERB ADJ
If conservatives could hold the line, they stood a chance of enacting a settlement that suited them.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	identical	ADP NOUN VERB VERB DET NOUN PRON VERB DET NOUN ADP VERB DET NOUN ADJ VERB PRON
One ( on unit 10 ) will hold the line segment data and the second, opened on unit 11, will contain the polygon definitions.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	literal	identical	NUM PUNCT ADP NOUN NUM PUNCT VERB VERB DET NOUN NOUN NOUN CCONJ DET ADJ VERB ADP NOUN NUM VERB VERB DET NOUN NOUN
Somebody once said to me ' a reel is a reel, it holds line, lets it out and retrieves it '.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	hold the line	literal	combined-inflection	NOUN ADV VERB ADP PRON PUNCT DET NOUN VERB DET NOUN PRON VERB NOUN VERB PRON PART CCONJ VERB PRON PUNCT
If the rebels were prudent they would hold the line where it is, and take advantage of the peace talks that the American State Department has by steady diplomacy arranged for them in London.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	identical	ADP DET NOUN VERB ADJ PRON VERB VERB DET NOUN ADV PRON VERB CCONJ VERB NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN VERB ADP ADJ NOUN VERB ADP PRON ADP PROPN
' There is no question that when Jimmy decides enough he will hold a very firm line.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	hold the line	figurative	combined-other	PUNCT ADV VERB DET NOUN ADP ADV PROPN VERB ADV PRON VERB VERB DET ADV ADJ NOUN
After five bitter weeks the NUAW succeeded in holding the line — but only just.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	hold the line	figurative	inflection	ADP NUM ADJ NOUN DET NOUN VERB ADP VERB DET NOUN PUNCT CCONJ ADV ADV
While the Tories were holding the line in the South, there was gloomier news in the North.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	ADP DET PROPN VERB VERB DET NOUN ADP DET PROPN ADV VERB ADJ NOUN ADP DET PROPN
A stolid Scots barrister, he has been entrusted with holding the line of an economic policy which his opponents have found hard to lay a glove upon.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	DET ADJ NOUN NOUN PRON VERB VERB VERB ADP VERB DET NOUN ADP DET ADJ NOUN ADJ ADJ NOUN VERB VERB ADJ PART VERB DET NOUN ADP
As the Financial Times headline said on 6 March, ' Bank imposes penal interest to hold line on base lending rate. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	hold the line	figurative	deletion-determiner	ADP DET PROPN PROPN NOUN VERB ADP NUM PROPN PUNCT PROPN VERB ADJ NOUN PART VERB NOUN ADP NOUN NOUN NOUN PUNCT
In the last week before convertibility was suspended in 1971, $ 2 billion was borrowed by the United States from other central banks to try to hold the line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	hold the line	figurative	identical	ADP DET ADJ NOUN ADP NOUN VERB VERB ADP NUM SYM NUM NUM VERB VERB ADP DET PROPN PROPN ADP ADJ ADJ NOUN PART VERB PART VERB DET NOUN
Eisenhower was essentially a moderate in politics and saw his role as one of " holding the line " between extremes, either of conservatism or liberalism.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	PROPN VERB ADV DET ADJ ADP NOUN CCONJ VERB ADJ NOUN ADP NUM ADP PUNCT VERB DET NOUN PUNCT ADP NOUN CCONJ ADP NOUN CCONJ NOUN
Callaghan, Healey and company could only ‘ govern’ : holding the line against inflation through incomes policy ; bemoaning the ‘ intolerable’ level of unemployment ; waiting for an expansion of world trade to lead a recovery and for North Sea oil to give room for manoeuvre on the balance of payments.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	PROPN PROPN CCONJ NOUN VERB ADV VERB NOUN PUNCT VERB DET NOUN ADP NOUN ADP NOUN NOUN PUNCT VERB DET NUM PROPN NOUN ADP NOUN PUNCT VERB ADP DET NOUN ADP NOUN NOUN PART VERB DET NOUN CCONJ ADP PROPN PROPN NOUN PART VERB NOUN ADP NOUN ADP DET NOUN ADP NOUN
Moreover having gone as far as this I do not believe that it would be possible for me to hold the line and refuse to answer any further questions about the composition and activities of the Committees.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	identical	ADV VERB VERB ADV ADV ADP DET PRON VERB ADV VERB ADP PRON VERB VERB ADJ ADP PRON PART VERB DET NOUN CCONJ VERB PART VERB DET ADJ NOUN ADP DET NOUN CCONJ NOUN ADP DET PROPN
There has been a kind of stalemate in the class struggle which has placed governments in the position of tackling deep - rooted problems with technocratic instruments of strictly limited effectiveness : they have held the line on the balance of payments by means of periodic deflation, which has not really solved anything ; they have periodically checked inflation and attempted to rebuild industrial profitability by means of ad hoc incomes policy but have been unable either to maintain popular support for such policies or to push forward to a comprehensive planning of prices and incomes, investment and consumption.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	ADV VERB VERB DET NOUN ADP NOUN ADP DET NOUN NOUN ADJ VERB VERB NOUN ADP DET NOUN ADP VERB ADV PUNCT VERB NOUN ADP ADJ NOUN ADP ADV ADJ NOUN PUNCT PRON VERB VERB DET NOUN ADP DET NOUN ADP NOUN ADP NOUN ADP ADJ NOUN ADJ VERB ADV ADV VERB NOUN PUNCT PRON VERB ADV VERB NOUN CCONJ VERB PART VERB ADJ NOUN ADP NOUN ADP X X NOUN NOUN CCONJ VERB VERB ADJ ADV PART VERB ADJ NOUN ADP ADJ NOUN CCONJ PART VERB ADV ADP DET ADJ NOUN ADP NOUN CCONJ NOUN NOUN CCONJ NOUN
The Prime Minister's hard - nosed stance to further challenges held the line with growls of loyalist support.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	hold the line	figurative	inflection	DET PROPN PROPN ADJ PUNCT ADJ NOUN ADP ADJ NOUN VERB DET NOUN ADP NOUN ADP ADJ NOUN
Hold the line, please. '	1 0 1 0 0	hold the line	figurative	case	VERB DET NOUN INTJ PUNCT
According to Soames's sister, Emma, the admirable Sutton would answer Soames's car phone in the manner of a country butler, asking callers to hold the line while he saw if Sir was in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	hold the line	figurative	identical	VERB ADP PROPN NOUN PROPN DET ADJ PROPN VERB VERB PROPN NOUN NOUN ADP DET NOUN ADP DET NOUN NOUN VERB NOUN PART VERB DET NOUN ADP PRON VERB ADP PROPN VERB ADP
The administration had instead settled for a policy of " holding the line ", which basically meant the continuation of containment.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	hold the line	figurative	inflection	DET NOUN VERB ADV VERB ADP DET NOUN ADP PUNCT VERB DET NOUN PUNCT ADJ ADV VERB DET NOUN ADP NOUN
She struck her hands through the braided nylon, holding one line tight and grasping the posy of bright flowers and the second line with her other hand.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	literal	combined-inflection	PRON VERB ADJ NOUN ADP DET VERB NOUN VERB NUM NOUN ADJ CCONJ VERB DET NOUN ADP ADJ NOUN CCONJ DET ADJ NOUN ADP ADJ ADJ NOUN
Okay hold the line right which was the one?	0 1 0 1 0 0 0 0 0	hold the line	figurative	identical	INTJ VERB DET NOUN ADJ ADJ VERB DET NUM
It doubted if the British could hold even the line of the Suez canal against a Soviet attack, while their own conduct and historical record might jeopardize the position behind them.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	figurative	insertion-other	PRON VERB ADP DET PROPN VERB VERB ADV DET NOUN ADP DET PROPN NOUN ADP DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ ADJ NOUN VERB VERB DET NOUN ADP PRON
Please hold the line.	0 1 0 1	hold the line	figurative	identical	INTJ VERB DET NOUN
This looks even more unconstitutional — but while the lawyers debate that question, the government could be holding the monetary line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	hold the line	figurative	combined-inflection	DET VERB ADV ADV ADJ PUNCT CCONJ ADP DET NOUN VERB DET NOUN DET NOUN VERB VERB VERB DET ADJ NOUN
It will hold all the excess line you are ever likely to need, and its very concept of reeling will preserve the line from those snarls we mentioned earlier, because the line has little option but to reel back in the same form as it was reeled out.	0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	hold the line	literal	insertion-other	PRON VERB VERB ADJ DET ADJ NOUN PRON VERB ADV ADJ PART VERB CCONJ ADJ ADJ NOUN ADP VERB VERB VERB DET NOUN ADP DET NOUN PRON VERB ADV ADP DET NOUN VERB ADJ NOUN CCONJ PART VERB ADV ADP DET ADJ NOUN ADP PRON VERB VERB PART
