If you do anything of that sort to get a reaction, I will give you your marching orders’.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	dashes	ADP PRON VERB NOUN ADP DET NOUN PART VERB DET NOUN PRON VERB VERB PRON ADJ NOUN VERB
SOLDIERS got their marching orders for 24 hours at the weekend to boost funds for a special care baby unit.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	NOUN VERB ADJ NOUN NOUN ADP NUM NOUN ADP DET NOUN PART VERB NOUN ADP DET ADJ NOUN NOUN NOUN
( Indeed, the father of Prince Kropotkin issued his wife and serfs proper marching orders in military fashion. )	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	marching orders	figurative	identical	PUNCT ADV DET NOUN ADP PROPN PROPN VERB ADJ NOUN CCONJ VERB ADJ NOUN NOUN ADP ADJ NOUN PUNCT
Kevin and I had a bit of a scuffle, but it was nothing that didn't happen all over the park and certainly nothing to warrant our marching orders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	PROPN CCONJ PRON VERB DET NOUN ADP DET NOUN CCONJ PRON VERB NOUN ADJ VERB VERB ADV ADP DET NOUN CCONJ ADV NOUN PART VERB ADJ NOUN NOUN
But other North ~ Koreans in Iran do not take their marching orders from the embassy, and they are of three types.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	CCONJ ADJ PROPN PUNCT PROPN ADP PROPN VERB ADV VERB ADJ NOUN NOUN ADP DET NOUN CCONJ PRON VERB ADP NUM NOUN
If you haven't got your marching orders yet it just means no one can be bothered to tell you what's happening any more!	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	ADP PRON VERB VERB ADJ NOUN NOUN ADV PRON ADV VERB DET NOUN VERB VERB VERB PART VERB PRON NOUN VERB DET ADV
In a match at Elland Road Wainwright was given his marching orders for swearing after an offside decision — but refused to go.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	ADP DET NOUN ADP PROPN PROPN PROPN VERB VERB ADJ NOUN NOUN ADP VERB ADP DET NOUN NOUN PUNCT CCONJ VERB PART VERB
Otley cried as the Ancient Britons and the Watling Street Guard assembled to receive their marching orders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	PROPN VERB ADP DET PROPN PROPN CCONJ DET PROPN PROPN PROPN VERB PART VERB ADJ NOUN NOUN
On answering it, with a sick feeling in the pit of her stomach, she realised she wasn't going to have to wait until tomorrow to receive her marching orders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	ADP VERB PRON ADP DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN PRON VERB PRON VERB VERB PART VERB PART VERB ADP NOUN PART VERB ADJ NOUN NOUN
Eventually he decided to give them their marching orders, and one spring, just before the birds were due to arrive, he nailed wire netting and a large dustbin bag along the eaves to stop them building their nests in the usual place.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	ADV PRON VERB PART VERB PRON ADJ NOUN NOUN CCONJ NUM NOUN ADV ADP DET NOUN VERB ADJ PART VERB PRON VERB NOUN VERB CCONJ DET ADJ NOUN NOUN ADP DET NOUN PART VERB PRON VERB ADJ NOUN ADP DET ADJ NOUN
Gough got his marching orders from Dutch referee Mario Van Der Ende when he caught the ball during a devastating Swiss assault.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	PROPN VERB ADJ NOUN NOUN ADP PROPN NOUN PROPN PROPN PROPN PROPN ADV PRON VERB DET NOUN ADP DET ADJ ADJ NOUN
Then with only seconds remaining of normal time Hughes was given his marching orders for a foul on his tormentor Fillimonov.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	marching orders	figurative	identical	ADV ADP ADV NOUN VERB ADP ADJ NOUN PROPN VERB VERB ADJ NOUN NOUN ADP DET NOUN ADP ADJ NOUN PROPN
Norwich City and Swindon's tie at Carrow Road was also without goals in the first half, but Swindon's Lorenzo was given his marching orders.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	marching orders	figurative	identical	PROPN PROPN CCONJ PROPN NOUN ADP PROPN PROPN VERB ADV ADP NOUN ADP DET ADJ NOUN CCONJ PROPN PROPN VERB VERB ADJ NOUN NOUN
Once again, though, Trevor Proby received his marching orders and I fear we may never see him in a ‘ Stiffs’ shirt again.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	identical	ADV ADV ADV PROPN PROPN VERB ADJ NOUN NOUN CCONJ PRON VERB PRON VERB ADV VERB PRON ADP DET ADJ PROPN NOUN ADV
‘ I 've been given my marching orders.	0 0 0 0 0 0 1 1	marching orders	figurative	identical	PUNCT PRON VERB VERB VERB ADJ NOUN NOUN
Merely giving management its ‘ marching orders’ proved insufficient to ensure that the principal economic function of producing goods and services was carried out efficiently and without becoming an additional strain on state finances.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	marching orders	figurative	dashes	ADV VERB NOUN ADJ ADJ NOUN NOUN VERB ADJ PART VERB ADP DET ADJ ADJ NOUN ADP VERB NOUN CCONJ NOUN VERB VERB PART ADV CCONJ ADP VERB DET ADJ NOUN ADP NOUN NOUN
