' Best check at the next crossroads.	0 0 0 1 0 0 1	at the crossroads	literal	insertion-other	PUNCT ADJ NOUN ADP DET ADJ NOUN
Organised efforts to protect other animals are at an historic crossroads.	0 0 0 0 0 0 0 1 0 0 1	at the crossroads	figurative	combined-other	ADJ NOUN PART VERB ADJ NOUN VERB ADP DET ADJ NOUN
Investigations are continuing to discover how the two cars came to collide at the Great Stainton crossroads on the narrow road.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	at the crossroads	literal	insertion-other	NOUN VERB VERB PART VERB ADV DET NUM NOUN VERB PART VERB ADP DET PROPN PROPN VERB ADP DET ADJ NOUN
At crossroads the gibbets provided plump carrion for the hungry crows and ravens ; landless men turned out of their fields as the great lords changed to tending sheep rather than raising crops.	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	ADP VERB DET NOUN VERB ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN VERB ADP ADP ADJ NOUN ADP DET ADJ NOUN VERB ADP VERB NOUN ADV ADP VERB NOUN
' We stand again at a historic crossroads …	0 0 0 0 1 0 0 1 0	at the crossroads	figurative	combined-other	PUNCT PRON VERB ADV ADP DET ADJ NOUN PUNCT
At the time, Avril felt she was at a crossroads in her life.	0 0 0 0 0 0 0 1 0 1 0 0 0	at the crossroads	figurative	inflection	ADP DET NOUN PROPN VERB PRON VERB ADP DET NOUN ADP ADJ NOUN
A group of more than 30 travellers ' caravans have now set up on a roadside site a mile from the village at Crew crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	literal	determiner-broad	DET NOUN ADP ADJ ADP NUM NOUN PART NOUN VERB ADV VERB PART ADP DET NOUN NOUN DET NOUN ADP DET NOUN ADP PROPN NOUN
NEW ~ DELHI – As senior leaders are purged and retired provincial officials publicly call for Politburo members to be removed, it has become clear that China is at a crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	inflection	ADJ PUNCT NOUN PUNCT ADP ADJ NOUN VERB VERB CCONJ VERB ADJ NOUN ADV VERB ADP PROPN NOUN PART VERB VERB PRON VERB VERB ADJ ADP PROPN VERB ADP DET NOUN
Now farming is at a crossroads, both here and in the rest of the European Community.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	ADV VERB VERB ADP DET NOUN CCONJ ADV CCONJ ADP DET NOUN ADP DET PROPN PROPN
At the little crossroads two kilometres north of Mailly, if you look to your extreme left you will see the lower edge of some vineyards one and - a - half kilometres away.	1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	ADP DET ADJ NOUN NUM NOUN ADV ADP ADV ADP PRON VERB ADP ADJ ADJ NOUN PRON VERB VERB DET ADJ NOUN ADP DET NOUN NUM CCONJ PUNCT DET PUNCT NOUN NOUN ADV
He turned left at the crossroads, Sonny at his heels.	0 0 0 1 0 1 0 0 0 0	at the crossroads	literal	identical	PRON VERB VERB ADP DET NOUN ADJ ADP ADJ NOUN
The fully - laden truck careered through traffic lights at a crossroads in St Austell, Cornwall, crushed her Vauxhall car and pushed it 100 feet, before virtually demolishing a butchery and crashing into a florist's shop.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	inflection	DET ADV PUNCT ADJ NOUN VERB ADP NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN VERB ADJ PROPN NOUN CCONJ VERB PRON NUM NOUN ADP ADV VERB DET NOUN CCONJ VERB ADP DET NOUN NOUN
The introduction of TECs was critical of the past because matters had not been managed collaboratively : " We stand at the crossroads.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	at the crossroads	figurative	identical	DET NOUN ADP NOUN VERB ADJ ADP DET NOUN ADP NOUN VERB ADV VERB VERB ADV PUNCT PUNCT PRON VERB ADP DET NOUN
Instead of choosing one road or another, like Hercules at the crossroads — sin or virtue, company or solitude, capitalism or collectivism — as ancient religions and modern dogmas have sometimes demanded, it invites one rather to settle into a questioning and critical acceptance of things as they are.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	identical	ADV ADP VERB NUM NOUN CCONJ DET ADP PROPN ADP DET NOUN PUNCT NOUN CCONJ NOUN NOUN CCONJ NOUN NOUN CCONJ NOUN PUNCT ADP ADJ NOUN CCONJ ADJ NOUN VERB ADV VERB PRON VERB NUM ADV PART VERB ADP DET NOUN CCONJ ADJ NOUN ADP NOUN ADP PRON VERB
All economies are continually changing, but in saying that the economy is at a crossroads we are dealing with a change in its whole direction.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	at the crossroads	figurative	inflection	DET NOUN VERB ADV VERB CCONJ ADP VERB ADP DET NOUN VERB ADP DET NOUN PRON VERB VERB ADP DET NOUN ADP ADJ ADJ NOUN
At each crossroads the stone fountains with their precious supply of water were guarded by men - at - arms.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	combined-other	ADP DET VERB DET NOUN NOUN ADP ADJ ADJ NOUN ADP NOUN VERB VERB ADP NOUN PUNCT ADP PUNCT NOUN
From year to year they used the same handrails to go down into the past : lifting the cartwheel at the crossroads, the drilling sessions by the river, the first ambush, marching at night between the safe houses, the different characters in the houses, the food, the girls …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	ADP NOUN ADP NOUN PRON VERB DET ADJ NOUN PART VERB PART ADP DET NOUN PUNCT VERB DET NOUN ADP DET NOUN DET NOUN NOUN ADP DET NOUN DET ADJ NOUN VERB ADP NOUN ADP DET ADJ NOUN DET ADJ NOUN ADP DET NOUN DET NOUN DET NOUN PUNCT
I threw myself into the ditch as two further explosions occurred, this time at the crossroads just ahead of the jeep.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	at the crossroads	literal	identical	PRON VERB PRON ADP DET NOUN ADP NUM ADJ NOUN VERB DET NOUN ADP DET NOUN ADV ADV ADP DET NOUN
The accident happened when the van turned right at the Great Stainton crossroads towards Newton Aycliffe and was hit by a car driven by Paul Scott, 40, of St Edmund's Green, Sedgefield.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	insertion-other	DET NOUN VERB ADV DET NOUN VERB ADV ADP DET PROPN PROPN NOUN ADP PROPN PROPN CCONJ VERB VERB ADP DET NOUN VERB ADP PROPN PROPN NUM ADP PROPN PROPN PROPN PROPN
She stopped at the crossroads that took her towards her house and, instead of going right, as she normally would, went left towards the outskirts of Grantley.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	at the crossroads	literal	identical	PRON VERB ADP DET NOUN ADJ VERB PRON ADP ADJ NOUN CCONJ ADV ADP VERB ADV ADP PRON ADV VERB VERB VERB ADP DET NOUN ADP PROPN
By 16 February, on the eve of the elections, Nizan described Spain as being at the " crossroads of fascism and liberty ".	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	at the crossroads	figurative	dashes	ADP NUM PROPN ADP DET NOUN ADP DET NOUN PROPN VERB PROPN ADP VERB ADP DET PUNCT NOUN ADP NOUN CCONJ NOUN PUNCT
