They looked rough and ready.	0 0 1 1 1	rough and ready	figurative	identical	PRON VERB ADJ CCONJ ADJ
Few of us would want cream distemper with rough and ready dark graining — except perhaps in a listed building or outside privy.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	ADJ ADP PRON VERB VERB NOUN ADJ ADP ADJ CCONJ ADJ ADJ NOUN PUNCT ADP ADV ADP DET VERB NOUN CCONJ ADJ NOUN
As a rough - and - ready guide, one can think of these gestural usages as requiring at least a video - tape of the speech event if the proper interpretation is to be available from a recording.	0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN PRON VERB VERB ADP DET ADJ NOUN ADP VERB ADP ADJ DET NOUN PUNCT NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN VERB PART VERB ADJ ADP DET NOUN
The 24-year - old David Stirling was no rough and ready brawling cut - throat though, in spite of his thirst for coming to grips with the enemy.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET NUM PUNCT ADJ PROPN PROPN VERB DET ADJ CCONJ ADJ NOUN NOUN PUNCT NOUN ADV ADP NOUN ADP ADJ NOUN ADP VERB ADP NOUN ADP DET NOUN
He's a rough and ready man isn't he?	0 0 1 1 1 0 0 0	rough and ready	figurative	identical	PRON DET ADJ CCONJ ADJ NOUN VERB PRON
His vision is to bring soul music to Dublin, and he sets out to bring together a band with raw potential and rough and ready talent.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	rough and ready	figurative	identical	ADJ NOUN VERB PART VERB NOUN NOUN ADP PROPN CCONJ PRON VERB PART PART VERB ADV DET NOUN ADP ADJ NOUN CCONJ ADJ CCONJ ADJ NOUN
This tiny hamlet, which has less than 100 inhabitants, was once a stopping - off - point on the pilgrim route and the church, though restored from a state of picturesque dilapidation early in this century, is still rough - and - ready twelfth - century, squat in shape and only about twenty yards long from doorway to apse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET ADJ NOUN ADJ VERB ADJ ADP NUM NOUN VERB ADV DET VERB PUNCT ADP PUNCT NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADP VERB ADP DET NOUN ADP ADJ NOUN ADV ADP DET NOUN VERB ADV ADJ PUNCT CCONJ PUNCT ADJ ADJ PUNCT NOUN ADJ ADP NOUN CCONJ ADV ADP NUM NOUN ADJ ADP NOUN ADP NOUN
My point, in this rough - and - ready example, is to isolate certain basic impulses which appear not to be dependent upon others.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	ADJ NOUN ADP DET ADJ PUNCT CCONJ PUNCT ADJ NOUN VERB PART VERB ADJ ADJ NOUN ADJ VERB ADV PART VERB ADJ ADP NOUN
A bit rough and ready and with a highly incorrect attitude to women, but amusing, in a raw kind of way ; a man's man.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	identical	DET NOUN ADJ CCONJ ADJ CCONJ ADP DET ADV ADJ NOUN ADP NOUN CCONJ ADJ ADP DET ADJ NOUN ADP NOUN PUNCT DET NOUN NOUN
None of that extra quality, whatever it was, which had got the business going in the first place, which had ensured John - William success in those early rough - and - ready days of colossal risks and colossal returns, when so many had failed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	NOUN ADP DET ADJ NOUN ADJ PRON VERB ADJ VERB VERB DET NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB PROPN PUNCT PROPN NOUN ADP DET ADJ ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADV ADV ADJ VERB VERB
THE latest version of The Economist's rough - and - ready guide to relative currency values, our annual Big Mac index, published in April, showed that the Hong Kong dollar was the currency most out of line with the American dollar.	0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rough and ready	figurative	dashes	DET ADJ NOUN ADP PROPN PROPN ADJ PUNCT CCONJ PUNCT ADJ NOUN ADP ADJ NOUN NOUN ADJ ADJ PROPN PROPN NOUN VERB ADP PROPN VERB ADP DET PROPN PROPN NOUN VERB DET NOUN ADV ADP ADP NOUN ADP DET ADJ NOUN
