She's a real live wire.	0 0 0 1 1	live wire	figurative	identical	PRON DET ADJ ADJ NOUN	▁She ' s ▁a ▁real ▁live ▁wire .	0 0 0 0 0 1 1 1	PRON PRON PRON DET ADJ ADJ NOUN NOUN
He was an ex - barrister, a very live wire, who could justly claim to be the founder of the present vastly expanded business.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PRON VERB DET NUM PUNCT NOUN DET ADV ADJ NOUN NOUN VERB ADV VERB PART VERB DET NOUN ADP DET ADJ ADV VERB NOUN	▁He ▁was ▁an ▁ex ▁- ▁bar r ister , ▁a ▁very ▁live ▁wire , ▁who ▁could ▁just ly ▁claim ▁to ▁be ▁the ▁founder ▁of ▁the ▁present ▁vast ly ▁expanded ▁business .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NUM PUNCT NOUN NOUN NOUN NOUN DET ADV ADJ NOUN NOUN NOUN VERB ADV ADV VERB PART VERB DET NOUN ADP DET ADJ ADV ADV VERB NOUN NOUN
Sticky tape and live wires	0 0 0 1 1	live wire	literal	inflection	ADJ NOUN CCONJ ADJ NOUN	▁S tic ky ▁tape ▁and ▁live ▁wires	0 0 0 0 0 1 1	ADJ ADJ ADJ NOUN CCONJ ADJ NOUN
The whole machine was acting like a live electric wire.	0 0 0 0 0 0 0 1 0 1	live wire	literal	insertion-other	DET ADJ NOUN VERB VERB ADP DET ADJ ADJ NOUN	▁The ▁whole ▁machine ▁was ▁acting ▁like ▁a ▁live ▁electric ▁wire .	0 0 0 0 0 0 0 1 0 1 1	DET ADJ NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN
This senses the current flowing in the live and neutral wires and cuts off the electricity if there is a fault anywhere in the circuit.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	literal	combined-inflection	DET VERB DET NOUN VERB ADP DET ADJ CCONJ ADJ NOUN CCONJ VERB PART DET NOUN ADP ADV VERB DET NOUN ADV ADP DET NOUN	▁This ▁sense s ▁the ▁current ▁flow ing ▁in ▁the ▁live ▁and ▁neutral ▁wires ▁and ▁cuts ▁off ▁the ▁electricity ▁if ▁there ▁is ▁a ▁fault ▁anywhere ▁in ▁the ▁circuit .	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB DET NOUN VERB VERB ADP DET ADJ CCONJ ADJ NOUN CCONJ VERB PART DET NOUN ADP ADV VERB DET NOUN ADV ADP DET NOUN NOUN
‘ He is very much a live wire, and he has great courage,’ said David Tweedie, the ASB's chairman, who was chairman of the APC when Mr Brindle was deputy chairman.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PUNCT PRON VERB ADV ADV DET ADJ NOUN CCONJ PRON VERB ADJ NOUN VERB PROPN PROPN DET PROPN NOUN NOUN VERB NOUN ADP DET PROPN ADV PROPN PROPN VERB NOUN NOUN	▁ ‘ ▁He ▁is ▁very ▁much ▁a ▁live ▁wire , ▁and ▁he ▁has ▁great ▁courage , ’ ▁said ▁David ▁T we ed ie , ▁the ▁AS B ' s ▁chairman , ▁who ▁was ▁chairman ▁of ▁the ▁A PC ▁when ▁Mr ▁Br ind le ▁was ▁deputy ▁chairman .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB ADV ADV DET ADJ NOUN NOUN CCONJ PRON VERB ADJ NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN PROPN PROPN DET PROPN PROPN PROPN PROPN NOUN NOUN NOUN VERB NOUN ADP DET PROPN PROPN ADV PROPN PROPN PROPN PROPN VERB NOUN NOUN NOUN
A sports writer who might previously have written ‘ a live wire mid field man’(one who shows much sports man ship, presumably ) actually took the trouble to put ‘ livewire midfieldman’.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	DET NOUN NOUN NOUN VERB ADV VERB VERB PRON DET ADJ NOUN ADJ NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN ADV PUNCT ADV VERB DET NOUN PART VERB PUNCT ADJ ADJ	▁A ▁sports ▁writer ▁who ▁might ▁previously ▁have ▁written ▁ ‘ ▁a ▁live ▁wire ▁mid ▁field ▁man ’ ( one ▁who ▁shows ▁much ▁sports ▁man ▁ship , ▁presum ably ▁ ) ▁actually ▁took ▁the ▁trouble ▁to ▁put ▁ ‘ ▁live wire ▁mid field man ’ .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB ADV VERB VERB PRON PRON DET ADJ NOUN ADJ NOUN NOUN NOUN NOUN NOUN NOUN VERB ADJ NOUN NOUN NOUN NOUN ADV ADV PUNCT PUNCT ADV VERB DET NOUN PART VERB PUNCT PUNCT ADJ ADJ ADJ ADJ ADJ ADJ ADJ
I, things keep going through my head every time my head's like it got this little what do you call it in, one of those erm like a live wire, just keeps going up and down and all the time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PRON NOUN VERB VERB ADP ADJ NOUN DET NOUN ADJ NOUN ADP PRON VERB DET ADJ NOUN VERB PRON VERB PRON PART NUM ADP DET NOUN ADP DET ADJ NOUN ADV VERB VERB ADV CCONJ ADV CCONJ ADJ DET NOUN	▁I , ▁things ▁keep ▁going ▁through ▁my ▁head ▁every ▁time ▁my ▁head ' s ▁like ▁it ▁got ▁this ▁little ▁what ▁do ▁you ▁call ▁it ▁in , ▁one ▁of ▁those ▁er m ▁like ▁a ▁live ▁wire , ▁just ▁keeps ▁going ▁up ▁and ▁down ▁and ▁all ▁the ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON PRON NOUN VERB VERB ADP ADJ NOUN DET NOUN ADJ NOUN NOUN NOUN ADP PRON VERB DET ADJ NOUN VERB PRON VERB PRON PART PART NUM ADP DET NOUN NOUN ADP DET ADJ NOUN NOUN ADV VERB VERB ADV CCONJ ADV CCONJ ADJ DET NOUN NOUN
Claudia jumped up and put her hand on his, snatching it away as her nerves reacted as if she had touched a live wire.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	live wire	literal	identical	NOUN VERB PART CCONJ VERB ADJ NOUN ADP ADJ VERB PRON ADV ADP ADJ NOUN VERB ADP ADP PRON VERB VERB DET ADJ NOUN	▁C lau dia ▁jump ed ▁up ▁and ▁put ▁her ▁hand ▁on ▁his , ▁s nat ching ▁it ▁away ▁as ▁her ▁nerve s ▁reacted ▁as ▁if ▁she ▁had ▁touched ▁a ▁live ▁wire .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN NOUN NOUN VERB VERB PART CCONJ VERB ADJ NOUN ADP ADJ ADJ VERB VERB VERB PRON ADV ADP ADJ NOUN NOUN VERB ADP ADP PRON VERB VERB DET ADJ NOUN NOUN
Kite and team identity must be relayed to the spectators with live - wire intensity.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	live wire	figurative	dashes	VERB CCONJ NOUN NOUN VERB VERB VERB ADP DET NOUN ADP ADJ PUNCT NOUN NOUN	▁K ite ▁and ▁team ▁identity ▁must ▁be ▁relay ed ▁to ▁the ▁spect ators ▁with ▁live ▁- ▁wire ▁intensity .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	VERB VERB CCONJ NOUN NOUN VERB VERB VERB VERB ADP DET NOUN NOUN ADP ADJ PUNCT NOUN NOUN NOUN
A nervy man in an electric - blue Anzio suit, his body a twitching live - wire but poorly earthed to the keyboard of his computer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	live wire	figurative	dashes	DET ADJ NOUN ADP DET ADJ PUNCT ADJ PROPN NOUN ADJ NOUN DET VERB ADJ PUNCT NOUN CCONJ ADV VERB ADP DET NOUN ADP ADJ NOUN	▁A ▁ner vy ▁man ▁in ▁an ▁electric ▁- ▁blue ▁An zio ▁suit , ▁his ▁body ▁a ▁t w itch ing ▁live ▁- ▁wire ▁but ▁poorly ▁earth ed ▁to ▁the ▁keyboard ▁of ▁his ▁computer .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ NOUN ADP DET ADJ PUNCT ADJ PROPN PROPN NOUN NOUN ADJ NOUN DET VERB VERB VERB VERB ADJ PUNCT NOUN CCONJ ADV VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN
REMEMBER — Live electrical wires can kill.	0 0 1 0 1 0 0	live wire	literal	combined-inflection	VERB PUNCT VERB ADJ NOUN VERB VERB	▁RE M EMBER ▁ — ▁Live ▁electrical ▁wires ▁can ▁kill .	0 0 0 0 0 1 0 1 0 0 0	VERB VERB VERB PUNCT PUNCT VERB ADJ NOUN VERB VERB VERB
Abingdon got off to the best possible start when the live wire, Liam Herbert latched on to a ball in the penalty area, only to be brought down by Egham keeper, Paul Allis in the second minute.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	live wire	figurative	identical	PROPN VERB PART ADP DET ADJ ADJ NOUN ADV DET ADJ NOUN PROPN PROPN VERB PART ADP DET NOUN ADP DET NOUN NOUN ADV PART VERB VERB PART ADP PROPN NOUN PROPN PROPN ADP DET ADJ NOUN	▁Ab ing don ▁got ▁off ▁to ▁the ▁best ▁possible ▁start ▁when ▁the ▁live ▁wire , ▁Li am ▁Her bert ▁latch ed ▁on ▁to ▁a ▁ball ▁in ▁the ▁penalty ▁area , ▁only ▁to ▁be ▁brought ▁down ▁by ▁E g ham ▁keeper , ▁Paul ▁All is ▁in ▁the ▁second ▁minute .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB PART ADP DET ADJ ADJ NOUN ADV DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB PART ADP DET NOUN ADP DET NOUN NOUN NOUN ADV PART VERB VERB PART ADP PROPN PROPN PROPN NOUN NOUN PROPN PROPN PROPN ADP DET ADJ NOUN NOUN
Trading standards officers say the hot brush styler, made in the Far East has faulty insulation which has exposed live wires.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	live wire	literal	inflection	NOUN NOUN NOUN VERB DET ADJ NOUN NOUN VERB ADP DET PROPN PROPN VERB ADJ NOUN ADJ VERB VERB ADJ NOUN	▁Trading ▁standards ▁officers ▁say ▁the ▁hot ▁brush ▁style r , ▁made ▁in ▁the ▁Far ▁East ▁has ▁fault y ▁insulation ▁which ▁has ▁exposed ▁live ▁wires .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	NOUN NOUN NOUN VERB DET ADJ NOUN NOUN NOUN NOUN VERB ADP DET PROPN PROPN VERB ADJ ADJ NOUN ADJ VERB VERB ADJ NOUN NOUN
‘ Look at this fruit cake,’ said Pickerage, the live wire of the boarding annexe.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	live wire	figurative	identical	PUNCT VERB ADP DET NOUN NOUN VERB NOUN DET ADJ NOUN ADP DET VERB ADV	▁ ‘ ▁Look ▁at ▁this ▁fruit ▁cake , ’ ▁said ▁Pi cker age , ▁the ▁live ▁wire ▁of ▁the ▁boarding ▁annex e .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PUNCT PUNCT VERB ADP DET NOUN NOUN NOUN NOUN VERB NOUN NOUN NOUN NOUN DET ADJ NOUN ADP DET VERB ADV ADV ADV
