And there will be no danger of fans taking a shine to the ‘ special effects’.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	inflection	CCONJ ADV VERB VERB DET NOUN ADP NOUN VERB DET NOUN ADP DET ADJ ADJ NOUN	▁And ▁there ▁will ▁be ▁no ▁danger ▁of ▁fans ▁taking ▁a ▁sh ine ▁to ▁the ▁ ‘ ▁special ▁effects ’ .	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	CCONJ ADV VERB VERB DET NOUN ADP NOUN VERB DET NOUN NOUN ADP DET ADJ ADJ ADJ NOUN NOUN NOUN
Baloo the bear takes a shine to his mancub friend Mowgli in The Jungle Book.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PROPN DET NOUN VERB DET NOUN ADP ADJ NOUN NOUN PROPN ADP DET PROPN PROPN	▁Bal oo ▁the ▁bear ▁takes ▁a ▁sh ine ▁to ▁his ▁man cu b ▁friend ▁M ow gli ▁in ▁The ▁Jun gle ▁Book .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN DET NOUN VERB DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN PROPN PROPN PROPN ADP DET PROPN PROPN PROPN PROPN
When I was political editor of the Daily Mirror, Maxwell took a shine to this hat and asked me to get him one identical to it.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	ADV PRON VERB ADJ NOUN ADP DET PROPN PROPN PROPN VERB DET NOUN ADP DET NOUN CCONJ VERB PRON PART VERB PRON NUM ADJ ADP PRON	▁When ▁I ▁was ▁political ▁editor ▁of ▁the ▁Daily ▁M irr or , ▁Max well ▁took ▁a ▁sh ine ▁to ▁this ▁hat ▁and ▁asked ▁me ▁to ▁get ▁him ▁one ▁identical ▁to ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB ADJ NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADP DET NOUN CCONJ VERB PRON PART VERB PRON NUM ADJ ADP PRON PRON
There were times, though, when he rather hoped a working - class bloke would take a shine to his wife and beat the hell out of her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a shine to	figurative	identical	ADV VERB NOUN ADV ADV PRON ADV VERB DET VERB PUNCT NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET NOUN ADP ADP PRON	▁There ▁were ▁times , ▁though , ▁when ▁he ▁rather ▁hoped ▁a ▁working ▁- ▁class ▁b lo ke ▁would ▁take ▁a ▁sh ine ▁to ▁his ▁wife ▁and ▁beat ▁the ▁he ll ▁out ▁of ▁her .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV VERB NOUN NOUN ADV ADV ADV PRON ADV VERB DET VERB PUNCT NOUN NOUN NOUN NOUN VERB VERB DET NOUN NOUN ADP ADJ NOUN CCONJ VERB DET NOUN NOUN ADP ADP PRON PRON
‘ Well, she's usually particular who rides Leopold, but she seems to have taken a shine to the boy.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0	take a shine to	figurative	inflection	PUNCT INTJ PRON ADV ADJ NOUN VERB PROPN CCONJ PRON VERB PART VERB VERB DET NOUN ADP DET NOUN	▁ ‘ ▁Well , ▁she ' s ▁usually ▁particular ▁who ▁rid es ▁Le opol d , ▁but ▁she ▁seems ▁to ▁have ▁taken ▁a ▁sh ine ▁to ▁the ▁boy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0	PUNCT PUNCT INTJ INTJ PRON PRON PRON ADV ADJ NOUN VERB VERB PROPN PROPN PROPN PROPN CCONJ PRON VERB PART VERB VERB DET NOUN NOUN ADP DET NOUN NOUN
And she warned that not all viewers will take a shine to their taste for booze, cocaine and bed - hopping.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	take a shine to	figurative	identical	CCONJ PRON VERB ADP ADV DET NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN NOUN CCONJ NOUN PUNCT VERB	▁And ▁she ▁warned ▁that ▁not ▁all ▁view ers ▁will ▁take ▁a ▁sh ine ▁to ▁their ▁taste ▁for ▁bo oz e , ▁cocaine ▁and ▁be d ▁- ▁ hopping .	0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADP ADV DET NOUN NOUN VERB VERB DET NOUN NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN PUNCT VERB VERB VERB
SPINSTER Nina Vessey took a shine to her window cleaner — and left him £ 170,000 in her will.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN NOUN PUNCT CCONJ VERB PRON SYM NUM ADP ADJ NOUN	▁SP INS TER ▁N ina ▁V esse y ▁took ▁a ▁sh ine ▁to ▁her ▁window ▁cleaner ▁ — ▁and ▁left ▁him ▁£ ▁17 0,000 ▁in ▁her ▁will .	0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADP ADJ NOUN NOUN PUNCT PUNCT CCONJ VERB PRON SYM NUM NUM ADP ADJ NOUN NOUN
‘ You haven't taken a shine to the girl, have you?’	0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	inflection	PUNCT PRON VERB VERB DET NOUN ADP DET NOUN VERB NOUN	▁ ‘ ▁You ▁have n ' t ▁taken ▁a ▁sh ine ▁to ▁the ▁girl , ▁have ▁you ? ’	0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB VERB VERB DET NOUN NOUN ADP DET NOUN NOUN VERB NOUN NOUN NOUN
The Spaniard had taken a shine to Angela.	0 0 0 1 0 1 1 0	take a shine to	figurative	inflection	DET PROPN VERB VERB DET NOUN ADP PROPN	▁The ▁Spaniard ▁had ▁taken ▁a ▁sh ine ▁to ▁Angel a .	0 0 0 1 0 1 1 1 0 0 0	DET PROPN VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN
It's clear that ace coach Eddie Futch has taken a shine to him.	0 0 0 0 0 0 0 0 1 0 1 1 0	take a shine to	figurative	inflection	PRON ADJ ADP NOUN NOUN PROPN PROPN VERB VERB DET NOUN ADP PRON	▁It ' s ▁clear ▁that ▁a ce ▁coach ▁E dd ie ▁Fu tch ▁has ▁taken ▁a ▁sh ine ▁to ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0	PRON PRON PRON ADJ ADP NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN NOUN ADP PRON PRON
Hamish would take a shine to the duffle - coat.	0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	identical	PROPN VERB VERB DET NOUN ADP DET NOUN PUNCT NOUN	▁Ham ish ▁would ▁take ▁a ▁sh ine ▁to ▁the ▁d uff le ▁- ▁coat .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0	PROPN PROPN VERB VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN PUNCT NOUN NOUN
Whether it's boots or shoes, slip - ons or sandals, you 're bound to take a shine to the latest in leather.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0	take a shine to	figurative	identical	ADP PRON NOUN CCONJ NOUN NOUN PUNCT NOUN CCONJ NOUN PRON VERB VERB PART VERB DET NOUN ADP DET ADJ ADP NOUN	▁W hether ▁it ' s ▁boot s ▁or ▁shoes , ▁slip ▁- ▁on s ▁or ▁sand al s , ▁you ▁' re ▁bound ▁to ▁take ▁a ▁sh ine ▁to ▁the ▁latest ▁in ▁leather .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0	ADP ADP PRON PRON PRON NOUN NOUN CCONJ NOUN NOUN NOUN PUNCT NOUN NOUN CCONJ NOUN NOUN NOUN NOUN PRON VERB VERB VERB PART VERB DET NOUN NOUN ADP DET ADJ ADP NOUN NOUN
She 'd taken a shine to Tom Rudge whom she now knew to be an apprentice fitter, as was Cyril, his mate.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PRON VERB VERB DET NOUN ADP PROPN PROPN NOUN PRON ADV VERB PART VERB DET NOUN NOUN ADP VERB PROPN ADJ NOUN	▁She ▁' d ▁taken ▁a ▁sh ine ▁to ▁Tom ▁R udge ▁whom ▁she ▁now ▁knew ▁to ▁be ▁an ▁apprentice ▁fit ter , ▁as ▁was ▁C y ril , ▁his ▁mate .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN NOUN PRON ADV VERB PART VERB DET NOUN NOUN NOUN NOUN ADP VERB PROPN PROPN PROPN PROPN ADJ NOUN NOUN
He must have taken a shine to the jacket because he turned the corner — and never came back leaving the police red - faced.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a shine to	figurative	inflection	PRON VERB VERB VERB DET NOUN ADP DET NOUN ADP PRON VERB DET NOUN PUNCT CCONJ ADV VERB ADV VERB DET NOUN ADJ PUNCT ADJ	▁He ▁must ▁have ▁taken ▁a ▁sh ine ▁to ▁the ▁ jacket ▁because ▁he ▁turned ▁the ▁corner ▁ — ▁and ▁never ▁came ▁back ▁leaving ▁the ▁police ▁red ▁- ▁faced .	0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB DET NOUN NOUN ADP DET NOUN NOUN ADP PRON VERB DET NOUN PUNCT PUNCT CCONJ ADV VERB ADV VERB DET NOUN ADJ PUNCT ADJ ADJ
