You 've got to put your foot down!	0 0 0 0 1 1 1 1	put your foot down	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN PART	▁You ▁' ve ▁got ▁to ▁put ▁your ▁foot ▁down !	0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB PART VERB ADJ NOUN PART PART
Sometimes you have to put your foot down and say no, a contract is a contract.’	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	put your foot down	figurative	identical	ADV PRON VERB PART VERB ADJ NOUN PART CCONJ VERB INTJ DET NOUN VERB DET NOUN	▁Sometimes ▁you ▁have ▁to ▁put ▁your ▁foot ▁down ▁and ▁say ▁no , ▁a ▁contract ▁is ▁a ▁contract . ’	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB PART VERB ADJ NOUN PART CCONJ VERB INTJ INTJ DET NOUN VERB DET NOUN NOUN NOUN
You 've got to put your foot down!	0 0 0 0 1 1 1 1	put your foot down	figurative	identical	PRON VERB VERB PART VERB ADJ NOUN PART	▁You ▁' ve ▁got ▁to ▁put ▁your ▁foot ▁down !	0 0 0 0 0 1 1 1 1 1	PRON VERB VERB VERB PART VERB ADJ NOUN PART PART
You simply use the Walking Diet, put your foot down, and clock up the necessary aerobic miles to get you back to your goal weight.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put your foot down	figurative	identical	PRON ADV VERB DET PROPN PROPN VERB ADJ NOUN PART CCONJ VERB PART DET ADJ ADJ NOUN PART VERB PRON ADV ADP ADJ NOUN NOUN	▁You ▁simply ▁use ▁the ▁W alk ing ▁Diet , ▁put ▁your ▁foot ▁down , ▁and ▁clock ▁up ▁the ▁necessary ▁aerobic ▁miles ▁to ▁get ▁you ▁back ▁to ▁your ▁goal ▁weight .	0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET PROPN PROPN PROPN PROPN PROPN VERB ADJ NOUN PART PART CCONJ VERB PART DET ADJ ADJ NOUN PART VERB PRON ADV ADP ADJ NOUN NOUN NOUN
I 'm telling you ; you want to put your foot down.’	0 0 0 0 0 0 0 0 1 1 1 1	put your foot down	figurative	dashes	PRON VERB VERB PRON PUNCT PRON VERB PART VERB ADJ NOUN NOUN	▁I ▁' m ▁telling ▁you ▁ ; ▁you ▁want ▁to ▁put ▁your ▁foot ▁down . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PRON VERB VERB VERB PRON PUNCT PUNCT PRON VERB PART VERB ADJ NOUN NOUN NOUN NOUN
You want biscuits, well we 've got some biscuits, but you 'll just have to wait a minute, I can't unpack everything now, alright, right let's see if we can find the car Get you two in the car first I think, right then, oh, what a heavy trolley full of food Oh dear, dear, dear, will you please put your feet down Charlotte, stop me being kicked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	put your foot down	literal	inflection	PRON VERB NOUN INTJ PRON VERB VERB DET NOUN CCONJ PRON VERB ADV VERB PART VERB DET NOUN PRON VERB VERB NOUN ADV INTJ INTJ VERB VERB ADP PRON VERB VERB DET NOUN VERB PRON NUM ADP DET NOUN ADV PRON VERB ADV ADV INTJ ADJ DET ADJ NOUN ADJ ADP NOUN INTJ ADJ ADJ ADJ VERB PRON INTJ VERB ADJ NOUN ADP PROPN VERB PRON VERB VERB	▁You ▁want ▁biscuits , ▁well ▁we ▁' ve ▁got ▁some ▁biscuits , ▁but ▁you ▁' ll ▁just ▁have ▁to ▁wait ▁a ▁minute , ▁I ▁can ' t ▁un pack ▁everything ▁now , ▁al right , ▁right ▁let ' s ▁see ▁if ▁we ▁can ▁find ▁the ▁car ▁G et ▁you ▁two ▁in ▁the ▁car ▁first ▁I ▁think , ▁right ▁then , ▁ oh , ▁what ▁a ▁heavy ▁trolley ▁full ▁of ▁food ▁O h ▁dear , ▁dear , ▁dear , ▁will ▁you ▁please ▁put ▁your ▁feet ▁down ▁Char l otte , ▁stop ▁me ▁being ▁kick ed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB NOUN NOUN INTJ PRON VERB VERB VERB DET NOUN NOUN CCONJ PRON VERB VERB ADV VERB PART VERB DET NOUN NOUN PRON VERB VERB VERB VERB VERB NOUN ADV ADV INTJ INTJ INTJ INTJ VERB VERB VERB VERB ADP PRON VERB VERB DET NOUN VERB VERB PRON NUM ADP DET NOUN ADV PRON VERB VERB ADV ADV ADV INTJ INTJ INTJ ADJ DET ADJ NOUN ADJ ADP NOUN INTJ INTJ ADJ ADJ ADJ ADJ ADJ ADJ VERB PRON INTJ VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN VERB PRON VERB VERB VERB VERB
‘ I thought you 'd be putting your foot down,’ she said, gazing out of the window.	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	put your foot down	figurative	combined-inflection	PUNCT PRON VERB PRON VERB VERB VERB ADJ NOUN VERB PRON VERB VERB ADP ADP DET NOUN	▁ ‘ ▁I ▁thought ▁you ▁' d ▁be ▁putting ▁your ▁foot ▁down , ’ ▁she ▁said , ▁g az ing ▁out ▁of ▁the ▁window .	0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB PRON VERB VERB VERB VERB ADJ NOUN VERB VERB VERB PRON VERB VERB VERB VERB VERB ADP ADP DET NOUN NOUN
‘ As soon as you get round the corner, put your foot down for a couple of blocks.	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	put your foot down	figurative	identical	PUNCT ADV ADV ADP PRON VERB ADP DET NOUN VERB ADJ NOUN PART ADP DET NOUN ADP NOUN	▁ ‘ ▁As ▁soon ▁as ▁you ▁get ▁round ▁the ▁corner , ▁put ▁your ▁foot ▁down ▁for ▁a ▁couple ▁of ▁blocks .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0	PUNCT PUNCT ADV ADV ADP PRON VERB ADP DET NOUN NOUN VERB ADJ NOUN PART ADP DET NOUN ADP NOUN NOUN
Erm no frictional resis resistance, you just put your foot down and it's, you know where a car accelerates from rest	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	put your foot down	figurative	identical	ADV DET ADJ NOUN NOUN PRON ADV VERB ADJ NOUN PART CCONJ PRON PRON VERB ADV DET NOUN VERB ADP NOUN	▁E rm ▁no ▁friction al ▁re sis ▁resistance , ▁you ▁just ▁put ▁your ▁foot ▁down ▁and ▁it ' s , ▁you ▁know ▁where ▁a ▁car ▁accelerate s ▁from ▁rest	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET ADJ ADJ NOUN NOUN NOUN NOUN PRON ADV VERB ADJ NOUN PART CCONJ PRON PRON PRON PRON PRON VERB ADV DET NOUN VERB VERB ADP NOUN
I mean if you buy, put your foot down.	0 0 0 0 0 1 1 1 1	put your foot down	figurative	identical	PRON VERB ADP PRON VERB VERB ADJ NOUN PART	▁I ▁mean ▁if ▁you ▁buy , ▁put ▁your ▁foot ▁down .	0 0 0 0 0 0 1 1 1 1 1	PRON VERB ADP PRON VERB VERB VERB ADJ NOUN PART PART
If you want to put your foot down then I wouldn't have thought that was the car you wanted.	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put your foot down	figurative	identical	ADP PRON VERB PART VERB ADJ NOUN PART ADV PRON VERB VERB VERB ADJ VERB DET NOUN PRON VERB	▁If ▁you ▁want ▁to ▁put ▁your ▁foot ▁down ▁then ▁I ▁would n ' t ▁have ▁thought ▁that ▁was ▁the ▁car ▁you ▁wanted .	0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB PART VERB ADJ NOUN PART ADV PRON VERB VERB VERB VERB VERB VERB ADJ VERB DET NOUN PRON VERB VERB
