It was only three minutes down the road, and Jim always had a storehouse of odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	PRON VERB ADV NUM NOUN ADP DET NOUN CCONJ PROPN ADV VERB DET NOUN ADP NOUN CCONJ NOUN
Readers may also recall that in this new volume of the journal we are introducing an occasional unrefereed series of short features entitled ‘ EP - odds and ends’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	dashes	NOUN VERB ADV VERB ADP ADP DET ADJ NOUN ADP DET NOUN PRON VERB VERB DET ADJ NOUN NOUN ADP ADJ NOUN VERB ADJ NOUN PUNCT NOUN CCONJ VERB
I was brought rudely back to the real world by Tony's tripod coming off the top of the pile of clatch ( odds and ends ) piled up above the seat and hitting me on the head as the truck lurched to a halt, diving itself into a drift of deep snow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	PRON VERB VERB ADV ADV ADP DET ADJ NOUN ADP PROPN NOUN VERB ADP DET NOUN ADP DET NOUN ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT VERB PART ADP DET NOUN CCONJ VERB PRON ADP DET NOUN ADP DET NOUN VERB ADP DET NOUN VERB PRON ADP DET NOUN ADP ADJ NOUN
There were no pictures on the walls but on the mantelpiece, amongst a random collection of odds and ends, there was a framed photograph of an elderly woman ; her hair was gathered into an old - fashioned bun on the top of her head ; she had a smooth, rather spoilt face and an expression of absolute serenity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	ADV VERB DET NOUN ADP DET NOUN CCONJ ADP DET NOUN ADP DET ADJ NOUN ADP NOUN CCONJ NOUN ADV VERB DET VERB NOUN ADP DET ADJ NOUN PUNCT ADJ NOUN VERB VERB ADP DET ADJ PUNCT ADJ NOUN ADP DET NOUN ADP ADJ NOUN PUNCT PRON VERB DET ADJ ADV VERB NOUN CCONJ DET NOUN ADP ADJ NOUN
Whichever way you decide to produce your holiday movie you still need some kind of broad action - plan in your mind ; without this, you will inevitably find that you have filled the tape with a lot of unrelated odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	ADJ NOUN PRON VERB PART VERB ADJ NOUN NOUN PRON ADV VERB DET NOUN ADP ADJ NOUN PUNCT NOUN ADP ADJ NOUN PUNCT ADP DET PRON VERB ADV VERB ADP PRON VERB VERB DET NOUN ADP DET NOUN ADP ADJ NOUN CCONJ NOUN
This case was full of odds and ends that didn't fit together.	0 0 0 0 0 1 1 1 0 0 0 0	odds and ends	figurative	identical	DET NOUN VERB ADJ ADP NOUN CCONJ NOUN ADJ VERB VERB ADV
Look for one with a detachable changing mat ( all ours had them ), and lots of pockets to prevent odds and ends getting jumbled up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	odds and ends	figurative	identical	VERB ADP NUM ADP DET ADJ ADJ NOUN PUNCT DET NOUN VERB PRON PUNCT CCONJ NOUN ADP NOUN PART VERB NOUN CCONJ VERB VERB VERB PART
Erm, let me just erm of the, of the change, the five million change it's, it's in accounts for over four and there is small odds and ends changes otherwise.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	odds and ends	figurative	identical	INTJ VERB PRON ADV ADV ADP DET ADP DET NOUN DET NUM NUM NOUN PRON PRON ADP NOUN ADP ADP NUM CCONJ ADV VERB ADJ NOUN CCONJ VERB NOUN ADV
In this new lab of his he can knock together a human being out of the unlikeliest odds and ends.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	odds and ends	figurative	identical	ADP DET ADJ NOUN ADP ADJ PRON VERB VERB ADV DET NOUN VERB ADP ADP DET ADJ NOUN CCONJ NOUN
‘ Return To Sanity’ gathers together all the odds and ends from that session and, in so doing, provides the full picture of a band who probably deserved better treatment.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	odds and ends	figurative	identical	PUNCT NOUN ADP PROPN VERB ADV ADJ DET NOUN CCONJ NOUN ADP DET NOUN CCONJ ADP ADV VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADV VERB ADJ NOUN
Odds and ends	1 1 1	odds and ends	figurative	case	NOUN CCONJ NOUN
