Comic Jim hopes to kiss and make up	0 0 0 0 1 1 1 1	kiss and make up	figurative	identical	PROPN PROPN VERB PART VERB CCONJ VERB PART	▁Com ic ▁J im ▁hopes ▁to ▁k is s ▁and ▁make ▁up	0 0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN PROPN PROPN VERB PART VERB VERB VERB CCONJ VERB PART
Through her time of growing up, Miranda had had to talk so loud to interrupt the brawling, crying, canoodling jag that was her parent's marriage, to entertain so insistently in order to divert them from the partying, bickering, kiss - and - make - up affair that absorbed them totally, that she had become as deaf to tremors and to nuances as her former games mistress shouting ‘ Bombs Coming Over’ or ‘ Scrub the Decks’through a megaphone in the gym at the dim convent Miranda had been sent to for those three years of her childhood when the family had been in funds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	kiss and make up	figurative	dashes	ADP ADJ NOUN ADP VERB PART PROPN VERB VERB PART VERB ADV ADV PART VERB DET NOUN VERB VERB NOUN ADJ VERB ADJ NOUN NOUN PART VERB ADV ADV ADP NOUN PART VERB PRON ADP DET NOUN NOUN NOUN PUNCT CCONJ PUNCT VERB PUNCT PART NOUN ADJ VERB PRON ADV ADP PRON VERB VERB ADP ADJ ADP NOUN CCONJ ADP NOUN ADP ADJ ADJ NOUN NOUN VERB PUNCT NOUN VERB ADJ CCONJ PUNCT NOUN DET PROPN DET NOUN ADP DET NOUN ADP DET ADJ NOUN PROPN VERB VERB VERB ADP ADP DET NUM NOUN ADP ADJ NOUN ADV DET NOUN VERB VERB ADP NOUN	▁Through ▁her ▁time ▁of ▁growing ▁up , ▁Miranda ▁had ▁had ▁to ▁talk ▁so ▁loud ▁to ▁interrupt ▁the ▁b raw ling , ▁cry ing , ▁can ood ling ▁ja g ▁that ▁was ▁her ▁parent ' s ▁marriage , ▁to ▁entertain ▁so ▁insist ently ▁in ▁order ▁to ▁divert ▁them ▁from ▁the ▁party ing , ▁bi cker ing , ▁k is s ▁- ▁and ▁- ▁make ▁- ▁up ▁affair ▁that ▁absorbed ▁them ▁totally , ▁that ▁she ▁had ▁become ▁as ▁deaf ▁to ▁tremor s ▁and ▁to ▁nu ance s ▁as ▁her ▁former ▁games ▁mis tress ▁shout ing ▁ ‘ ▁Bo mb s ▁Com ing ▁Over ’ ▁or ▁ ‘ ▁S cr ub ▁the ▁Dec ks ’ through ▁a ▁ mega phone ▁in ▁the ▁g ym ▁at ▁the ▁di m ▁conven t ▁Miranda ▁had ▁been ▁sent ▁to ▁for ▁those ▁three ▁years ▁of ▁her ▁childhood ▁when ▁the ▁family ▁had ▁been ▁in ▁funds .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADP VERB PART PART PROPN VERB VERB PART VERB ADV ADV PART VERB DET NOUN NOUN NOUN NOUN VERB VERB VERB VERB VERB VERB NOUN NOUN ADJ VERB ADJ NOUN NOUN NOUN NOUN NOUN PART VERB ADV ADV ADV ADP NOUN PART VERB PRON ADP DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN PUNCT CCONJ PUNCT VERB PUNCT PART NOUN ADJ VERB PRON ADV ADV ADP PRON VERB VERB ADP ADJ ADP NOUN NOUN CCONJ ADP NOUN NOUN NOUN ADP ADJ ADJ NOUN NOUN NOUN VERB VERB PUNCT PUNCT NOUN NOUN NOUN VERB VERB ADJ ADJ CCONJ PUNCT PUNCT NOUN NOUN NOUN DET PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADP DET NOUN NOUN ADP DET ADJ ADJ NOUN NOUN PROPN VERB VERB VERB ADP ADP DET NUM NOUN ADP ADJ NOUN ADV DET NOUN VERB VERB ADP NOUN NOUN
‘ Come now, pet, let's kiss and make up and I 'll tell you about him.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	kiss and make up	figurative	identical	PUNCT VERB ADV NOUN VERB VERB CCONJ VERB PART CCONJ PRON VERB VERB PRON ADP PRON	▁ ‘ ▁Com e ▁now , ▁pet , ▁let ' s ▁k is s ▁and ▁make ▁up ▁and ▁I ▁' ll ▁tell ▁you ▁about ▁him .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PUNCT PUNCT VERB VERB ADV ADV NOUN NOUN VERB VERB VERB VERB VERB VERB CCONJ VERB PART CCONJ PRON VERB VERB VERB PRON ADP PRON PRON
we will not be satisfied by the PLO leaders simply kissing and making up.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	kiss and make up	figurative	inflection	PRON VERB ADV VERB VERB ADP DET PROPN NOUN ADV VERB CCONJ VERB PART	▁we ▁will ▁not ▁be ▁satisfied ▁by ▁the ▁ PLO ▁leaders ▁simply ▁k is s ing ▁and ▁making ▁up .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1	PRON VERB ADV VERB VERB ADP DET PROPN PROPN NOUN ADV VERB VERB VERB VERB CCONJ VERB PART PART
The sensitive girl had a bright future after kissing and making up, he added.	0 0 0 0 0 0 0 0 1 1 1 1 0 0	kiss and make up	figurative	inflection	DET ADJ NOUN VERB DET ADJ NOUN ADP VERB CCONJ VERB PART PRON VERB	▁The ▁sensitive ▁girl ▁had ▁a ▁bright ▁future ▁after ▁k is s ing ▁and ▁making ▁up , ▁he ▁added .	0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0	DET ADJ NOUN VERB DET ADJ NOUN ADP VERB VERB VERB VERB CCONJ VERB PART PART PRON VERB VERB
We wouldn't kiss and make up later.	0 0 1 1 1 1 0	kiss and make up	figurative	identical	PRON VERB VERB CCONJ VERB PART ADV	▁We ▁would n ' t ▁k is s ▁and ▁make ▁up ▁later .	0 0 0 0 0 1 1 1 1 1 1 0 0	PRON VERB VERB VERB VERB VERB VERB VERB CCONJ VERB PART ADV ADV
They later kissed and made up when Ilona renounced her Love party tendencies.	0 0 1 1 1 1 0 0 0 0 0 0 0	kiss and make up	figurative	inflection	PRON ADV VERB CCONJ VERB PART ADV PROPN VERB ADJ PROPN NOUN NOUN	▁They ▁later ▁k isse d ▁and ▁made ▁up ▁when ▁I lon a ▁renounce d ▁her ▁Lo ve ▁party ▁tendencies .	0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB VERB CCONJ VERB PART ADV PROPN PROPN PROPN VERB VERB ADJ PROPN PROPN NOUN NOUN NOUN
‘ I made matters worse by — how do you say it?— by not kissing and making up before bedtime.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0	kiss and make up	figurative	inflection	PUNCT PRON VERB NOUN ADJ ADP PUNCT ADV VERB PRON VERB NOUN ADP ADV VERB CCONJ VERB PART ADP NOUN	▁ ‘ ▁I ▁made ▁matters ▁worse ▁by ▁ — ▁how ▁do ▁you ▁say ▁it ? — ▁by ▁not ▁k is s ing ▁and ▁making ▁up ▁before ▁be d time . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0	PUNCT PUNCT PRON VERB NOUN ADJ ADP PUNCT PUNCT ADV VERB PRON VERB NOUN NOUN NOUN ADP ADV VERB VERB VERB VERB CCONJ VERB PART ADP NOUN NOUN NOUN NOUN NOUN
Fry, dismissed by the 20-stone ticket - broker for the third time yesterday, won't be kissing and making up this time … he'll sue for wrongful dismissal.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	kiss and make up	figurative	inflection	PROPN VERB ADP DET NUM NOUN PUNCT NOUN ADP DET ADJ NOUN NOUN VERB VERB VERB CCONJ VERB PART DET NOUN PUNCT PRON VERB ADP ADJ NOUN	▁F ry , ▁dismissed ▁by ▁the ▁20 - stone ▁ticket ▁- ▁broker ▁for ▁the ▁third ▁time ▁yesterday , ▁won ' t ▁be ▁k is s ing ▁and ▁making ▁up ▁this ▁time ▁... ▁he ' ll ▁sue ▁for ▁wrongful ▁dismissal .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB ADP DET NUM NUM NUM NOUN PUNCT NOUN ADP DET ADJ NOUN NOUN NOUN VERB VERB VERB VERB VERB VERB VERB VERB CCONJ VERB PART DET NOUN PUNCT PRON PRON PRON VERB ADP ADJ NOUN NOUN
Seems a naive little bitch : very anxious to meet her famous sister again, and kiss and make up some pathetic family squabble.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	kiss and make up	figurative	identical	VERB DET ADJ ADJ NOUN PUNCT ADV ADJ PART VERB ADJ ADJ NOUN ADV CCONJ VERB CCONJ VERB PART DET ADJ NOUN NOUN	▁See ms ▁a ▁na ive ▁little ▁bit ch ▁ : ▁very ▁anxious ▁to ▁meet ▁her ▁famous ▁sister ▁again , ▁and ▁k is s ▁and ▁make ▁up ▁some ▁path etic ▁family ▁squa b ble . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	VERB VERB DET ADJ ADJ ADJ NOUN NOUN PUNCT PUNCT ADV ADJ PART VERB ADJ ADJ NOUN ADV ADV CCONJ VERB VERB VERB CCONJ VERB PART DET ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN
kiss and make up?	1 1 1 1	kiss and make up	figurative	identical	VERB CCONJ VERB PART	▁k is s ▁and ▁make ▁up ?	1 1 1 1 1 1 1	VERB VERB VERB CCONJ VERB PART PART
Builder Ken will kiss and make - up	0 0 0 1 1 1 0 0	kiss and make up	figurative	misc	NOUN PROPN VERB VERB CCONJ VERB PUNCT PART	▁B uil der ▁K en ▁will ▁k is s ▁and ▁make ▁- ▁up	0 0 0 0 0 0 1 1 1 1 1 0 0	NOUN NOUN NOUN PROPN PROPN VERB VERB VERB VERB CCONJ VERB PUNCT PART
Builder Ken will kiss and make - up	0 0 0 1 1 1 0 1	kiss and make up	figurative	dashes	NOUN PROPN VERB VERB CCONJ VERB PUNCT PART	▁B uil der ▁K en ▁will ▁k is s ▁and ▁make ▁- ▁up	0 0 0 0 0 0 1 1 1 1 1 0 1	NOUN NOUN NOUN PROPN PROPN VERB VERB VERB VERB CCONJ VERB PUNCT PART
