The bottom drawer you can put this in.	0 1 1 0 0 0 0 0	bottom drawer	literal	identical	DET ADJ NOUN PRON VERB VERB DET PART	▁The ▁bottom ▁draw er ▁you ▁can ▁put ▁this ▁in .	0 1 1 1 0 0 0 0 0 0	DET ADJ NOUN NOUN PRON VERB VERB DET PART PART
No the bottom drawer look!	0 0 1 1 0	bottom drawer	literal	identical	DET DET ADJ NOUN NOUN	▁No ▁the ▁bottom ▁draw er ▁look !	0 0 1 1 1 0 0	DET DET ADJ NOUN NOUN NOUN NOUN
top drawer, top drawer, bottom drawer, middle drawer, well I don't know	0 0 0 0 1 1 0 0 0 0 0 0	bottom drawer	literal	identical	ADJ NOUN ADJ NOUN ADJ NOUN ADJ NOUN INTJ PRON VERB VERB	▁top ▁draw er , ▁top ▁draw er , ▁bottom ▁draw er , ▁middle ▁draw er , ▁well ▁I ▁don ' t ▁know	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN NOUN ADJ NOUN NOUN NOUN ADJ NOUN NOUN NOUN ADJ NOUN NOUN NOUN INTJ PRON VERB VERB VERB VERB
They get the plan out of their bottom drawer and say ‘ this is a block we designed last week,’ stick a different name on it and hey presto!’	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	figurative	identical	PRON VERB DET NOUN ADP ADP ADJ ADJ NOUN CCONJ VERB PRON DET VERB DET NOUN PRON VERB ADJ PROPN VERB DET ADJ NOUN ADP PRON CCONJ INTJ NOUN	▁They ▁get ▁the ▁plan ▁out ▁of ▁their ▁bottom ▁draw er ▁and ▁say ▁ ‘ ▁this ▁is ▁a ▁block ▁we ▁designed ▁last ▁week , ’ ▁stick ▁a ▁different ▁name ▁on ▁it ▁and ▁he y ▁pre s to ! ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP ADP ADJ ADJ NOUN NOUN CCONJ VERB PRON PRON DET VERB DET NOUN PRON VERB ADJ PROPN PROPN PROPN VERB DET ADJ NOUN ADP PRON CCONJ INTJ INTJ NOUN NOUN NOUN NOUN NOUN
It is so easy to guide the saw freehand that it will probably end up in the bottom drawer of many a tool box.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	bottom drawer	literal	identical	PRON VERB ADV ADJ PART VERB DET ADJ NOUN ADP PRON VERB ADV VERB PART ADP DET ADJ NOUN ADP ADJ DET NOUN NOUN	▁It ▁is ▁so ▁easy ▁to ▁guide ▁the ▁saw ▁free hand ▁that ▁it ▁will ▁probably ▁end ▁up ▁in ▁the ▁bottom ▁draw er ▁of ▁many ▁a ▁tool ▁box .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	PRON VERB ADV ADJ PART VERB DET ADJ NOUN NOUN ADP PRON VERB ADV VERB PART ADP DET ADJ NOUN NOUN ADP ADJ DET NOUN NOUN NOUN
Now the bottom drawer over there, you can put my jumper in.	0 0 1 1 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	ADV DET ADJ NOUN ADP ADV PRON VERB VERB ADJ NOUN PART	▁Now ▁the ▁bottom ▁draw er ▁over ▁there , ▁you ▁can ▁put ▁my ▁jump er ▁in .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV DET ADJ NOUN NOUN ADP ADV ADV PRON VERB VERB ADJ NOUN NOUN PART PART
Bottom drawer	1 1	bottom drawer	literal	case	ADJ NOUN	▁B ott om ▁draw er	1 1 1 1 1	ADJ ADJ ADJ NOUN NOUN
In the bottom drawer was a folder of receipted bills, the uppermost being for gas, electricity and the telephone, all paid within the past month.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bottom drawer	literal	identical	ADP DET ADJ NOUN VERB DET NOUN ADP VERB NOUN DET NOUN VERB ADP NOUN NOUN CCONJ DET NOUN DET VERB ADP DET ADJ NOUN	▁In ▁the ▁bottom ▁draw er ▁was ▁a ▁folder ▁of ▁receipt ed ▁bills , ▁the ▁upper most ▁being ▁for ▁gas , ▁electricity ▁and ▁the ▁telephone , ▁all ▁paid ▁within ▁the ▁past ▁month .	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN NOUN VERB DET NOUN ADP VERB VERB NOUN NOUN DET NOUN NOUN VERB ADP NOUN NOUN NOUN CCONJ DET NOUN NOUN DET VERB ADP DET ADJ NOUN NOUN
Still using the flashlight, he perched the case on his desk, took out his key ring, used the two keys which unlocked the specially reinforced bottom right - hand drawer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	bottom drawer	literal	combined-other	ADV VERB DET NOUN PRON VERB DET NOUN ADP ADJ NOUN VERB PART ADJ ADJ NOUN VERB DET NUM NOUN ADJ VERB DET ADV VERB ADJ ADJ PUNCT NOUN NOUN	▁Still ▁using ▁the ▁flash light , ▁he ▁per ched ▁the ▁case ▁on ▁his ▁desk , ▁took ▁out ▁his ▁key ▁ring , ▁used ▁the ▁two ▁key s ▁which ▁un lock ed ▁the ▁specially ▁reinforced ▁bottom ▁right ▁- ▁hand ▁draw er .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1	ADV VERB DET NOUN NOUN NOUN PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN VERB PART ADJ ADJ NOUN NOUN VERB DET NUM NOUN NOUN ADJ VERB VERB VERB DET ADV VERB ADJ ADJ PUNCT NOUN NOUN NOUN NOUN
‘ They 're in the bottom drawer, with me knickers!’	0 0 0 0 0 1 1 0 0 0	bottom drawer	literal	identical	PUNCT PRON VERB ADP DET ADJ NOUN ADP PRON NOUN	▁ ‘ ▁They ▁' re ▁in ▁the ▁bottom ▁draw er , ▁with ▁me ▁k nic kers ! ’	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB ADP DET ADJ NOUN NOUN NOUN ADP PRON NOUN NOUN NOUN NOUN NOUN
Where did her father keep the ammunition for it … in one of the bottom drawers ; she found the clip with the cartridges.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	bottom drawer	literal	inflection	ADV VERB ADJ NOUN VERB DET NOUN ADP PRON PUNCT ADP NUM ADP DET ADJ NOUN PUNCT PRON VERB DET NOUN ADP DET NOUN	▁Where ▁did ▁her ▁father ▁keep ▁the ▁ammunition ▁for ▁it ▁... ▁in ▁one ▁of ▁the ▁bottom ▁draw ers ▁ ; ▁she ▁found ▁the ▁c lip ▁with ▁the ▁cartridges .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV VERB ADJ NOUN VERB DET NOUN ADP PRON PUNCT ADP NUM ADP DET ADJ NOUN NOUN PUNCT PUNCT PRON VERB DET NOUN NOUN ADP DET NOUN NOUN
