If he likes to show off his long slender legs ..	0 0 0 0 1 0 0 0 0 1 0	show a leg	literal	combined-inflection	ADP PRON VERB PART VERB PART ADJ ADJ ADJ NOUN PUNCT	▁If ▁he ▁like s ▁to ▁show ▁off ▁his ▁long ▁sl ender ▁legs ▁ . .	0 0 0 0 0 1 0 0 0 0 0 1 0 0 0	ADP PRON VERB VERB PART VERB PART ADJ ADJ ADJ ADJ NOUN PUNCT PUNCT PUNCT
Gaiters, you would imagine, would have been banned years ago, as they enable the dashing bishop to show a leg in its full shape.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	identical	NOUN PRON VERB VERB VERB VERB VERB VERB NOUN ADV ADP PRON VERB DET VERB NOUN PART VERB DET NOUN ADP ADJ ADJ NOUN	▁Gai ters , ▁you ▁would ▁imagine , ▁would ▁have ▁been ▁banned ▁years ▁ago , ▁as ▁they ▁enable ▁the ▁dash ing ▁bis hop ▁to ▁show ▁a ▁leg ▁in ▁its ▁full ▁shape .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	NOUN NOUN NOUN PRON VERB VERB VERB VERB VERB VERB VERB NOUN ADV ADV ADP PRON VERB DET VERB VERB NOUN NOUN PART VERB DET NOUN ADP ADJ ADJ NOUN NOUN
She was already taking the files out of the car, though, gracefully leaning over and showing long, well - shaped legs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	show a leg	literal	combined-inflection	PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN ADV ADV VERB PART CCONJ VERB ADV ADV PUNCT VERB NOUN	▁She ▁was ▁already ▁taking ▁the ▁files ▁out ▁of ▁the ▁car , ▁though , ▁grace fully ▁lean ing ▁over ▁and ▁showing ▁long , ▁well ▁- ▁shaped ▁legs .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1	PRON VERB ADV VERB DET NOUN ADP ADP DET NOUN NOUN ADV ADV ADV ADV VERB VERB PART CCONJ VERB ADV ADV ADV PUNCT VERB NOUN NOUN
But on the specific question of ' showing ' one's legs, after talking to Muslim girls in Bradford and London I feel convinced that they share the views of their parents.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	show a leg	literal	combined-inflection	CCONJ ADP DET ADJ NOUN ADP PUNCT VERB PUNCT PRON NOUN ADP VERB ADP ADJ NOUN ADP PROPN CCONJ PROPN PRON VERB ADJ ADP PRON VERB DET NOUN ADP ADJ NOUN	▁But ▁on ▁the ▁specific ▁question ▁of ▁' ▁showing ▁' ▁one ' s ▁legs , ▁after ▁talking ▁to ▁Muslim ▁girls ▁in ▁B rad ford ▁and ▁London ▁I ▁feel ▁convinced ▁that ▁they ▁share ▁the ▁views ▁of ▁their ▁parents .	0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET ADJ NOUN ADP PUNCT VERB PUNCT PRON PRON PRON NOUN NOUN ADP VERB ADP ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN PRON VERB ADJ ADP PRON VERB DET NOUN ADP ADJ NOUN NOUN
Me sister never showed ' er legs in all ' er life, nor me, neither.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	show a leg	literal	combined-inflection	PRON NOUN ADV VERB PUNCT INTJ NOUN ADP DET PUNCT INTJ NOUN CCONJ PRON ADV	▁Me ▁sister ▁never ▁showed ▁' ▁er ▁legs ▁in ▁all ▁' ▁er ▁life , ▁nor ▁me , ▁neither .	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	PRON NOUN ADV VERB PUNCT INTJ NOUN ADP DET PUNCT INTJ NOUN NOUN CCONJ PRON PRON ADV ADV
Its heavy vertical folds mask much of the body and hang free under the right elbow, while the thin, tight - drawn chiton shows the legs almost as though naked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	ADJ ADJ ADJ NOUN VERB ADJ ADP DET NOUN CCONJ VERB ADJ ADP DET ADJ NOUN ADP DET ADJ ADJ PUNCT VERB NOUN VERB DET NOUN ADV ADP ADP ADJ	▁It s ▁heavy ▁vertical ▁fold s ▁mask ▁much ▁of ▁the ▁body ▁and ▁hang ▁free ▁under ▁the ▁right ▁el bow , ▁while ▁the ▁thin , ▁tight ▁- ▁drawn ▁chi ton ▁shows ▁the ▁legs ▁almost ▁as ▁though ▁naked .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	ADJ ADJ ADJ ADJ NOUN NOUN VERB ADJ ADP DET NOUN CCONJ VERB ADJ ADP DET ADJ NOUN NOUN NOUN ADP DET ADJ ADJ ADJ PUNCT VERB NOUN NOUN VERB DET NOUN ADV ADP ADP ADJ ADJ
Dickin asked whether Anthony would ever call ' Go on darlin ', show us yer legs ' to a man?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	show a leg	literal	combined-inflection	PROPN VERB ADP PROPN VERB ADV VERB PUNCT VERB ADP NOUN PUNCT VERB PRON ADJ NOUN PUNCT ADP DET NOUN	▁D ick in ▁asked ▁whether ▁An th ony ▁would ▁ever ▁call ▁' ▁Go ▁on ▁dar lin ▁' , ▁show ▁us ▁y er ▁legs ▁' ▁to ▁a ▁man ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	PROPN PROPN PROPN VERB ADP PROPN PROPN PROPN VERB ADV VERB PUNCT VERB ADP NOUN NOUN PUNCT PUNCT VERB PRON ADJ ADJ NOUN PUNCT ADP DET NOUN NOUN
She likes music and dancing, too — she showed her legs in one dance! '	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	PRON VERB NOUN CCONJ NOUN ADV PUNCT PRON VERB ADJ NOUN ADP NUM NOUN PUNCT	▁She ▁like s ▁music ▁and ▁d ancing , ▁too ▁ — ▁she ▁showed ▁her ▁legs ▁in ▁one ▁dance ! ▁'	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON VERB VERB NOUN CCONJ NOUN NOUN NOUN ADV PUNCT PUNCT PRON VERB ADJ NOUN ADP NUM NOUN NOUN PUNCT
I was terribly embarrassed ; not only was I a convent girl but the skirts were worn down to the ankles and women just didn't show their legs in those days.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	show a leg	literal	determiner-broad	PRON VERB ADV ADJ PUNCT ADV ADV VERB PRON DET ADJ NOUN CCONJ DET NOUN VERB VERB PART ADP DET NOUN CCONJ NOUN ADV VERB VERB ADJ NOUN ADP DET NOUN	▁I ▁was ▁terribly ▁embarrass ed ▁ ; ▁not ▁only ▁was ▁I ▁a ▁conven t ▁girl ▁but ▁the ▁skirt s ▁were ▁worn ▁down ▁to ▁the ▁ankle s ▁and ▁women ▁just ▁did n ' t ▁show ▁their ▁legs ▁in ▁those ▁days .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PRON VERB ADV ADJ ADJ PUNCT PUNCT ADV ADV VERB PRON DET ADJ ADJ NOUN CCONJ DET NOUN NOUN VERB VERB PART ADP DET NOUN NOUN CCONJ NOUN ADV VERB VERB VERB VERB VERB ADJ NOUN ADP DET NOUN NOUN
Jo looked like a Munchkin in anything that showed her legs.	0 0 0 0 0 0 0 0 1 0 1	show a leg	literal	combined-inflection	PROPN VERB ADP DET PROPN ADP NOUN ADJ VERB ADJ NOUN	▁Jo ▁looked ▁like ▁a ▁M unch kin ▁in ▁anything ▁that ▁showed ▁her ▁legs .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN VERB ADP DET PROPN PROPN PROPN ADP NOUN ADJ VERB ADJ NOUN NOUN
Ashen - faced, she was gibbering quietly to herself, her petrol - sodden hair plastered to her head and her dripping gown showing her legs almost to the crotch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	show a leg	literal	combined-inflection	NOUN PUNCT VERB PRON VERB VERB ADV ADP PRON ADJ NOUN PUNCT NOUN NOUN VERB ADP ADJ NOUN CCONJ ADJ VERB NOUN VERB ADJ NOUN ADV ADP DET NOUN	▁As hen ▁- ▁faced , ▁she ▁was ▁g ib ber ing ▁quiet ly ▁to ▁herself , ▁her ▁petrol ▁- ▁so d den ▁hair ▁plaster ed ▁to ▁her ▁head ▁and ▁her ▁dr ipping ▁g own ▁showing ▁her ▁legs ▁almost ▁to ▁the ▁cro tch .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	NOUN NOUN PUNCT VERB VERB PRON VERB VERB VERB VERB VERB ADV ADV ADP PRON PRON ADJ NOUN PUNCT NOUN NOUN NOUN NOUN VERB VERB ADP ADJ NOUN CCONJ ADJ VERB VERB NOUN NOUN VERB ADJ NOUN ADV ADP DET NOUN NOUN NOUN
